year,municipality,type_of_debt,mean_debt_euro
2002,Orivesi,Loans charged on business activities or a source of income,5192
2002,Pirkkala,Loans charged on business activities or a source of income,2040
2002,Pälkäne,Loans charged on business activities or a source of income,7986
2002,Tampere,Loans charged on business activities or a source of income,1533
2002,Vesilahti,Loans charged on business activities or a source of income,6918
2002,Ylöjärvi,Loans charged on business activities or a source of income,2406
2002,Juupajoki,Loans charged on business activities or a source of income,6355
2002,Mänttä-Vilppula,Loans charged on business activities or a source of income,2435
2002,Ruovesi,Loans charged on business activities or a source of income,5396
2002,Virrat,Loans charged on business activities or a source of income,6151
2002,Joutsa,Loans charged on business activities or a source of income,7933
2002,Luhanka,Loans charged on business activities or a source of income,8185
2002,Hankasalmi,Loans charged on business activities or a source of income,6624
2002,Jyväskylä,Loans charged on business activities or a source of income,1652
2002,Laukaa,Loans charged on business activities or a source of income,3107
2002,Muurame,Loans charged on business activities or a source of income,1991
2002,Petäjävesi,Loans charged on business activities or a source of income,3871
2002,Toivakka,Loans charged on business activities or a source of income,4338
2002,Uurainen,Loans charged on business activities or a source of income,5311
2002,Jämsä,Loans charged on business activities or a source of income,2615
2002,Kuhmoinen,Loans charged on business activities or a source of income,5339
2002,Keuruu,Loans charged on business activities or a source of income,3662
2002,Multia,Loans charged on business activities or a source of income,4339
2002,Kannonkoski,Loans charged on business activities or a source of income,8159
2002,Karstula,Loans charged on business activities or a source of income,4565
2002,Kinnula,Loans charged on business activities or a source of income,522
2002,Kivijärvi,Loans charged on business activities or a source of income,5335
2002,Kyyjärvi,Loans charged on business activities or a source of income,5869
2002,Pihtipudas,Loans charged on business activities or a source of income,832
2002,Saarijärvi,Loans charged on business activities or a source of income,5380
2002,Viitasaari,Loans charged on business activities or a source of income,3214
2002,Konnevesi,Loans charged on business activities or a source of income,7742
2002,Äänekoski,Loans charged on business activities or a source of income,2262
2002,Alajärvi,Loans charged on business activities or a source of income,7259
2002,Evijärvi,Loans charged on business activities or a source of income,12621
2002,Lappajärvi,Loans charged on business activities or a source of income,6503
2002,Soini,Loans charged on business activities or a source of income,7330
2002,Vimpeli,Loans charged on business activities or a source of income,5868
2002,Alavus,Loans charged on business activities or a source of income,5465
2002,Kuortane,Loans charged on business activities or a source of income,6848
2002,Ähtäri,Loans charged on business activities or a source of income,3524
2002,Ilmajoki,Loans charged on business activities or a source of income,10452
2002,Kauhava,Loans charged on business activities or a source of income,9038
2002,Kurikka,Loans charged on business activities or a source of income,8859
2002,Lapua,Loans charged on business activities or a source of income,6741
2002,Seinäjoki,Loans charged on business activities or a source of income,3917
2002,Isojoki,Loans charged on business activities or a source of income,10972
2002,Karijoki,Loans charged on business activities or a source of income,13672
2002,Kauhajoki,Loans charged on business activities or a source of income,8873
2002,Teuva,Loans charged on business activities or a source of income,8513
2002,Kruunupyy,Loans charged on business activities or a source of income,10269
2002,Luoto,Loans charged on business activities or a source of income,3856
2002,Pedersören kunta,Loans charged on business activities or a source of income,9556
2002,Pietarsaari,Loans charged on business activities or a source of income,1919
2002,Uusikaarlepyy,Loans charged on business activities or a source of income,10359
2002,Isokyrö,Loans charged on business activities or a source of income,7707
2002,Laihia,Loans charged on business activities or a source of income,4232
2002,Kaskinen,Loans charged on business activities or a source of income,1679
2002,Kristiinankaupunki,Loans charged on business activities or a source of income,9889
2002,Närpiö,Loans charged on business activities or a source of income,16852
2002,Korsnäs,Loans charged on business activities or a source of income,7978
