income,year,municipality
15851,1997,Sulkava
30733,1997,Sund
18115,1997,Suomussalmi
18167,1997,Suonenjoki
14003,1997,Sysmä
27305,1997,Säkylä
31264,1997,Taipalsaari
19218,1997,Taivalkoski
19551,1997,Taivassalo
23649,1997,Tammela
26693,1997,Tampere
14591,1997,Tervo
17358,1997,Tervola
19550,1997,Teuva
15480,1997,Tohmajärvi
19808,1997,Toholampi
19482,1997,Toivakka
28633,1997,Tornio
24861,1997,Turku
14175,1997,Tuusniemi
40528,1997,Tuusula
24144,1997,Tyrnävä
30435,1997,Ulvila
18652,1997,Urjala
17521,1997,Utajärvi
25237,1997,Utsjoki
20917,1997,Uurainen
23249,1997,Nykarleby
27977,1997,Uusikaupunki
17469,1997,Vaala
29279,1997,Vaasa
30496,1997,Valkeakoski
38861,1997,Vantaa
26027,1997,Varkaus
17795,1997,Vehmaa
14088,1997,Vesanto
23087,1997,Vesilahti
21093,1997,Veteli
16687,1997,Vieremä
36718,1997,Vihti
17812,1997,Viitasaari
21743,1997,Vimpeli
19785,1997,Virolahti
18436,1997,Virrat
28614,1997,Vårdö
21398,1997,Vörå
18085,1997,Ylitornio
26017,1997,Ylivieska
32344,1997,Ylöjärvi
19591,1997,Ypäjä
22825,1997,Ähtäri
26848,1997,Äänekoski
35937,1997,MK01 Uusimaa
26862,1997,MK02 Southwest Finland
25056,1997,MK04 Satakunta
25582,1997,MK05 Kanta-Häme
26472,1997,MK06 Pirkanmaa
24319,1997,MK07 Päijät-Häme
26976,1997,MK08 Kymenlaakso
25164,1997,MK09 South Karelia
20816,1997,MK10 South Savo
22622,1997,MK11 North Savo
20067,1997,MK12 North Karelia
24726,1997,MK13 Central Finland
22470,1997,MK14 South Ostrobothnia
27872,1997,MK15 Ostrobothnia
25067,1997,MK16 Central Ostrobothnia
27046,1997,MK17 North Ostrobothnia
21938,1997,MK18 Kainuu
24392,1997,MK19 Lapland
34494,1997,MK21 Åland
32298,1997,HVA01 East Uusimaa wellbeing services county
36260,1997,HVA02 Central Uusimaa wellbeing services county
41660,1997,HVA03 West Uusimaa wellbeing services county
38932,1997,HVA04 Vantaa and Kerava wellbeing services county
26862,1997,HVA05 Southwest Finland wellbeing services county
25056,1997,HVA06 Satakunta wellbeing services county
25582,1997,HVA06 Kanta-Häme wellbeing services county
26472,1997,HVA08 Pirkanmaa wellbeing services county
24319,1997,HVA09 Päijät-Häme wellbeing services county
26976,1997,HVA10 Kymenlaakso wellbeing services county
25164,1997,HVA11 South Karelia wellbeing services county
20816,1997,HVA12 South Savo wellbeing services county
22622,1997,HVA13 North Savo wellbeing services county
20067,1997,HVA14 North Karelia wellbeing services county
24726,1997,HVA15 Central Finland wellbeing services county
22470,1997,HVA16 South Ostrobothnia wellbeing services county
27872,1997,HVA17 Ostrobothnia wellbeing services county
25067,1997,HVA18 Central Ostrobothnia wellbeing services county
27046,1997,HVA19 North Ostrobothnia wellbeing services county
21938,1997,HVA20 Kainuu wellbeing services county
24392,1997,HVA21 Lapland wellbeing services county
32237,1997,HVA90 City of Helsinki
34494,1997,HVA91 Åland
36477,1997,SK011 Helsinki
28375,1997,SK014 Raasepori
33538,1997,SK015 Porvoo
23603,1997,SK016 Loviisa
26748,1997,SK021 Åboland-Turunmaa
26022,1997,SK022 Salo
27877,1997,SK023 Turku
25478,1997,SK024 Vakka-Suomi
20948,1997,SK025 Loimaa
27683,1997,SK041 Rauma
24528,1997,SK043 Pori
19914,1997,SK044 Pohjois-Satakunta
25851,1997,SK051 Hämeenlinna
26873,1997,SK052 Riihimäki
23455,1997,SK053 Forssa
21556,1997,SK061 Luoteis-Pirkanmaa
26493,1997,SK063 Etelä-Pirkanmaa
27629,1997,SK064 Tampere
20446,1997,SK068 Lounais-Pirkanmaa
22358,1997,SK069 Ylä-Pirkanmaa
24319,1997,SK071 Lahti
27450,1997,SK081 Kouvola
26491,1997,SK082 Kotka-Hamina
25667,1997,SK091 Lappeenranta
24294,1997,SK093 Imatra
21171,1997,SK101 Mikkeli
20685,1997,SK103 Savonlinna
20115,1997,SK105 Pieksämäki
18851,1997,SK111 Ylä-Savo
25394,1997,SK112 Kuopio
14259,1997,SK113 Koillis-Savo
24194,1997,SK114 Varkaus
16277,1997,SK115 Sisä-Savo
21156,1997,SK122 Joensuu
17624,1997,SK124 Keski-Karjala
17282,1997,SK125 Pielisen Karjala
26481,1997,SK131 Jyväskylä
15246,1997,SK132 Joutsa
20685,1997,SK133 Keuruu
27912,1997,SK134 Jämsä
25645,1997,SK135 Äänekoski
17771,1997,SK138 Saarijärvi-Viitasaari
18418,1997,SK141 Suupohja
24208,1997,SK142 Seinäjoki
20884,1997,SK144 Kuusiokunnat
19400,1997,SK146 Järviseutu
28529,1997,SK152 Vaasa
22872,1997,SK153 Sydösterbotten
28593,1997,SK154 Jakobstadsregionen
19919,1997,SK161 Kaustinen
26724,1997,SK162 Kokkola
30480,1997,SK171 Oulu
18966,1997,SK173 Oulunkaari
31080,1997,SK174 Raahe
20376,1997,SK175 Haapavesi-Siikalatva
19746,1997,SK176 Nivala-Haapajärvi
23641,1997,SK177 Ylivieska
21778,1997,SK178 Koillismaa
17420,1997,SK181 Kehys-Kainuu
24307,1997,SK182 Kajaani
25307,1997,SK191 Rovaniemi
26494,1997,SK192 Kemi-Tornio
19022,1997,SK193 Torniolaakso
21539,1997,SK194 Itä-Lappi
20565,1997,SK196 Tunturi-Lappi
23518,1997,SK197 Pohjois-Lappi
36071,1997,SK211 Mariehamns stad
34595,1997,SK212 Ålands landsbygd
26601,1997,SK213 Ålands skärgård
25416,1998,Akaa
21487,1998,Alajärvi
18700,1998,Alavieska
21094,1998,Alavus
24300,1998,Asikkala
32805,1998,Askola
30512,1998,Aura
30731,1998,Brändö
27770,1998,Eckerö
17123,1998,Enonkoski
21305,1998,Enontekiö
50056,1998,Espoo
27438,1998,Eura
30024,1998,Eurajoki
18871,1998,Evijärvi
35487,1998,Finström
24307,1998,Forssa
26973,1998,Föglö
21606,1998,Geta
21172,1998,Haapajärvi
23116,1998,Haapavesi
21569,1998,Hailuoto
16827,1998,Halsua
29004,1998,Hamina
31353,1998,Hammarland
17301,1998,Hankasalmi
32507,1998,Hanko
28537,1998,Harjavalta
15215,1998,Hartola
31002,1998,Hattula
28486,1998,Hausjärvi
26453,1998,Heinola
17377,1998,Heinävesi
34050,1998,Helsinki
13637,1998,Hirvensalmi
31733,1998,Hollola
21575,1998,Huittinen
21172,1998,Humppila
16430,1998,Hyrynsalmi
32719,1998,Hyvinkää
26182,1998,Hämeenkyrö
25719,1998,Hämeenlinna
22769,1998,Ii
24013,1998,Iisalmi
22236,1998,Iitti
22519,1998,Ikaalinen
24700,1998,Ilmajoki
16956,1998,Ilomantsi
27065,1998,Imatra
25048,1998,Inari
33339,1998,Ingå
13880,1998,Isojoki
21322,1998,Isokyrö
29515,1998,Janakkala
23258,1998,Joensuu
29115,1998,Jokioinen
40825,1998,Jomala
23053,1998,Joroinen
16020,1998,Joutsa
16973,1998,Juuka
21969,1998,Juupajoki
17755,1998,Juva
27692,1998,Jyväskylä
17843,1998,Jämijärvi
29022,1998,Jämsä
40219,1998,Järvenpää
37617,1998,Kaarina
15533,1998,Kaavi
27167,1998,Kajaani
23677,1998,Kalajoki
32181,1998,Kangasala
16413,1998,Kangasniemi
23114,1998,Kankaanpää
13424,1998,Kannonkoski
26096,1998,Kannus
15283,1998,Karijoki
27623,1998,Karkkila
19643,1998,Karstula
15414,1998,Karvia
40329,1998,Kaskinen
20395,1998,Kauhajoki
22962,1998,Kauhava
67726,1998,Kauniainen
23723,1998,Kaustinen
19074,1998,Keitele
24748,1998,Kemi
24461,1998,Kemijärvi
31197,1998,Keminmaa
22136,1998,Kimitoön
40464,1998,Kempele
40935,1998,Kerava
22354,1998,Keuruu
19005,1998,Kihniö
16146,1998,Kinnula
47206,1998,Kirkkonummi
20735,1998,Kitee
20784,1998,Kittilä
15327,1998,Kiuruvesi
13580,1998,Kivijärvi
22868,1998,Kokemäki
27757,1998,Kokkola
19265,1998,Kolari
18958,1998,Konnevesi
28542,1998,Kontiolahti
19681,1998,Korsnäs
19679,1998,Koski Tl
26997,1998,Kotka
28379,1998,Kouvola
23130,1998,Kristinestad
25162,1998,Kronoby
18070,1998,Kuhmo
15187,1998,Kuhmoinen
23923,1998,Kumlinge
25119,1998,Kuopio
19920,1998,Kuortane
21677,1998,Kurikka
24804,1998,Kustavi
22730,1998,Kuusamo
18772,1998,Kyyjärvi
26137,1998,Kärkölä
18239,1998,Kärsämäki
27969,1998,Kökar
25125,1998,Lahti
27609,1998,Laihia
25054,1998,Laitila
18302,1998,Lapinjärvi
18479,1998,Lapinlahti
19280,1998,Lappajärvi
27089,1998,Lappeenranta
24843,1998,Lapua
28262,1998,Laukaa
24259,1998,Lemi
43135,1998,Lemland
33877,1998,Lempäälä
21596,1998,Leppävirta
16177,1998,Lestijärvi
18585,1998,Lieksa
36733,1998,Lieto
30650,1998,Liminka
20947,1998,Liperi
33545,1998,Lohja
21300,1998,Loimaa
24962,1998,Loppi
25975,1998,Loviisa
13515,1998,Luhanka
20987,1998,Lumijoki
36750,1998,Lumparland
36162,1998,Larsmo
19258,1998,Luumäki
23109,1998,Malax
36967,1998,Mariehamn
20212,1998,Marttila
38371,1998,Masku
19649,1998,Merijärvi
19307,1998,Merikarvia
15013,1998,Miehikkälä
24068,1998,Mikkeli
26581,1998,Muhos
15421,1998,Multia
24725,1998,Muonio
34770,1998,Korsholm
35643,1998,Muurame
25904,1998,Mynämäki
20131,1998,Myrskylä
31746,1998,Mäntsälä
26729,1998,Mänttä-Vilppula
18574,1998,Mäntyharju
34412,1998,Naantali
28144,1998,Nakkila
21936,1998,Nivala
32064,1998,Nokia
33967,1998,Nousiainen
15720,1998,Nurmes
42931,1998,Nurmijärvi
21139,1998,Närpes
23164,1998,Orimattila
18391,1998,Oripää
21445,1998,Orivesi
24808,1998,Oulainen
31285,1998,Oulu
18672,1998,Outokumpu
19793,1998,Padasjoki
34068,1998,Paimio
18760,1998,Paltamo
30330,1998,Pargas
15954,1998,Parikkala
23870,1998,Parkano
30151,1998,Pedersöre
21984,1998,Pelkosenniemi
19727,1998,Pello
18773,1998,Perho
13289,1998,Pertunmaa
20169,1998,Petäjävesi
21638,1998,Pieksämäki
13908,1998,Pielavesi
31747,1998,Jakobstad
16736,1998,Pihtipudas
37949,1998,Pirkkala
13870,1998,Polvijärvi
19984,1998,Pomarkku
25211,1998,Pori
36786,1998,Pornainen
35572,1998,Porvoo
17970,1998,Posio
18588,1998,Pudasjärvi
21056,1998,Pukkila
15575,1998,Punkalaidun
16509,1998,Puolanka
15002,1998,Puumala
29250,1998,Pyhtää
26555,1998,Pyhäjoki
18879,1998,Pyhäjärvi
23953,1998,Pyhäntä
30670,1998,Pyhäranta
21486,1998,Pälkäne
22308,1998,Pöytyä
33455,1998,Raahe
27209,1998,Raseborg
34449,1998,Raisio
16852,1998,Rantasalmi
18178,1998,Ranua
29508,1998,Rauma
15005,1998,Rautalampi
13474,1998,Rautavaara
27317,1998,Rautjärvi
17480,1998,Reisjärvi
29070,1998,Riihimäki
14787,1998,Ristijärvi
26291,1998,Rovaniemi
26706,1998,Ruokolahti
20914,1998,Ruovesi
37716,1998,Rusko
12659,1998,Rääkkylä
20105,1998,Saarijärvi
17786,1998,Salla
29219,1998,Salo
33087,1998,Saltvik
22182,1998,Sastamala
22033,1998,Sauvo
19230,1998,Savitaipale
22574,1998,Savonlinna
18573,1998,Savukoski
28550,1998,Seinäjoki
22323,1998,Sievi
17047,1998,Siikainen
22769,1998,Siikajoki
18132,1998,Siikalatva
32680,1998,Siilinjärvi
26733,1998,Simo
41952,1998,Sipoo
40544,1998,Siuntio
22094,1998,Sodankylä
16320,1998,Soini
20342,1998,Somero
18241,1998,Sonkajärvi
23052,1998,Sotkamo
20432,1998,Sottunga
16428,1998,Sulkava
31399,1998,Sund
18720,1998,Suomussalmi
18129,1998,Suonenjoki
14677,1998,Sysmä
28782,1998,Säkylä
32339,1998,Taipalsaari
20083,1998,Taivalkoski
19548,1998,Taivassalo
25269,1998,Tammela
27912,1998,Tampere
14893,1998,Tervo
17813,1998,Tervola
20827,1998,Teuva
15955,1998,Tohmajärvi
20253,1998,Toholampi
19884,1998,Toivakka
28687,1998,Tornio
25559,1998,Turku
14817,1998,Tuusniemi
43092,1998,Tuusula
25810,1998,Tyrnävä
31287,1998,Ulvila
19459,1998,Urjala
18053,1998,Utajärvi
26201,1998,Utsjoki
22121,1998,Uurainen
23524,1998,Nykarleby
29303,1998,Uusikaupunki
17674,1998,Vaala
30079,1998,Vaasa
31597,1998,Valkeakoski
40365,1998,Vantaa
26812,1998,Varkaus
19280,1998,Vehmaa
14215,1998,Vesanto
24863,1998,Vesilahti
21745,1998,Veteli
17551,1998,Vieremä
39058,1998,Vihti
18197,1998,Viitasaari
23661,1998,Vimpeli
20802,1998,Virolahti
19512,1998,Virrat
29182,1998,Vårdö
22287,1998,Vörå
18206,1998,Ylitornio
26949,1998,Ylivieska
33940,1998,Ylöjärvi
21349,1998,Ypäjä
23176,1998,Ähtäri
27998,1998,Äänekoski
37869,1998,MK01 Uusimaa
27989,1998,MK02 Southwest Finland
26122,1998,MK04 Satakunta
26748,1998,MK05 Kanta-Häme
27744,1998,MK06 Pirkanmaa
25106,1998,MK07 Päijät-Häme
27707,1998,MK08 Kymenlaakso
26087,1998,MK09 South Karelia
21502,1998,MK10 South Savo
23335,1998,MK11 North Savo
20654,1998,MK12 North Karelia
25588,1998,MK13 Central Finland
23521,1998,MK14 South Ostrobothnia
28792,1998,MK15 Ostrobothnia
25887,1998,MK16 Central Ostrobothnia
27763,1998,MK17 North Ostrobothnia
22829,1998,MK18 Kainuu
24581,1998,MK19 Lapland
35377,1998,MK21 Åland
33316,1998,HVA01 East Uusimaa wellbeing services county
38180,1998,HVA02 Central Uusimaa wellbeing services county
44243,1998,HVA03 West Uusimaa wellbeing services county
40448,1998,HVA04 Vantaa and Kerava wellbeing services county
27989,1998,HVA05 Southwest Finland wellbeing services county
26122,1998,HVA06 Satakunta wellbeing services county
26748,1998,HVA06 Kanta-Häme wellbeing services county
27744,1998,HVA08 Pirkanmaa wellbeing services county
25106,1998,HVA09 Päijät-Häme wellbeing services county
27707,1998,HVA10 Kymenlaakso wellbeing services county
26087,1998,HVA11 South Karelia wellbeing services county
21502,1998,HVA12 South Savo wellbeing services county
23335,1998,HVA13 North Savo wellbeing services county
20654,1998,HVA14 North Karelia wellbeing services county
25588,1998,HVA15 Central Finland wellbeing services county
23521,1998,HVA16 South Ostrobothnia wellbeing services county
28792,1998,HVA17 Ostrobothnia wellbeing services county
25887,1998,HVA18 Central Ostrobothnia wellbeing services county
27763,1998,HVA19 North Ostrobothnia wellbeing services county
22829,1998,HVA20 Kainuu wellbeing services county
24581,1998,HVA21 Lapland wellbeing services county
34050,1998,HVA90 City of Helsinki
35377,1998,HVA91 Åland
38499,1998,SK011 Helsinki
29135,1998,SK014 Raasepori
34284,1998,SK015 Porvoo
24804,1998,SK016 Loviisa
27496,1998,SK021 Åboland-Turunmaa
27829,1998,SK022 Salo
28851,1998,SK023 Turku
26896,1998,SK024 Vakka-Suomi
22035,1998,SK025 Loimaa
29117,1998,SK041 Rauma
25403,1998,SK043 Pori
21013,1998,SK044 Pohjois-Satakunta
26855,1998,SK051 Hämeenlinna
28283,1998,SK052 Riihimäki
24723,1998,SK053 Forssa
22660,1998,SK061 Luoteis-Pirkanmaa
27695,1998,SK063 Etelä-Pirkanmaa
28973,1998,SK064 Tampere
21332,1998,SK068 Lounais-Pirkanmaa
23230,1998,SK069 Ylä-Pirkanmaa
25106,1998,SK071 Lahti
28379,1998,SK081 Kouvola
27023,1998,SK082 Kotka-Hamina
26391,1998,SK091 Lappeenranta
25554,1998,SK093 Imatra
21860,1998,SK101 Mikkeli
21445,1998,SK103 Savonlinna
20667,1998,SK105 Pieksämäki
19586,1998,SK111 Ylä-Savo
26117,1998,SK112 Kuopio
14768,1998,SK113 Koillis-Savo
25022,1998,SK114 Varkaus
16383,1998,SK115 Sisä-Savo
21845,1998,SK122 Joensuu
18281,1998,SK124 Keski-Karjala
17325,1998,SK125 Pielisen Karjala
27328,1998,SK131 Jyväskylä
15690,1998,SK132 Joutsa
21305,1998,SK133 Keuruu
29022,1998,SK134 Jämsä
26845,1998,SK135 Äänekoski
18286,1998,SK138 Saarijärvi-Viitasaari
19405,1998,SK141 Suupohja
25332,1998,SK142 Seinäjoki
21509,1998,SK144 Kuusiokunnat
20503,1998,SK146 Järviseutu
29475,1998,SK152 Vaasa
23524,1998,SK153 Sydösterbotten
29528,1998,SK154 Jakobstadsregionen
20637,1998,SK161 Kaustinen
27565,1998,SK162 Kokkola
31309,1998,SK171 Oulu
19700,1998,SK173 Oulunkaari
31093,1998,SK174 Raahe
20999,1998,SK175 Haapavesi-Siikalatva
20249,1998,SK176 Nivala-Haapajärvi
24349,1998,SK177 Ylivieska
22146,1998,SK178 Koillismaa
17915,1998,SK181 Kehys-Kainuu
25362,1998,SK182 Kajaani
25741,1998,SK191 Rovaniemi
26593,1998,SK192 Kemi-Tornio
18919,1998,SK193 Torniolaakso
21290,1998,SK194 Itä-Lappi
21082,1998,SK196 Tunturi-Lappi
23548,1998,SK197 Pohjois-Lappi
36967,1998,SK211 Mariehamns stad
35486,1998,SK212 Ålands landsbygd
27336,1998,SK213 Ålands skärgård
25919,1999,Akaa
21796,1999,Alajärvi
19605,1999,Alavieska
21485,1999,Alavus
24775,1999,Asikkala
33513,1999,Askola
30768,1999,Aura
31984,1999,Brändö
30433,1999,Eckerö
17415,1999,Enonkoski
20741,1999,Enontekiö
56267,1999,Espoo
27486,1999,Eura
29954,1999,Eurajoki
18971,1999,Evijärvi
37000,1999,Finström
24737,1999,Forssa
28095,1999,Föglö
23431,1999,Geta
21628,1999,Haapajärvi
23070,1999,Haapavesi
21442,1999,Hailuoto
17762,1999,Halsua
29186,1999,Hamina
33257,1999,Hammarland
17473,1999,Hankasalmi
33323,1999,Hanko
28225,1999,Harjavalta
15658,1999,Hartola
31785,1999,Hattula
29277,1999,Hausjärvi
26508,1999,Heinola
17898,1999,Heinävesi
36610,1999,Helsinki
13827,1999,Hirvensalmi
32204,1999,Hollola
21457,1999,Huittinen
21515,1999,Humppila
16312,1999,Hyrynsalmi
33541,1999,Hyvinkää
26923,1999,Hämeenkyrö
26205,1999,Hämeenlinna
23706,1999,Ii
24283,1999,Iisalmi
22261,1999,Iitti
23242,1999,Ikaalinen
25049,1999,Ilmajoki
17322,1999,Ilomantsi
26905,1999,Imatra
25646,1999,Inari
34838,1999,Ingå
14579,1999,Isojoki
21612,1999,Isokyrö
29873,1999,Janakkala
23879,1999,Joensuu
29307,1999,Jokioinen
42018,1999,Jomala
23439,1999,Joroinen
16163,1999,Joutsa
17211,1999,Juuka
22655,1999,Juupajoki
18235,1999,Juva
27908,1999,Jyväskylä
18842,1999,Jämijärvi
29057,1999,Jämsä
41601,1999,Järvenpää
38689,1999,Kaarina
15736,1999,Kaavi
26967,1999,Kajaani
24019,1999,Kalajoki
32909,1999,Kangasala
16010,1999,Kangasniemi
23353,1999,Kankaanpää
13924,1999,Kannonkoski
26578,1999,Kannus
15658,1999,Karijoki
28726,1999,Karkkila
19729,1999,Karstula
14868,1999,Karvia
39213,1999,Kaskinen
20398,1999,Kauhajoki
23159,1999,Kauhava
87591,1999,Kauniainen
23900,1999,Kaustinen
19556,1999,Keitele
24548,1999,Kemi
27748,1999,Kemijärvi
31718,1999,Keminmaa
22888,1999,Kimitoön
42721,1999,Kempele
42983,1999,Kerava
22654,1999,Keuruu
20236,1999,Kihniö
16070,1999,Kinnula
49745,1999,Kirkkonummi
20710,1999,Kitee
20878,1999,Kittilä
15750,1999,Kiuruvesi
13588,1999,Kivijärvi
23170,1999,Kokemäki
28244,1999,Kokkola
19251,1999,Kolari
19503,1999,Konnevesi
29688,1999,Kontiolahti
19913,1999,Korsnäs
19762,1999,Koski Tl
26987,1999,Kotka
28297,1999,Kouvola
23427,1999,Kristinestad
26095,1999,Kronoby
18790,1999,Kuhmo
15408,1999,Kuhmoinen
25409,1999,Kumlinge
25392,1999,Kuopio
20680,1999,Kuortane
22359,1999,Kurikka
20538,1999,Kustavi
23361,1999,Kuusamo
19552,1999,Kyyjärvi
26751,1999,Kärkölä
19252,1999,Kärsämäki
26023,1999,Kökar
25824,1999,Lahti
28207,1999,Laihia
25460,1999,Laitila
18752,1999,Lapinjärvi
19406,1999,Lapinlahti
19348,1999,Lappajärvi
26528,1999,Lappeenranta
25377,1999,Lapua
28943,1999,Laukaa
25231,1999,Lemi
43896,1999,Lemland
35493,1999,Lempäälä
21729,1999,Leppävirta
15556,1999,Lestijärvi
18753,1999,Lieksa
38594,1999,Lieto
31511,1999,Liminka
21963,1999,Liperi
35321,1999,Lohja
21930,1999,Loimaa
26211,1999,Loppi
26347,1999,Loviisa
12989,1999,Luhanka
21598,1999,Lumijoki
38066,1999,Lumparland
36498,1999,Larsmo
19719,1999,Luumäki
23450,1999,Malax
37976,1999,Mariehamn
21173,1999,Marttila
39602,1999,Masku
18789,1999,Merijärvi
19041,1999,Merikarvia
15578,1999,Miehikkälä
24413,1999,Mikkeli
27003,1999,Muhos
15793,1999,Multia
24674,1999,Muonio
34844,1999,Korsholm
35891,1999,Muurame
26511,1999,Mynämäki
