year,municipality,type_of_debt,mean_debt_euro
2002,Heinävesi,Study loans,378
2002,Rantasalmi,Study loans,503
2002,Savonlinna,Study loans,797
2002,Sulkava,Study loans,345
2002,Kaavi,Study loans,435
2002,Rautavaara,Study loans,383
2002,Tuusniemi,Study loans,311
2002,Kuopio,Study loans,1191
2002,Siilinjärvi,Study loans,806
2002,Rautalampi,Study loans,477
2002,Suonenjoki,Study loans,711
2002,Tervo,Study loans,402
2002,Vesanto,Study loans,420
2002,Leppävirta,Study loans,564
2002,Varkaus,Study loans,752
2002,Iisalmi,Study loans,835
2002,Keitele,Study loans,496
2002,Kiuruvesi,Study loans,572
2002,Lapinlahti,Study loans,561
2002,Pielavesi,Study loans,361
2002,Sonkajärvi,Study loans,375
2002,Vieremä,Study loans,463
2002,Ilomantsi,Study loans,355
2002,Joensuu,Study loans,1233
2002,Juuka,Study loans,341
2002,Kontiolahti,Study loans,798
2002,Liperi,Study loans,619
2002,Outokumpu,Study loans,606
2002,Polvijärvi,Study loans,433
2002,Kitee,Study loans,389
2002,Rääkkylä,Study loans,315
2002,Tohmajärvi,Study loans,396
2002,Lieksa,Study loans,382
2002,Nurmes,Study loans,437
2002,Halsua,Study loans,420
2002,Kaustinen,Study loans,670
2002,Lestijärvi,Study loans,475
2002,Perho,Study loans,457
2002,Toholampi,Study loans,572
2002,Veteli,Study loans,457
2002,Kannus,Study loans,584
2002,Kokkola,Study loans,901
2002,Haapavesi,Study loans,629
2002,Pyhäntä,Study loans,714
2002,Siikalatva,Study loans,486
2002,Kuusamo,Study loans,653
2002,Taivalkoski,Study loans,528
2002,Haapajärvi,Study loans,618
2002,Kärsämäki,Study loans,491
2002,Nivala,Study loans,572
2002,Pyhäjärvi,Study loans,498
2002,Reisjärvi,Study loans,449
2002,Hailuoto,Study loans,555
2002,Kempele,Study loans,1055
2002,Liminka,Study loans,908
2002,Lumijoki,Study loans,528
2002,Muhos,Study loans,776
2002,Oulu,Study loans,1542
2002,Tyrnävä,Study loans,750
2002,Ii,Study loans,574
2002,Pudasjärvi,Study loans,534
2002,Utajärvi,Study loans,575
2002,Vaala,Study loans,483
2002,Pyhäjoki,Study loans,304
2002,Raahe,Study loans,769
2002,Siikajoki,Study loans,525
2002,Alavieska,Study loans,626
2002,Kalajoki,Study loans,593
2002,Merijärvi,Study loans,422
2002,Oulainen,Study loans,743
2002,Sievi,Study loans,590
2002,Ylivieska,Study loans,942
2002,Kajaani,Study loans,963
2002,Paltamo,Study loans,481
2002,Ristijärvi,Study loans,175
2002,Sotkamo,Study loans,561
2002,Hyrynsalmi,Study loans,423
2002,Kuhmo,Study loans,501
2002,Puolanka,Study loans,418
2002,Suomussalmi,Study loans,553
2002,Kemijärvi,Study loans,501
2002,Pelkosenniemi,Study loans,889
2002,Posio,Study loans,411
2002,Salla,Study loans,432
2002,Savukoski,Study loans,521
2002,Kemi,Study loans,933
2002,Keminmaa,Study loans,777
2002,Simo,Study loans,521
2002,Tervola,Study loans,549
2002,Tornio,Study loans,888
2002,Inari,Study loans,943
2002,Sodankylä,Study loans,619
2002,Utsjoki,Study loans,1032
2002,Ranua,Study loans,691
2002,Rovaniemi,Study loans,1406
2002,Pello,Study loans,423
2002,Ylitornio,Study loans,452
2002,Enontekiö,Study loans,552
2002,Kittilä,Study loans,632
2002,Kolari,Study loans,704
2002,Muonio,Study loans,536
2002,Maarianhamina - Mariehamn,Study loans,1780
2002,Eckerö,Study loans,1324
2002,Finström,Study loans,1214
2002,Geta,Study loans,763
2002,Hammarland,Study loans,1440
2002,Jomala,Study loans,1408
2002,Lemland,Study loans,1091
2002,Lumparland,Study loans,1293
2002,Saltvik,Study loans,982
2002,Sund,Study loans,1058
2002,Brändö,Study loans,351
2002,Föglö,Study loans,1403
2002,Kumlinge,Study loans,1072
2002,Kökar,Study loans,1006
2002,Sottunga,Study loans,543
2002,Vårdö,Study loans,940
2003,Espoo,Study loans,994
2003,Helsinki,Study loans,1246
2003,Hyvinkää,Study loans,669
2003,Järvenpää,Study loans,840
2003,Karkkila,Study loans,393
2003,Kauniainen,Study loans,716
2003,Kerava,Study loans,686
2003,Kirkkonummi,Study loans,744
2003,Lohja,Study loans,513
2003,Mäntsälä,Study loans,471
2003,Nurmijärvi,Study loans,582
2003,Pornainen,Study loans,437
2003,Sipoo,Study loans,480
2003,Siuntio,Study loans,596
2003,Tuusula,Study loans,594
2003,Vantaa,Study loans,784
2003,Vihti,Study loans,612
2003,Lapinjärvi,Study loans,404
2003,Loviisa,Study loans,431
2003,Askola,Study loans,453
2003,Myrskylä,Study loans,450
2003,Porvoo,Study loans,701
2003,Pukkila,Study loans,343
2003,Hanko,Study loans,401
2003,Inkoo,Study loans,501
2003,Raasepori,Study loans,461
2003,Aura,Study loans,439
2003,Koski Tl,Study loans,313
2003,Loimaa,Study loans,397
2003,Marttila,Study loans,294
2003,Oripää,Study loans,294
2003,Pöytyä,Study loans,365
2003,Salo,Study loans,486
2003,Somero,Study loans,380
2003,Kaarina,Study loans,599
2003,Lieto,Study loans,535
2003,Masku,Study loans,452
2003,Mynämäki,Study loans,364
2003,Naantali,Study loans,528
2003,Nousiainen,Study loans,293
2003,Paimio,Study loans,506
2003,Raisio,Study loans,490
2003,Rusko,Study loans,333
2003,Sauvo,Study loans,357
2003,Turku,Study loans,1154
2003,Kustavi,Study loans,187
2003,Laitila,Study loans,319
2003,Pyhäranta,Study loans,219
2003,Taivassalo,Study loans,157
2003,Uusikaupunki,Study loans,378
2003,Vehmaa,Study loans,264
2003,Kemiönsaari,Study loans,391
2003,Parainen,Study loans,528
2003,Forssa,Study loans,485
2003,Humppila,Study loans,389
2003,Jokioinen,Study loans,477
2003,Tammela,Study loans,408
2003,Ypäjä,Study loans,397
2003,Hattula,Study loans,513
2003,Hämeenlinna,Study loans,732
2003,Janakkala,Study loans,487
2003,Hausjärvi,Study loans,510
2003,Loppi,Study loans,412
2003,Riihimäki,Study loans,673
2003,Asikkala,Study loans,408
2003,Hartola,Study loans,330
2003,Heinola,Study loans,426
2003,Hollola,Study loans,560
2003,Kärkölä,Study loans,324
2003,Lahti,Study loans,812
2003,Orimattila,Study loans,423
2003,Padasjoki,Study loans,353
2003,Sysmä,Study loans,250
2003,Hamina,Study loans,411
2003,Kotka,Study loans,656
2003,Miehikkälä,Study loans,306
2003,Pyhtää,Study loans,370
