Municipality,Year,"Rehabilitative psychotherapy, recipients aged 16-64, combined","Reimbursements for depression medicines, recipients all ages, combined","Sickness allowance for mental health reasons, recipients aged 18-64, combined"
Akaa,1997,-0.8332018081377827,-1.832603474543842,0.23903607500728305
Akaa,1998,-0.7954118236107985,-1.5982653172825896,0.23903607500728305
Akaa,1999,-0.7954118236107985,-1.3938203983943025,0.23903607500728305
Akaa,2000,-0.7954118236107985,-1.163506119221863,0.23903607500728305
Akaa,2001,-0.7954118236107985,-1.0764867155624216,0.23903607500728305
Akaa,2002,-0.700936862293338,-0.8495006101182392,0.23903607500728305
Akaa,2003,-0.682041870029846,-0.8348911703751173,0.23903607500728305
Akaa,2004,-0.7198318545568301,-0.5355489295780427,0.23903607500728305
Akaa,2005,-0.700936862293338,-0.6071963673345414,0.24854531216603423
Akaa,2006,-0.5686719164488933,-0.4299843753597654,-0.2449539877423257
Akaa,2007,-0.5686719164488933,-0.1305948026171819,0.03550791376084541
Akaa,2008,-0.47625162646404773,-0.03238230021597431,0.26229810043315477
Akaa,2009,-0.352285956004054,0.3214406432640388,0.2314936020623972
Akaa,2010,-0.4587801417916268,0.45413696388689095,0.09397300000616228
Akaa,2011,-0.3216135094324251,0.5596133508320688,-0.06759196479250887
Akaa,2012,-0.30271851716893305,0.6917021343674634,0.12682176826094455
Akaa,2013,0.27686222900147733,0.5762950548009427,0.07849324515062409
Akaa,2014,0.6855957009509318,0.5137879414142129,-0.02940000481718528
Akaa,2015,0.7184839989631591,0.5217883656463299,0.23833124336087796
Akaa,2016,0.8486136834209972,0.31123431120764,0.07998769472856308
Akaa,2017,1.2350545742372656,0.5661295580721342,0.48146830849041883
Akaa,2018,1.3637607511040324,0.7221165981748647,1.1996360195169034
Akaa,2019,1.462425645140714,1.1854527999247064,1.687714622034562
Akaa,2020,2.1518981659683916,1.21407713555933,1.4763266845476315
Akaa,2021,2.3927119689330234,1.6230764860828382,1.717814288758914
Akaa,2022,2.5523323625333947,2.0319663238594132,2.247383773088413
Akaa,2023,2.333972320809932,2.1678961543195037,2.0530475457051187
Alajärvi,1997,-0.943174172849041,-1.047997879146406,-0.4243602805761677
Alajärvi,1998,-0.943174172849041,-0.9365330070135177,-0.4243602805761677
Alajärvi,1999,-0.943174172849041,-0.7368336570462739,-0.4243602805761677
Alajärvi,2000,-0.7569100852882786,-0.531031668146546,-0.4243602805761677
Alajärvi,2001,-0.7569100852882786,-0.4307598947554238,-0.4243602805761677
Alajärvi,2002,-0.7569100852882786,-0.16390252637142397,-0.4243602805761677
Alajärvi,2003,-0.7520083987735218,-0.07103013674287996,-0.4243602805761677
Alajärvi,2004,-0.7225982796849804,0.07832004575709306,-0.4243602805761677
Alajärvi,2005,-0.6938999143919746,0.2562945638916897,-0.0705808639483868
Alajärvi,2006,-0.6448830492444054,0.6172867280246558,-0.34844867526144685
Alajärvi,2007,-0.6448830492444054,0.8569714946764901,0.20988103755478427
Alajärvi,2008,-0.6350796762148916,0.9048088431387522,-0.2544632249010769
Alajärvi,2009,-0.5336483570500595,1.2293999138966847,-0.03561032013942035
Alajärvi,2010,-0.4391733957325991,1.282435379295084,0.028120452156278872
Alajärvi,2011,-0.39568938084133065,1.482836930240802,0.041323420117313096
Alajärvi,2012,-0.3578993963143463,1.544560171993877,0.29789597021836683
Alajärvi,2013,-0.263424434996886,1.0673037382435513,0.3452023583866748
Alajärvi,2014,-0.1500544814159334,1.3487297110430823,0.44767491096378337
Alajärvi,2015,0.0011054566920033141,1.1350024719484992,0.49914734457030097
Alajärvi,2016,-0.1500544814159334,0.7414372681293587,0.47737976872236837
Alajärvi,2017,-0.09336950462545711,0.8934477620887855,1.0377537514226247
Alajärvi,2018,-0.039531543017123104,1.0613644406214287,0.9935912737505141
Alajärvi,2019,-0.11511151207109134,1.2989426043378383,1.7987517824985686
Alajärvi,2020,0.16831337188129,1.5526227770274188,1.3402230263991757
Alajärvi,2021,0.16412343916206856,1.7033578716305855,2.058235726085341
Alajärvi,2022,0.39307919776457223,2.0153124619822913,2.155442592612068
Alajärvi,2023,0.5820291203994931,2.3127179377722222,2.6777021210071603
Alavieska,1997,-0.37632440494427855,-2.132667406173147,-0.8217523545699729
Alavieska,1998,-0.37632440494427855,-1.6560120128923603,-0.8217523545699729
Alavieska,1999,-0.37632440494427855,-1.0315983112305065,-0.8217523545699729
Alavieska,2000,-0.37632440494427855,-1.1575306272699897,-0.8217523545699729
Alavieska,2001,-0.37632440494427855,-1.2206044424165865,-0.8217523545699729
Alavieska,2002,-0.37632440494427855,-0.8653511105079489,-0.8217523545699729
Alavieska,2003,-0.37632440494427855,-0.4134771503170109,-0.8217523545699729
Alavieska,2004,-0.37632440494427855,-0.26681326574816616,-0.8217523545699729
Alavieska,2005,-0.37632440494427855,-0.2448257877163001,0.13758565737218706
Alavieska,2006,-0.37632440494427855,0.03256981037649906,0.3882651954466133
Alavieska,2007,-0.37632440494427855,0.43082025793533735,0.3037889822449944
Alavieska,2008,-0.37632440494427855,0.32867854133633534,0.3611544278781397
Alavieska,2009,-0.37632440494427855,0.3238791438518637,0.24532389599967758
Alavieska,2010,-0.37632440494427855,0.5548223055855948,-0.6407741064880326
Alavieska,2011,-0.37632440494427855,0.411546919926353,-0.11647030820891557
Alavieska,2012,0.058260417116039596,0.4699828232787608,0.3228074565624968
Alavieska,2013,-0.07400452872840504,0.30345755346723025,0.3738075755330877
Alavieska,2014,0.09605040164302382,0.4009613582720441,-0.8564831007534923
Alavieska,2015,-0.3385344204172945,0.25222520947744675,-0.7151912622248144
Alavieska,2016,-0.0173195519379288,0.03981420506671389,-0.40345254771495986
Alavieska,2017,0.30389531654143676,-0.31473042924553013,-1.1818123115751793
Alavieska,2018,0.341685301068421,-0.6438517546707964,-0.26451500175094544
Alavieska,2019,-0.28184944362681796,-0.20451496999722743,1.6126701403215349
Alavieska,2020,0.8896400767096915,0.031145918565793743,1.2844295360141291
Alavieska,2021,1.2864349142430251,0.6996116059487202,1.173864690186049
Alavieska,2022,1.5131748214049305,1.2173941716718284,1.6715300355326186
Alavieska,2023,1.834389689884296,1.0354542450096862,3.5781027320680767
Alavus,1997,-0.9620691651125333,-1.8391048329279915,-0.4243602805761677
Alavus,1998,-0.9620691651125333,-1.8046748432697743,-0.4243602805761677
Alavus,1999,-0.9620691651125333,-1.646710202832309,-0.4243602805761677
Alavus,2000,-0.7731192424776124,-1.508012403785909,-0.4243602805761677
Alavus,2001,-0.5182315437102534,-1.1867086714286428,-0.4243602805761677
Alavus,2002,-0.5182315437102534,-1.1003979653655946,-0.4243602805761677
Alavus,2003,-0.5182315437102534,-1.2198762549664373,-0.4243602805761677
Alavus,2004,-0.5182315437102534,-0.9390039906909358,-0.4243602805761677
Alavus,2005,-0.5182315437102534,-0.5997969835719625,-0.29634891567868393
Alavus,2006,-0.5560215282372375,-0.43715359601271797,0.06324600730556464
Alavus,2007,-0.461546566919777,-0.33237941004601507,-0.17525269774983998
Alavus,2008,-0.5182315437102534,-0.12198684129760747,-0.6528774338368948
