Municipality,Year,Admissions to involuntary care / 1 000 residents,Compulsory treatment in psychiatric inpatient care per population,"Hospital care for mental disorders, recipients aged 0-24, combined",Outpatient visits in specialities of psychiatry per 1000 inhabitants,"Psychiatric inpatient care, patients per 1000 inhabitants"
Akaa,1997,0.2932266491453456,-0.43778465782776327,-0.21338773885176818,0.01987475623242666,0.8291270986296937
Akaa,1998,0.14176615299504713,-0.37330833122162416,0.033004794792731204,-0.1749075649901638,0.9764522594390268
Akaa,1999,0.14176615299504713,-0.26438432653587823,0.24826608052192192,-0.047081666687838745,1.7621864504221345
Akaa,2000,0.5961476414459421,-0.2665292771606856,-0.22265638384120653,-1.0392541154154087,0.681801937820361
Akaa,2001,0.2932266491453456,-0.26486590611598093,-0.13165930741064227,-1.032060450142983,1.6148612896128014
Akaa,2002,0.14176615299504713,-0.4197642496751848,-0.1561221181050821,-0.9036811929735487,1.8604032242950226
Akaa,2003,0.2932266491453456,-0.25282090028795473,0.1567118167123785,-0.9479499023423192,1.7130780634856904
Akaa,2004,0.5961476414459421,-0.25274696884019143,0.058303386555639825,-0.919728600119728,2.0568367720407994
Akaa,2005,0.5961476414459421,0.09285073582152686,0.11408317429171487,-0.9125349348473027,1.4184277418670248
Akaa,2006,0.4446871452956436,-0.16106036218296754,-0.049002230337884346,-0.73656681510644,1.1728858071848034
Akaa,2007,0.4446871452956436,0.059131485117499036,-0.30438481528233247,-0.7714284237343466,0.681801937820361
Akaa,2008,0.2932266491453456,-0.12898843118891096,0.33666294918391676,-0.8029698791595958,1.3693193549305804
Akaa,2009,0.2932266491453456,0.29394545004145645,0.32841581438927364,-0.8123769799004594,1.2219941941212478
Akaa,2010,-0.009694343155250917,-0.07435463562752428,0.29524154608437464,-0.6851044404652442,0.9273438725025822
Akaa,2011,-0.16115483930554933,-0.04450266703919035,0.007799067592985856,-0.6353021424253773,0.4853683900745843
Akaa,2012,-0.009694343155250917,-0.06254161359273376,0.3379630530682015,-0.5600453364984674,1.3693193549305804
Akaa,2013,-0.16115483930554933,0.047508019204359285,0.28866597342666905,-0.4333261559303617,0.5344767770110284
Akaa,2014,-0.16115483930554933,0.12293160380316798,0.2717073810215667,-0.5522983123589325,0.9764522594390268
Akaa,2015,-0.31261533545584774,0.022023867776455215,0.7400296376161256,-0.5965670217277032,-0.10393225316274664
Akaa,2016,-0.16115483930554933,0.09669187938695227,0.008913442350944238,-0.4941956313124212,-0.595016122527189
Akaa,2017,-0.009694343155250917,2.5677512909273577,0.5011413222609638,-0.48146837736889964,-0.15304064009919113
Akaa,2018,0.14176615299504713,3.0543639055174694,0.42552414066172756,-0.4471601276081025,-0.10393225316274664
Akaa,2019,0.14176615299504713,3.0145512158750116,0.5503455373393331,-0.49806914338218855,-0.15304064009919113
Akaa,2020,0.2932266491453456,2.9045194803185668,0.6005712626124977,-0.6690570333190647,-0.3985825747814123
Akaa,2021,0.14176615299504713,3.211522254093756,0.9471366531138365,-0.45933402268451434,-0.595016122527189
Akaa,2022,0.14176615299504713,2.9948763988576577,0.46759559570341214,-0.40455149484066094,-0.545907735590745
Akaa,2023,0.14176615299504713,2.9375337913762114,-0.06661087468512895,-0.40455149484066094,-0.987883218018743
Alajärvi,1997,-0.16115483930554933,-0.16760387017552145,-0.46070891812789955,0.41054611641182664,0.7309103247568056
Alajärvi,1998,-0.16115483930554933,-0.10315949734370519,-0.2625919539301375,0.40999275754471687,1.0255606463754707
Alajärvi,1999,-0.009694343155250917,-0.1822631889276647,-0.45199746051744044,0.5101507124915603,0.7309103247568056
Alajärvi,2000,-0.31261533545584774,0.04396893904020769,-0.29567335767187336,0.5129175068271085,1.0255606463754707
Alajärvi,2001,-0.009694343155250917,0.024499108323643277,-0.11358634024758152,0.5831940829500316,1.0746690333119149
Alajärvi,2002,-0.16115483930554933,-0.23428840210324264,-0.03157931511696592,0.9168694798171396,0.5835851639474725
Alajärvi,2003,0.2932266491453456,-0.2622621316402561,-0.2872404937509037,0.9329168869633189,0.8782354855661383
Alajärvi,2004,0.7476081375962405,-0.11726957189277838,0.35585029110493577,0.8438261093586683,0.681801937820361
Alajärvi,2005,0.8990686337465388,-0.21727407584687014,-0.4771103231540227,0.9384504756344151,0.5344767770110284
Alajärvi,2006,0.4446871452956436,0.13552000825442104,-0.4771103231540227,2.121531733514808,1.1237774202483595
Alajärvi,2007,-0.31261533545584774,-0.18786243729383648,-0.11572222520033512,1.434813379431755,1.0746690333119149
Alajärvi,2008,-0.31261533545584774,-0.15613774056335614,0.566096890423314,1.6262755474516877,1.9095116112314676
Alajärvi,2009,-0.7669968239067423,-0.5658940339588051,-0.1735450333260004,1.439240250368632,0.8291270986296937
Alajärvi,2010,-0.6155363277564443,-0.6097743518620261,0.46092715848254334,1.3617700089732834,1.2711025810576921
Alajärvi,2011,-0.9184573200570406,-0.303686773559983,0.8320482242414853,1.5023231612191301,1.9095116112314676
Alajärvi,2012,-0.9184573200570406,-0.772963593983384,0.46250585605631767,1.6091214225712889,2.4005954805959098
Alajärvi,2013,-1.0699178162073388,-0.5824639148402289,0.35482878091014064,1.5454851528536813,0.043392907646586
Alajärvi,2014,-1.0699178162073388,-0.7844623034154973,-0.21385206166758414,1.4580544518503595,-0.15304064009919113
Alajärvi,2015,-0.7669968239067423,-0.6775246551305059,-0.197450656641461,1.6550502085413883,-0.6932328964000777
Alajärvi,2016,-0.7669968239067423,-0.7030807516531157,-0.1063607156477336,1.5465918705879005,-0.20214902703563523
Alajärvi,2017,-0.46407583160614585,-0.7130794495708392,-0.23006773756738097,1.4132323836144791,-0.4967993486543007
Alajärvi,2018,-0.31261533545584774,-0.7816516441948832,-0.1307306617790102,1.451414145445044,-0.10393225316274664
Alajärvi,2019,-2.281601785409725,-1.2879570346161724,-0.0410336892327308,1.6766312043586638,-0.595016122527189
Alajärvi,2020,-2.281601785409725,-1.3312577254191675,0.04097333589788475,1.6832715107639795,-0.545907735590745
Alajärvi,2021,-2.281601785409725,-1.34573816987404,0.6331883435384176,1.9599509443187952,-0.2512574139720793
Alajärvi,2022,-2.281601785409725,-1.3440901078857843,0.4371143997302458,1.5499120237905581,-0.15304064009919113
Alajärvi,2023,-2.1301412892594267,-1.3436955932410286,0.8421526502993923,1.5499120237905581,-0.6441245094636333
Alavieska,1997,-0.16115483930554933,-0.39042638062035456,-0.11887962034788371,-0.5406777761496303,0.28893484232880723
Alavieska,1998,-0.31261533545584774,-0.4804698219347995,-0.11887962034788371,-0.30218010442537907,1.8112948373585784
Alavieska,1999,-0.009694343155250917,-0.4382054503979481,-0.11887962034788371,-0.6358555012924869,0.8782354855661383
Alavieska,2000,0.14176615299504713,-0.5254365910654358,-0.11887962034788371,-0.6480293963688988,-0.7423412833365218
Alavieska,2001,0.4446871452956436,-0.26981410812384043,-0.11887962034788371,-0.7642347584619216,-0.20214902703563523
Alavieska,2002,0.4446871452956436,-0.500205935006139,-0.299295075635238,-0.8361714111861737,1.8112948373585784
Alavieska,2003,0.4446871452956436,-0.6899737699806092,-0.10247821532176066,-1.0741157240433155,1.516644515739913
Alavieska,2004,0.5961476414459421,-0.6897327209341043,-1.3325835922809939,-1.0209932728007907,0.4853683900745843
Alavieska,2005,0.7476081375962405,-0.6067500719789857,-1.3325835922809939,-0.9866850230399935,1.7130780634856904
Alavieska,2006,0.8990686337465388,-0.4560531041272387,-0.2008866454784993,-0.9645506683556082,0.5344767770110284
Alavieska,2007,0.5961476414459421,-0.5762245730674266,-0.2008866454784993,-1.1421788646978002,0.8782354855661383
Alavieska,2008,0.5961476414459421,-0.635270688763442,-0.2008866454784993,-1.1338784816911556,0.09250129458303007
Alavieska,2009,0.2932266491453456,-0.7161760956589951,-0.2008866454784993,-1.029293655807435,1.1237774202483595
Alavieska,2010,-0.009694343155250917,-1.0074062849503767,-0.2008866454784993,-1.040360833149628,0.43626000313813984
Alavieska,2011,0.14176615299504713,-0.8382650219729957,-0.2008866454784993,-0.984471587571555,-0.10393225316274664
Alavieska,2012,-0.009694343155250917,-0.7574926084432925,-0.2008866454784993,-0.9335625717974688,0.9764522594390268
Alavieska,2013,-0.16115483930554933,-0.5916276911622076,-0.2008866454784993,-0.904787910707768,1.3693193549305804
Alavieska,2014,-0.16115483930554933,-0.5899140329091048,-0.2008866454784993,-0.9451831080067711,0.681801937820361
Alavieska,2015,-0.46407583160614585,-0.6860133096481763,-0.2008866454784993,-1.0464477806878338,0.5344767770110284
Alavieska,2016,-0.7669968239067423,-0.5472660196983588,-0.2008866454784993,-0.9794913577675681,0.5835851639474725
Alavieska,2017,-0.16115483930554933,1.4475531245904405,-0.2008866454784993,-0.9916652528439802,-0.545907735590745
Alavieska,2018,-0.16115483930554933,1.769567791090646,-0.2008866454784993,-0.5578319010300289,0.09250129458303007
Alavieska,2019,-2.1301412892594267,1.5457962729700812,-0.2008866454784993,-0.6413890899635832,0.7309103247568056
Alavieska,2020,-2.281601785409725,1.5520839218037497,-0.2008866454784993,-0.9623372328871697,-0.6441245094636333
Alavieska,2021,-2.281601785409725,1.8250352737142,-0.2008866454784993,-0.8411516409901603,-0.8405580572094102
Alavieska,2022,-2.281601785409725,1.900876207161067,-0.2008866454784993,-0.7885825486147453,-1.18431676576452
Alavieska,2023,-2.281601785409725,1.8867090765489676,-0.2008866454784993,-0.7885825486147453,-0.005715479289858072
Alavus,1997,-0.16115483930554933,-0.16760387017552145,-0.03371520006971957,-0.12565862581740656,0.043392907646586
Alavus,1998,-0.16115483930554933,-0.10315949734370519,-0.4273489206966742,-0.108504500937008,0.23982645539236314
Alavus,1999,-0.009694343155250917,-0.1822631889276647,-0.08050493650584575,-0.21419604455494762,0.632693550883917
Alavus,2000,-0.31261533545584774,0.04396893904020769,-0.4351317326755013,-0.2175161977576054,0.7800187116932495
Alavus,2001,-0.009694343155250917,0.024499108323643277,0.009563494293086455,-1.0458944218207242,0.9273438725025822
Alavus,2002,-0.16115483930554933,-0.23428840210324264,-0.16455498202605173,-0.9689775392924853,1.0255606463754707
Alavus,2003,0.2932266491453456,-0.2622621316402561,-0.24711919453564637,-0.9429696725383325,0.7309103247568056
Alavus,2004,0.7476081375962405,-0.11726957189277838,-0.1168365999582934,-0.8599658424718877,1.2219941941212478
Alavus,2005,0.8990686337465388,-0.21727407584687014,-0.502223185790605,-0.7919027018174032,1.0746690333119149
Alavus,2006,0.4446871452956436,0.13552000825442104,-0.502223185790605,-0.8245508749768712,1.6639696765492462
Alavus,2007,-0.31261533545584774,-0.18786243729383648,0.4197843490724906,-0.8322978991164062,0.8291270986296937
Alavus,2008,-0.31261533545584774,-0.15613774056335614,0.4197843490724906,-0.8754598907509575,1.1728858071848034
Alavus,2009,-0.7669968239067423,-0.5658940339588051,0.4361857540986138,-0.8787800439536153,1.5657529026763572
Alavus,2010,-0.6155363277564443,-0.6097743518620261,-0.22191346733590092,-0.87158637868119,1.320210967994136
Alavus,2011,-0.9184573200570406,-0.303686773559983,0.7164954725533179,-0.903127834106439,1.6639696765492462
Alavus,2012,-0.9184573200570406,-0.772963593983384,-0.014806451838190252,-0.7985430082227187,1.1237774202483595
Alavus,2013,-1.0699178162073388,-0.5824639148402289,-0.1639977946470724,-0.6563297793755433,0.8782354855661383
Alavus,2014,-1.0699178162073388,-0.7844623034154973,-0.2952090348560574,-0.656883138242653,1.3693193549305804
Alavus,2015,-0.7669968239067423,-0.6775246551305059,-0.13925639026314302,-0.6491361141031181,1.320210967994136
Alavus,2016,-0.7669968239067423,-0.7030807516531157,-0.2713962761037599,-0.7769620124054429,0.9273438725025822
Alavus,2017,-0.46407583160614585,-0.7130794495708392,0.14920759842304088,-0.7653414761961408,0.8782354855661383
Alavus,2018,-0.31261533545584774,-0.7816516441948832,0.29682024365814885,-0.7686616293987986,-0.6932328964000777
Alavus,2019,-2.281601785409725,-1.2879570346161724,0.10000338334467157,-0.7066854362825198,-0.9387748310822989
Alavus,2020,-2.281601785409725,-1.3312577254191675,0.165609003449164,-0.6895313114021212,-0.595016122527189
Alavus,2021,-2.281601785409725,-1.34573816987404,0.24761602857977955,-0.6967249766745464,-0.545907735590745
Alavus,2022,-2.281601785409725,-1.3440901078857843,0.4116300788410107,-0.7476339924486326,-0.8405580572094102
Alavus,2023,-2.1301412892594267,-1.3436955932410286,0.4116300788410107,-0.7476339924486326,-0.9387748310822989
Asikkala,1997,0.2932266491453456,0.43049263737421367,0.2129559272642694,-0.6640768035150781,-0.4476909617178564
Asikkala,1998,0.4446871452956436,0.46198496032777087,0.5664683486759667,-0.715539178156274,0.681801937820361
Asikkala,1999,0.4446871452956436,0.4921397090636488,-0.056785042316711484,-0.745420556980194,0.4853683900745843
Asikkala,2000,0.2932266491453456,0.46320920296882273,0.9132194683036319,-0.6590965737110914,0.4853683900745843
Asikkala,2001,0.4446871452956436,0.9433453981308276,0.6251269378701009,-0.6668435978506263,-0.10393225316274664
Asikkala,2002,1.0505291298968367,0.6413540793286534,0.5914883467493859,-0.6939581823389982,0.14160968151947456
Asikkala,2003,1.2019896260471352,0.7793242069837069,1.0179248774285867,-0.9086614227775355,-0.054823866226302566
Asikkala,2004,0.8990686337465388,0.7338551426252772,1.03432628245471,-0.8649460722758744,0.1907180684559186
Asikkala,2005,1.3534501221974333,0.9849261366387856,0.3618686763836622,-0.7526142222526192,-0.6441245094636333
Asikkala,2006,1.0505291298968367,0.6722196728893822,0.6406925618277551,-1.0680287765051093,-1.0369916049551873
Asikkala,2007,-0.009694343155250917,0.6212782377713874,0.06664338591344625,-0.808503467830692,-0.545907735590745
Asikkala,2008,-0.009694343155250917,0.7396758736801637,0.460277106540401,-0.7570410931894963,0.09250129458303007
Asikkala,2009,-0.31261533545584774,0.26107533953903633,0.5750869417232626,-0.5655789251695638,-0.3985825747814123
Asikkala,2010,-0.009694343155250917,0.4377483700617873,0.6898967769061244,-0.566685642903783,-0.6932328964000777
Asikkala,2011,-0.009694343155250917,0.044254907927560615,0.4604628356667274,-0.4936422724453116,-0.3985825747814123
Asikkala,2012,-0.31261533545584774,0.2224093045168835,0.8868993663459281,-0.3885040876944816,-0.10393225316274664
Asikkala,2013,-0.31261533545584774,-0.2068913247595575,0.4768642406928505,-0.35862270887056147,-0.4967993486543007
Asikkala,2014,0.14176615299504713,0.14388123187082855,0.8212937462414359,-0.23467032263800391,0.1907180684559186
Asikkala,2015,0.4446871452956436,-0.01958149230768562,0.9461151429190416,-0.2722987256014589,-0.4476909617178564
Asikkala,2016,0.4446871452956436,0.20294696880670873,0.8313053077361797,-0.13063885562139327,-0.545907735590745
Asikkala,2017,0.4446871452956436,0.22163440839747925,0.5032772072137176,-0.023287235402124674,-0.9387748310822989
Asikkala,2018,0.8990686337465388,2.6935943859051807,0.864108117788426,0.0990050742291039,-0.7914496702729662
Asikkala,2019,0.4446871452956436,2.3642658235039353,0.5524814222920869,0.24121830307627917,-0.9387748310822989
Asikkala,2020,-2.1301412892594267,-0.6189394745658356,0.5524814222920869,0.4874629989400653,-1.18431676576452
Asikkala,2021,-2.281601785409725,-0.7573082671788313,0.8969109278406723,0.9782923140663089,-0.4967993486543007
Asikkala,2022,-2.281601785409725,-0.74045846618652,1.5529671288855968,0.6850121144982041,-0.4967993486543007
Asikkala,2023,-1.675759800808532,-0.740237163343864,1.2905446484676268,0.6850121144982041,-0.7914496702729662
Askola,1997,-0.9184573200570406,-0.3323161915751191,-0.299295075635238,0.0043807079533569075,-0.3494741878449678
Askola,1998,-0.6155363277564443,-0.0488306142541579,-0.299295075635238,0.41884649941847113,-0.15304064009919113
Askola,1999,-0.6155363277564443,-0.19624465403750976,-0.299295075635238,0.3873050439932222,0.3871516162016958
Askola,2000,-0.16115483930554933,-0.2045984886810968,-0.299295075635238,0.27054632303308973,0.4853683900745843
Askola,2001,-0.31261533545584774,-0.31090450238040107,-0.004069785165022025,0.08185094934870533,-0.6441245094636333
Askola,2002,-0.46407583160614585,-0.19398713705838788,-0.004069785165022025,0.3308624395480398,-0.3003658009085238
Askola,2003,-0.16115483930554933,0.3643805136555887,-0.5945203661054539,0.45702826124903556,-0.10393225316274664
Askola,2004,-0.16115483930554933,-0.0922278609872942,-0.6929287962621926,0.4703088740596669,-0.005715479289858072
Askola,2005,0.14176615299504713,0.24342317584126139,-0.6929287962621926,0.223510819328771,-0.6932328964000777
Askola,2006,-0.16115483930554933,0.038953087584515156,-0.6929287962621926,0.16983500921913683,-0.3003658009085238
Askola,2007,-0.009694343155250917,0.29874909496329044,-0.6929287962621926,0.04200911091681193,-1.18431676576452
Askola,2008,-0.009694343155250917,0.5260146691171227,-0.6929287962621926,0.38066473758790664,-0.8405580572094102
Askola,2009,-0.009694343155250917,0.1264407837496804,-0.6929287962621926,0.4636685676543514,-1.18431676576452
Askola,2010,-0.009694343155250917,0.06019703079417274,-0.6929287962621926,0.2688862464317608,-0.8896664441458545
Askola,2011,-0.009694343155250917,0.02382907244193403,-0.6929287962621926,0.3790046609865777,-0.3003658009085238
Askola,2012,-0.46407583160614585,-0.6560567000767127,-0.6929287962621926,0.36406397157461773,-1.1352083788280758
Askola,2013,-0.46407583160614585,-0.6008377972031576,-0.6929287962621926,0.2677795286975416,-1.1352083788280758
Askola,2014,-0.31261533545584774,-0.5751858369724256,-0.6929287962621926,0.21299700085368814,-0.4967993486543007
Askola,2015,-0.31261533545584774,-0.39864802054742854,-0.6929287962621926,0.24841196834870446,-0.3985825747814123
Askola,2016,-0.16115483930554933,0.19277649518019685,-0.6929287962621926,0.3596371006377406,-1.3316419265738526
Askola,2017,-0.16115483930554933,0.2202771877566285,-0.6929287962621926,0.40224573340518216,-1.6262922481925182
Askola,2018,-0.16115483930554933,0.4273987320866818,-0.6929287962621926,0.6573441711427225,-1.2334251527009643
Askola,2019,-0.31261533545584774,0.4496694550207428,-0.6929287962621926,0.6844587556310944,-1.2334251527009643
Askola,2020,-0.7669968239067423,1.0569610911747551,-0.6929287962621926,0.6147355383752806,-1.6262922481925182
Askola,2021,-0.46407583160614585,1.1224605664361398,-0.6929287962621926,0.7309409004683033,-1.822725795938295
Askola,2022,-1.2213783123576372,0.47936825903449554,-0.6929287962621926,0.4924432287440522,-1.822725795938295
Askola,2023,-0.6155363277564443,0.4790434690338316,-0.6929287962621926,0.4924432287440522,-1.822725795938295
Aura,1997,-0.009694343155250917,0.35707355827050874,0.33333763623692314,-0.41727874878418236,-0.15304064009919113
Aura,1998,-0.009694343155250917,0.6578611548024098,0.33333763623692314,-0.36470965640876735,0.43626000313813984
Aura,1999,0.2932266491453456,0.4622547149097013,0.33333763623692314,-0.16107359331242302,0.09250129458303007
Aura,2000,0.5961476414459421,0.8902892921130406,0.33333763623692314,-0.43000600272770395,-0.6441245094636333
Aura,2001,0.5961476414459421,0.7549528665277331,0.1271592663708442,-0.4416265389370062,-0.3985825747814123
Aura,2002,0.5961476414459421,0.9457164395844366,-1.3325835922809939,-0.5301639576745473,-0.8405580572094102
Aura,2003,0.5961476414459421,0.8922501478227528,-0.2828936706091148,-0.5218635746679029,-0.8896664441458545
Aura,2004,0.5961476414459421,0.28932708840708404,-0.2828936706091148,-0.5550651066944806,-0.2512574139720793
Aura,2005,0.7476081375962405,-0.2033146117202091,-0.3156964806613611,-0.4969624256479694,0.3871516162016958
Aura,2006,0.7476081375962405,-0.22939300122217174,-0.3156964806613611,-0.4759347886978033,-0.20214902703563523
Aura,2007,1.2019896260471352,0.0888012900382573,-0.3156964806613611,-0.4488202042094315,-0.3494741878449678
Aura,2008,1.0505291298968367,-0.2210288808332848,-0.1352810253740069,-0.26953193126591074,-0.2512574139720793
Aura,2009,0.8990686337465388,-0.10089554343078189,-0.1352810253740069,-0.0819432753157456,-0.3494741878449678
Aura,2010,0.7476081375962405,-0.35214350134118044,0.17634567012233204,-0.10463098886724048,-0.7914496702729662
Aura,2011,0.5961476414459421,-0.20858473618136122,0.17634567012233204,-0.040994719149632826,-0.20214902703563523
Aura,2012,0.4446871452956436,-0.5361518922881857,-0.5125133409748384,0.08572446141847286,-1.18431676576452
Aura,2013,0.5961476414459421,-0.5161232453784902,-0.5125133409748384,-0.0625757149669085,-0.9387748310822989
Aura,2014,0.4446871452956436,-0.6988711778951374,-0.004069785165022025,0.1360801183254493,-0.6932328964000777
Aura,2015,0.2932266491453456,-0.5795926928711089,-0.5125133409748384,0.567700034670962,-0.545907735590745
Aura,2016,0.14176615299504713,-0.49071449770049247,-0.2828936706091148,0.1172659168437218,-1.18431676576452
Aura,2017,0.14176615299504713,-1.2807115294869555,-0.2828936706091148,-0.1693739763190675,-0.9387748310822989
Aura,2018,0.2932266491453456,-1.5000236896413093,-0.2828936706091148,0.9688852133254449,-0.3003658009085238
Aura,2019,0.2932266491453456,-1.4760342424469375,-0.25009086055686874,0.3485699232955479,-1.0369916049551873
Aura,2020,0.2932266491453456,-1.5311658345329564,-0.25009086055686874,0.35797702403641163,-0.20214902703563523
Aura,2021,0.2932266491453456,-1.5437563035447277,-0.25009086055686874,0.18864921070086418,-1.4298587004467411
Aura,2022,-0.009694343155250917,-1.556242763458578,-0.25009086055686874,0.12667301758458546,-0.9387748310822989
Aura,2023,-0.16115483930554933,-1.5573882698384303,-0.25009086055686874,0.12667301758458546,-0.9387748310822989
Brändö,1997,-1.2213783123576372,-1.0917586201004943,-1.3325835922809939,-0.5323773931429858,3.0881128977061283
Brändö,1998,-1.0699178162073388,-1.663964260707495,-1.3325835922809939,-0.7149858192891644,5.052448375163898
Brändö,1999,-1.3728388085079355,-1.663964260707495,-1.3325835922809939,-1.220202464960258,4.4140393449901225
Brändö,2000,-2.1301412892594267,-1.663964260707495,-1.3325835922809939,-1.2412301019104242,4.4140393449901225
Brändö,2001,-2.1301412892594267,-1.663964260707495,-1.3325835922809939,-1.2412301019104242,4.4140393449901225
Brändö,2002,-2.1301412892594267,-1.1106091315498896,-1.3325835922809939,-1.1532460420399926,4.4140393449901225
Brändö,2003,-1.675759800808532,-1.0022063849892533,-1.3325835922809939,-1.2522972792526168,5.199773535973231
Brändö,2004,-1.5242993046582336,-1.0067710925375952,-1.3325835922809939,-1.220202464960258,4.26671418418079
Brändö,2005,-0.9184573200570406,-0.7954328028105155,-1.3325835922809939,-1.2417834607775338,2.302378706723021
Brändö,2006,-1.3728388085079355,-1.0163642625070513,-1.3325835922809939,-1.220202464960258,2.302378706723021
Brändö,2007,-0.7669968239067423,-0.4867543620648457,-1.3325835922809939,-0.43000600272770395,3.4809799931976824
Brändö,2008,-0.46407583160614585,-0.49974586116463887,-1.3325835922809939,-0.43000600272770395,3.4809799931976824
Brändö,2009,-1.0699178162073388,-0.30186147609770436,-1.3325835922809939,-0.3409152251230533,3.4809799931976824
Brändö,2010,-0.46407583160614585,-0.21138284343249616,-1.3325835922809939,-0.5716658727077697,4.905123214354565
Brändö,2011,-1.2213783123576372,-0.33164576496203674,-1.3325835922809939,-0.6640768035150781,4.905123214354565
Brändö,2012,-1.3728388085079355,-1.1541770382841114,-1.3325835922809939,-0.613167787740992,4.905123214354565
Brändö,2013,-1.5242993046582336,-0.852999598666537,-1.3325835922809939,-1.1477124533688963,4.905123214354565
Brändö,2014,-1.8272202969588303,-0.8600109821741783,-1.3325835922809939,-0.7736418592027852,4.905123214354565
Brändö,2015,-1.3728388085079355,-1.663964260707495,-1.3325835922809939,-1.2168823117576004,4.905123214354565
Brändö,2016,-1.3728388085079355,-1.663964260707495,-1.3325835922809939,0.08683117915269206,-2.412026439175626
Brändö,2017,-1.675759800808532,-1.663964260707495,-1.3325835922809939,-0.07696304551175889,-2.412026439175626
Brändö,2018,-1.2213783123576372,-1.663964260707495,-1.3325835922809939,0.5472257565879056,-2.412026439175626
Brändö,2019,-2.1301412892594267,-1.663964260707495,-1.3325835922809939,0.7248539529300976,-2.412026439175626
Brändö,2020,-1.5242993046582336,-1.663964260707495,-1.3325835922809939,0.3867516851261124,-2.412026439175626
Brändö,2021,-1.5242993046582336,-1.663964260707495,-1.3325835922809939,0.49797681741514854,-2.412026439175626
Brändö,2022,-1.3728388085079355,-1.663964260707495,-1.3325835922809939,-1.1416255058306906,-2.412026439175626
Brändö,2023,-1.3728388085079355,-1.663964260707495,-1.3325835922809939,-1.1416255058306906,-2.412026439175626
Eckerö,1997,-1.2213783123576372,-1.0917586201004943,-1.3325835922809939,-0.32984804778086063,-2.412026439175626
