municipality,year,depression,involuntary_care,psychotic
Akaa,1997,-1.02009613757151,0.179716207099538,-0.725162716295059
Akaa,1998,-0.905706658141479,0.22068799302508,-0.648066310570687
Akaa,1999,-0.819767924682798,0.673676769002521,-0.782805938324879
Akaa,2000,-0.722954966174673,-0.0916741436992854,-0.861557195415595
Akaa,2001,-0.686376227130987,0.175487747506953,-0.660511400918381
Akaa,2002,-0.551249577449525,0.191261273181769,-0.641727203491539
Akaa,2003,-0.537165938357109,0.352161697455762,-0.57560216442228
Akaa,2004,-0.427222048534177,0.563172911367201,-0.496956470475768
Akaa,2005,-0.445399397108765,0.479057084116973,-0.563282267302465
Akaa,2006,-0.52275347766998,0.245551225734788,-0.390073427597253
Akaa,2007,-0.279012026124986,0.0401871729606638,-0.168946697193346
Akaa,2008,-0.103547640255718,0.390591288258798,-0.344027093251435
Akaa,2009,0.0843428144303203,0.484997204275607,-0.312392997898391
Akaa,2010,0.0375499269594505,0.165946574908057,-0.593817383631111
Akaa,2011,0.0716312108250665,-0.127284626972466,-0.429873206305698
Akaa,2012,0.216819580445411,0.393427797940094,-0.326739287659577
Akaa,2013,0.391620720728622,0.101072328866612,-0.0548755971027416
Akaa,2014,0.4918044064142,0.24068171005801,-0.212798160077394
Akaa,2015,0.621533281665191,-0.09188308394741,-0.346950780906084
Akaa,2016,0.521166822925302,-0.418958548038925,-0.46624919843707
Akaa,2017,0.959516434819766,0.887385268940332,-0.615241889810844
Akaa,2018,1.38107055539082,1.12376104366338,-0.323429799738706
Akaa,2019,1.82247315807545,1.11826817671796,-0.398077118193997
Akaa,2020,2.03546902496102,0.99937063570497,-0.257606704811117
Akaa,2021,2.41012865780475,1.18799514551917,-0.45089413320678
Akaa,2022,2.87170814101042,0.971227267819872,-0.420199850125323
Akaa,2023,2.75536894642197,0.592979016450644,-0.609752833314588
Alajärvi,1997,-1.01537269998444,0.128820502525925,-0.281376732547439
Alajärvi,1998,-0.968518270985556,0.332545732279221,-0.569567022402017
Alajärvi,1999,-0.884574344660418,0.21852825365368,-0.425188200988127
Alajärvi,2000,-0.719768771470604,0.356521485000495,-0.226973266653728
Alajärvi,2001,-0.67761937859869,0.570591052547791,-0.155193922759516
Alajärvi,2002,-0.565445476807718,0.392853566870877,-0.440365204645808
Alajärvi,2003,-0.524345994783226,0.56905205795981,0.0262922039930452
Alajärvi,2004,-0.449203829378747,0.919272156840651,-0.0267634241330426
Alajärvi,2005,-0.213616850290834,0.613970519868107,0.0118603073904458
Alajärvi,2006,-0.158071087786374,1.22544616454719,0.287287740171632
Alajärvi,2007,0.177375515729601,0.69290154317894,0.197245628619129
Alajärvi,2008,0.00641706201174199,1.32964952199049,0.264803121698883
Alajärvi,2009,0.277491375647563,0.278850888164213,0.0484705749231433
Alajärvi,2010,0.366286935821236,0.683827700048366,0.36748846959556
Alajärvi,2011,0.474354493095301,1.10589288352564,0.198937926000629
Alajärvi,2012,0.624035692272306,1.01771498786789,0.192320294918295
Alajärvi,2013,0.48301822896037,0.106618863070773,-0.0366414385792012
Alajärvi,2014,0.692045792486621,-0.27932187079121,0.348589852473071
Alajärvi,2015,0.687382048062328,-0.248922359996159,0.519485807454041
Alajärvi,2016,0.449255970173581,-0.0849054543763798,0.511512213486071
Alajärvi,2017,0.772535487858156,-0.179618811479794,0.187577652413274
Alajärvi,2018,0.847186624202133,0.0448266596508279,0.126023911173504
Alajärvi,2019,1.25373326021834,-0.925552547489312,0.107001143069613
Alajärvi,2020,1.28676292799006,-0.890983993996326,0.155235478890274
Alajärvi,2021,1.65018114365959,-0.470450621277242,0.282666657534942
Alajärvi,2022,1.91841468839531,-0.655726751991233,-0.124173245410222
Alajärvi,2023,2.34238751114758,-0.631641898661377,0.214671039216595
Alavieska,1997,-1.40008338984681,-0.33750718498341,0.0138760484653771
Alavieska,1998,-1.19972056832233,0.218544323990205,0.271951628366085
Alavieska,1999,-0.937247316520027,-0.118723368282969,0.545182215643036
Alavieska,2000,-0.990183157629706,-0.692769177124733,0.556852664202266
Alavieska,2001,-1.01669633202201,-0.333183727065864,0.484891115192447
Alavieska,2002,-0.867365052148592,0.227020252544994,0.348812000484052
Alavieska,2003,-0.677419143818204,0.0346816131870126,0.629030894717194
Alavieska,2004,-0.615768756258981,-0.717975179342955,0.757966739489348
Alavieska,2005,-0.20326708990468,-0.170301902807731,0.821353015297587
Alavieska,2006,0.0187100989636335,-0.0687839196660309,1.02404123428421
Alavieska,2007,0.150605576920518,-0.162826588434537,0.782213653626689
Alavieska,2008,0.131783803130624,-0.468960647158171,0.558206923130583
Alavieska,2009,0.0810768283472333,-0.193731818232508,0.954965538566617
Alavieska,2010,-0.194318508156515,-0.66684592268132,0.730621041631673
Alavieska,2011,-0.0341526337959169,-0.726757137703594,0.942241222676551
Alavieska,2012,0.357740458424418,-0.338597851838201,0.583440319921547
Alavieska,2013,0.253581513371926,-0.179014121976705,0.569410637831303
Alavieska,2014,-0.151104326360044,-0.444787666083886,0.340925858520413
Alavieska,2015,-0.336911946282914,-0.681799342691181,0.310798904221743
Alavieska,2016,-0.160136231997584,-0.699406185489329,0.72434306876737
Alavieska,2017,-0.501331163731808,-0.165444945576312,0.49198022131264
Alavieska,2018,-0.238205414017639,0.344823809331389,0.362571214174793
Alavieska,2019,0.473444329973945,-0.254615383679531,0.569563475415316
Alavieska,2020,0.92696571180621,-0.928439691153873,0.761210264746725
Alavieska,2021,1.32827349654086,-0.856084406410056,0.789916833472886
Alavieska,2022,1.8504290404258,-0.934897494949406,0.566185657417823
Alavieska,2023,2.71040421538007,-0.508739084971583,0.285783451996915
Alavus,1997,-1.35585825335845,-0.162765349719217,-0.397845404340133
Alavus,1998,-1.34138555469559,-0.205073131428252,-0.760640161450342
Alavus,1999,-1.27498487717193,0.0534457523176295,-0.793147692670878
Alavus,2000,-1.13725765765956,-0.0517039037546161,-0.553969375642425
Alavus,2001,-0.895054710822554,-0.034468737189914,-0.485583175065107
Alavus,2002,-0.858773873894364,-0.184239344460306,-0.540137360372468
Alavus,2003,-0.908996755147366,-0.156717326630584,0.0838698600169873
Alavus,2004,-0.790931670493938,0.320425681494927,0.0347411926549173
Alavus,2005,-0.594535715250552,0.169205875358875,0.0407435099537466
Alavus,2006,-0.390897122565417,0.335750118217806,0.23428954000078
Alavus,2007,-0.407395734035027,-0.0306925421620252,0.169176090369615
Alavus,2008,-0.543554799583734,0.0909301056537304,0.253385735340099
Alavus,2009,-0.490428341698639,-0.0767575904735495,0.132573895608607
Alavus,2010,-0.213564188980953,-0.36546643496024,0.383053163218548
Alavus,2011,-0.152907432684752,0.0933953516499842,0.214070239830425
Alavus,2012,-0.073325478009281,-0.50541437524959,0.185455083224052
Alavus,2013,0.109455996890125,-0.583543882022052,0.0280200855144135
Alavus,2014,-0.0818381304667338,-0.525967748180897,0.0683365773681749
Alavus,2015,0.188486100053749,-0.334030107130189,0.101650898426573
Alavus,2016,-0.111483823534224,-0.582306204125508,0.206088831372758
Alavus,2017,0.199833071894895,-0.334890398508454,0.454173769937012
Alavus,2018,-0.0671182122039212,-0.82687138201396,0.373736308608602
Alavus,2019,0.456602081338417,-1.87198816564527,0.43590903419443
Alavus,2020,0.618349690436827,-1.73173852454617,0.380027398316454
Alavus,2021,1.06005592212257,-1.69168530972402,0.649687580292303
Alavus,2022,1.18337643118876,-1.75752391042161,0.0964143603299136
Alavus,2023,0.762841753558424,-1.73789344385922,0.301155843860203
Asikkala,1997,-1.11780569978271,-0.0640801911802716,-0.434701233342145
Asikkala,1998,-1.09046669980012,0.526791301930893,0.00452824217397136
Asikkala,1999,-0.949872593294975,0.22690317013122,-0.0113450307314334
Asikkala,2000,-0.886812557631505,0.547477868837641,0.102071444598994
Asikkala,2001,-1.01515606310338,0.454686278136327,-0.126294288903
Asikkala,2002,-1.05252356648965,0.633518030286143,0.173136654191146
Asikkala,2003,-0.852171668418169,0.745042935082733,0.215613587840737
Asikkala,2004,-0.812267000094581,0.729404153713764,0.482987324259796
Asikkala,2005,-0.960953399718866,0.477055854368893,0.510707543713974
Asikkala,2006,-0.428211860898113,0.0945766445712843,0.542816413431536
Asikkala,2007,-0.231422177061567,-0.247469093878221,0.516514223338894
Asikkala,2008,-0.0663922654245916,0.19240203764639,0.744442571504761
Asikkala,2009,-0.23187417766993,-0.16125565955099,0.112584780109601
Asikkala,2010,-0.396715733374998,-0.051957205240399,0.0573965106946681
Asikkala,2011,-0.0550221364341293,-0.145367375348538,0.279186626695538
Asikkala,2012,-0.106972046842616,0.11135166069214,0.276985267495112
Asikkala,2013,-0.157001712874967,-0.32867270997611,0.0120334927980507
Asikkala,2014,-0.270700567490352,0.389031571543865,0.242367333044448
Asikkala,2015,-0.0417391838411425,0.238336888665244,-0.0179817458995888
Asikkala,2016,-0.11505353783991,0.293658899608668,0.265897535975044
Asikkala,2017,0.138639560461409,0.0759540651240991,0.267869680970294
Asikkala,2018,0.501556339526333,1.3776643406088,0.22967578246037
Asikkala,2019,0.910536072254766,0.97492326963457,0.0684778957302375
Asikkala,2020,1.2755497087682,-1.05894298084178,-0.06809656472052
Asikkala,2021,1.61468940475182,-0.607710329569275,-0.0869282573852377
Asikkala,2022,1.77677636822197,-0.468775270379982,-0.276094436237645
Asikkala,2023,1.33335763837683,-0.450845783117806,-0.119012904797504
Askola,1997,-1.24436988553212,-0.6935894564107,-1.41663313519674
Askola,1998,-1.21370495626962,-0.25540067622405,-0.985644846813929
Askola,1999,-1.00974093026847,-0.123195619409487,-0.966016628741115
Askola,2000,-0.899879633782024,0.0332551581178348,-1.07314588522013
Askola,2001,-0.970131433197131,-0.435464899114313,-1.2490678052389
Askola,2002,-0.984649385697454,-0.231165533215196,-1.17221317989116
Askola,2003,-0.987126862468331,-0.0139799148055923,-1.07784390651627
Askola,2004,-0.842293224281317,-0.176298693473363,-0.795972417759957
Askola,2005,-1.14350876879691,-0.284534573254936,-0.887234035773233
Askola,2006,-0.913195423602195,-0.346092160611566,-0.768222743421813
Askola,2007,-0.66434625852233,-0.565869981736487,-1.1205270290289
Askola,2008,-0.244569973025778,-0.232946267829281,-0.88235745526167
Askola,2009,-0.488678542572878,-0.474612706975501,-0.507630211881694
Askola,2010,-0.124090982489228,-0.462306939617313,-0.935202997527357
Askola,2011,-0.107787280309496,-0.219644182905193,-0.972490927664656
Askola,2012,-0.2960549328016,-0.945764946539194,-1.13314940016704
Askola,2013,-0.399824566264223,-0.960794070465757,-1.03248122220794
Askola,2014,-0.449769088862856,-0.68237961188927,-1.04608075750015
Askola,2015,-0.0662557074484192,-0.568864077406658,-1.34423660145279
