municipality,year,depression,involuntary_care,psychotic,Bankruptcies instigated, number of enterprises,bankruptcy_ratio,type_of_debt_x,mean_debt_euro_buisiness,income,Life_support,Pension benefits_excl_guaranteed_pension,Pension_support,Pensioner_housing_allowance,Special_care_allowance,School_travel_allowance,Rehabilitation,Rehabilitation_allowance,Child_benefit,Child_care_allowances,Special_support_for_immigrants,Student_loan_repayment,Student_loan_interest_subsidy,Student_loan_reduction,Study_support,Family_leave_allowance,Basic_income_support,Medical_benefits,Sickness_benefits,Military_allowance,Guaranteed_pension,Unemployment_insurance,Disability_benefits,Parental_allowance,Annual_holiday_expense_allowance,Temporary_power_support,General_housing_allowance,Maternity_allowance,type_of_debt_y,mean_debt_euro_housing,type_of_debt_x,mean_debt_euro_other,pop_rate,poverty_rate,type_of_debt_y,mean_debt_euro_study,type_of_debt,mean_debt_euro_total
Akaa,2008,-0.103547640255718,0.390591288258798,-0.344027093251435,9,36,0.25,Loans charged on business activities or a source of income,1962,34802,0,0,0,0,11,374,264,199,1743,412,0,0,10,0,459,0,0,11054,1026,20,0,601,0,490,87,0,0,169,Housing loans,39610,Other debts,9701,57.4,13.8,Study loans,462,Debts total,51734
Akaa,2009,0.0843428144303203,0.484997204275607,-0.312392997898391,9,18,0.5,Loans charged on business activities or a source of income,1923,33425,0,0,0,0,13,373,249,174,1761,416,0,0,9,4,504,0,0,11077,946,29,0,696,0,444,84,0,0,165,Housing loans,41453,Other debts,9932,57.5,13.3,Study loans,468,Debts total,53777
Akaa,2010,0.0375499269594505,0.165946574908057,-0.593817383631111,6,17,0.352941176470588,Loans charged on business activities or a source of income,2105,33651,0,0,0,0,9,385,235,174,1766,429,0,0,4,8,455,0,0,11206,934,45,0,696,0,469,82,0,0,180,Housing loans,42979,Other debts,9540,58,12.9,Study loans,452,Debts total,55076
Akaa,2011,0.0716312108250665,-0.127284626972466,-0.429873206305698,7,20,0.35,Loans charged on business activities or a source of income,1904,34486,0,0,0,0,11,433,297,202,2049,500,0,0,4,5,531,0,0,13345,1116,32,0,841,0,535,81,0,0,179,Housing loans,43804,Other debts,9861,58.3,12.8,Study loans,444,Debts total,56014
Akaa,2012,0.216819580445411,0.393427797940094,-0.326739287659577,8,26,0.307692307692308,Loans charged on business activities or a source of income,2059,34664,0,0,0,0,16,420,308,206,2047,491,0,0,4,8,504,0,0,13357,1173,29,0,841,0,566,108,0,0,206,Housing loans,43742,Other debts,8761,58.4,11.7,Study loans,423,Debts total,54985
Akaa,2013,0.391620720728622,0.101072328866612,-0.0548755971027416,8,26,0.307692307692308,Loans charged on business activities or a source of income,2086,34248,0,0,0,0,23,477,329,214,2044,500,0,0,4,8,497,0,0,13228,1181,24,0,893,0,545,131,0,0,185,Housing loans,43430,Other debts,8742,58.4,11.1,Study loans,421,Debts total,54679
Akaa,2014,0.4918044064142,0.24068171005801,-0.212798160077394,9,101,0.0891089108910891,Loans charged on business activities or a source of income,1985,33724,0,0,0,0,17,461,355,214,2023,486,0,0,4,11,480,0,0,13300,1144,19,0,937,0,484,96,0,0,157,Housing loans,42750,Other debts,9106,58.2,10.9,Study loans,405,Debts total,54247
Akaa,2015,0.621533281665191,-0.09188308394741,-0.346950780906084,13,74,0.175675675675676,Loans charged on business activities or a source of income,2047,33822,0,0,0,0,28,485,379,222,1984,447,0,0,4,9,438,0,0,13301,1060,15,0,951,0,482,84,0,0,166,Housing loans,42682,Other debts,10043,58.1,11,Study loans,.,Debts total,54771
Akaa,2016,0.521166822925302,-0.418958548038925,-0.46624919843707,5,22,0.227272727272727,Loans charged on business activities or a source of income,2177,33791,0,0,0,0,22,460,359,192,1962,442,0,0,4,9,444,0,0,12110,1054,22,0,964,0,470,100,0,0,138,Housing loans,42286,Other debts,10881,57.7,11.7,Study loans,.,Debts total,55344
Akaa,2017,0.959516434819766,0.887385268940332,-0.615241889810844,5,12,0.416666666666667,Loans charged on business activities or a source of income,2352,34058,0,0,0,0,21,463,374,187,1952,396,0,0,4,12,397,22,0,11724,1017,17,0,971,0,428,86,0,0,113,Housing loans,41083,Other debts,11481,57.2,11.5,Study loans,.,Debts total,54917
Akaa,2018,1.38107055539082,1.12376104366338,-0.323429799738706,9,38,0.236842105263158,Loans charged on business activities or a source of income,2678,35138,230.4615385,1927.076923,10.83333333,519.6153846,7.111111111,210.8461538,200.3846154,89.69230769,1853.769231,217.5384615,0,7.333333333,4,4,228.5384615,11,370.7692308,5765.615385,290.8461538,6.230769231,233.9230769,573.5384615,800.6923077,119.5384615,11.30769231,0,553.3846154,15.54545455,Housing loans,39932,Other debts,11284,56.6,11.9,Study loans,.,Debts total,53894
Akaa,2019,1.82247315807545,1.11826817671796,-0.398077118193997,8,34,0.235294117647059,Loans charged on business activities or a source of income,2925,35718,211.6153846,1886.307692,9.461538462,518.0769231,5.25,206.4615385,207.8461538,93.69230769,1807.923077,186.1538462,0,10.5,4,4,244,10.625,355.4615385,5729.384615,274.1538462,9.384615385,235.2307692,538.4615385,781.5384615,126.8461538,12.5,0,531.9230769,19.23076923,Housing loans,38438,Other debts,11336,56.2,12.7,Study loans,.,Debts total,52699
Akaa,2020,2.03546902496102,0.99937063570497,-0.257606704811117,3,3,1,Loans charged on business activities or a source of income,2661,34931,229.3076923,1999.230769,13.53846154,519.6153846,7.333333333,186.9230769,227.4615385,104.3076923,1778.461538,180.2307692,0,12.33333333,4,4,258,10.88888889,403.0769231,5535.153846,260.8461538,11.15384615,291.1538462,612.8461538,827.8461538,140.6153846,13.2,0,552.6923077,19.23076923,Housing loans,38175,Other debts,12271,55.9,11.6,Study loans,.,Debts total,53107
Akaa,2021,2.41012865780475,1.18799514551917,-0.45089413320678,5,37,0.135135135135135,Loans charged on business activities or a source of income,2800,35771,220.6923077,1970.461538,9.923076923,535.5384615,12,225.6666667,261.6153846,126.3846154,1753.230769,169.3846154,0,8,4,4,249.8461538,12.25,370.6153846,5651.769231,283.9230769,12.53846154,299.2307692,591.7692308,824.3846154,151.0769231,13.83333333,0,549.7692308,19.23076923,Housing loans,37504,Other debts,12192,56.2,12.3,Study loans,.,Debts total,52496
Akaa,2022,2.87170814101042,0.971227267819872,-0.420199850125323,7,13,0.538461538461538,Loans charged on business activities or a source of income,2724,35469,216.5384615,1940.153846,4.888888889,547.4615385,10.5,266.6923077,274.6923077,133.8461538,1723,178.9230769,0,13,4,4,233.1538462,11.25,342.1538462,5885,396.7692308,13.76923077,310,504.5384615,844.2307692,130,13.46153846,0,528.3846154,17.58333333,Housing loans,35697,Other debts,11718,56.2,11.7,Study loans,.,Debts total,50140
Alavieska,2008,0.131783803130624,-0.468960647158171,0.558206923130583,1,2,0.5,Loans charged on business activities or a source of income,5610,25990,97.25,0,0,0,10,130,54,37,317,79,0,6,4,5,146,4,104.875,1882,173,4,299.25,84,0,104,14,4,0,40,Housing loans,23659,Other debts,15822,11,20.7,Study loans,444,Debts total,45534
Alavieska,2009,0.0810768283472333,-0.193731818232508,0.954965538566617,1,57,0.0175438596491228,Loans charged on business activities or a source of income,6988,25808,0,0,0,0,6,130,49,34,309,82,0,6,4,5,144,4,104.875,1890,162,7,299.25,111,0,91,14,4,0,38,Housing loans,24201,Other debts,15921,11,19.1,Study loans,408,Debts total,47519
Alavieska,2010,-0.194318508156515,-0.66684592268132,0.730621041631673,2,13,0.153846153846154,Loans charged on business activities or a source of income,6555,26600,0,0,0,0,6,140,35,21,311,92,0,6,4,5,150,4,104.875,1921,149,7,299.25,122,0,106,14,4,0,34,Housing loans,25131,Other debts,17455,11,18.8,Study loans,414,Debts total,49555
Alavieska,2011,-0.0341526337959169,-0.726757137703594,0.942241222676551,1,4,0.25,Loans charged on business activities or a source of income,5983,27805,0,0,0,0,5,149,42,26,304,79,0,6,4,5,146,4,104.875,1922,153,4,0,112,0,88,9,4,0,28,Housing loans,26982,Other debts,18220,10.9,19.1,Study loans,434,Debts total,51619
Alavieska,2012,0.357740458424418,-0.338597851838201,0.583440319921547,3,3,1,Loans charged on business activities or a source of income,6187,27963,0,0,0,0,8,147,52,26,296,83,0,6,4,5,144,4,104.875,1948,174,4,0,122,0,94,13,4,0,38,Housing loans,28376,Other debts,16935,11,18.1,Study loans,447,Debts total,51945
Alavieska,2013,0.253581513371926,-0.179014121976705,0.569410637831303,3,7,0.428571428571429,Loans charged on business activities or a source of income,6922,27415,0,0,0,0,7,148,51,24,294,70,0,6,4,5,140,4,104.875,1928,144,4,0,128,0,94,9,4,0,31,Housing loans,27714,Other debts,16802,10.9,17.9,Study loans,434,Debts total,51872
Alavieska,2014,-0.151104326360044,-0.444787666083886,0.340925858520413,4,7,0.571428571428571,Loans charged on business activities or a source of income,7146,27042,0,0,0,0,11,144,53,20,287,69,0,6,4,5,137,4,104.875,1819,140,4,0,125,0,94,10,4,0,40,Housing loans,27025,Other debts,16822,10.7,16,Study loans,429,Debts total,51422
Alavieska,2015,-0.336911946282914,-0.681799342691181,0.310798904221743,1,1,1,Loans charged on business activities or a source of income,6875,26776,0,0,0,0,7,123,52,25,294,73,0,6,4,5,126,4,104.875,1850,151,4,0,123,0,108,16,4,0,33,Housing loans,26271,Other debts,17938,10.7,17.6,Study loans,.,Debts total,51083
Alavieska,2016,-0.160136231997584,-0.699406185489329,0.72434306876737,0,0,0,Loans charged on business activities or a source of income,7096,27329,0,0,0,0,6,115,54,26,286,77,0,6,4,5,118,4,104.875,1649,154,4,0,116,0,73,11,4,0,21,Housing loans,26975,Other debts,16157,10.5,17.9,Study loans,.,Debts total,50229
Alavieska,2017,-0.501331163731808,-0.165444945576312,0.49198022131264,1,8,0.125,Loans charged on business activities or a source of income,5921,28562,0,0,0,0,10,133,51,14,277,58,0,6,4,5,104,4,0,1577,126,4,0,110,0,61,8,4,0,23,Housing loans,26926,Other debts,18483,10.4,16.4,Study loans,.,Debts total,51330
Alavieska,2018,-0.238205414017639,0.344823809331389,0.362571214174793,2,9,0.222222222222222,Loans charged on business activities or a source of income,5299,29495,23.92307692,441.6923077,0,105.3076923,10,54.33333333,23.38461538,6.222222222,261.3846154,28,0,4,4,5,55.76923077,5,21.61538462,777.4615385,30.92307692,4,70.84615385,59.30769231,195.0769231,30.69230769,7,4,60.30769231,10.25,Housing loans,26113,Other debts,15999,10.2,18,Study loans,.,Debts total,47412
Alavieska,2019,0.473444329973945,-0.254615383679531,0.569563475415316,0,0,0,Loans charged on business activities or a source of income,6478,29466,18.92307692,431,0,100.7692308,10,56.41666667,24.61538462,6,248.3846154,30.84615385,0,4,4,5,50.53846154,9,22.61538462,771.7692308,39.76923077,4,68.61538462,51.30769231,191.8461538,25.69230769,11,4,56.38461538,21,Housing loans,26312,Other debts,15863,10,16.8,Study loans,.,Debts total,48653
Alavieska,2020,0.92696571180621,-0.928439691153873,0.761210264746725,1,4,0.25,Loans charged on business activities or a source of income,5903,30104,22.61538462,453.3846154,0,91.76923077,10,48.27272727,27.61538462,5.777777778,249.0769231,30.30769231,0,4,4,5,51.38461538,5,26.69230769,761.3846154,31.53846154,4,76.15384615,57.46153846,200.3846154,22.07692308,6,4,55.84615385,13,Housing loans,26799,Other debts,15338,10,15.9,Study loans,.,Debts total,48039
Alavieska,2021,1.32827349654086,-0.856084406410056,0.789916833472886,2,6,0.333333333333333,Loans charged on business activities or a source of income,5185,30992,23.61538462,438.9230769,0,87,10,41.83333333,34.92307692,7.454545455,241.7692308,26.15384615,0,4,4,5,43.38461538,8,19.92307692,769.6923077,41.38461538,4,77.07692308,54.30769231,200.4615385,23.92307692,12,4,53.38461538,15,Housing loans,25623,Other debts,13817,9.9,16.7,Study loans,.,Debts total,44625
Alavieska,2022,1.8504290404258,-0.934897494949406,0.566185657417823,0,0,0,Loans charged on business activities or a source of income,3972,30261,21.61538462,422.6153846,0,86.76923077,4,51.09090909,42.69230769,11.15384615,240.3846154,24.46153846,0,4,4,5,37.76923077,8,21.15384615,780.1538462,60.92307692,4,70.46153846,52.15384615,188.9230769,20,7,4,49.07692308,11,Housing loans,23971,Other debts,11579,9.7,16.9,Study loans,.,Debts total,39521
Alavus,2008,-0.543554799583734,0.0909301056537304,0.253385735340099,5,24,0.208333333333333,Loans charged on business activities or a source of income,5096,26642,21.875,0,0,0,16,255,165,131,970,258,0,4,8,5,536,11,29.625,7048,558,17,60.5,336,0,251,35,4,0,100,Housing loans,22361,Other debts,12175,11.7,18.9,Study loans,337,Debts total,39969
Alavus,2009,-0.490428341698639,-0.0767575904735495,0.132573895608607,9,26,0.346153846153846,Loans charged on business activities or a source of income,4422,25983,0,0,0,0,13,243,143,112,968,248,0,4,8,5,496,11,29.625,7045,526,13,60.5,375,0,267,47,4,0,102,Housing loans,23673,Other debts,13427,11.6,18.9,Study loans,330,Debts total,41853
Alavus,2010,-0.213564188980953,-0.36546643496024,0.383053163218548,3,7,0.428571428571429,Loans charged on business activities or a source of income,4625,26284,0,0,0,0,9,248,138,93,949,240,0,4,6,5,469,11,29.625,7085,574,14,60.5,382,0,254,42,4,0,84,Housing loans,25263,Other debts,14532,11.4,18.7,Study loans,328,Debts total,44748
Alavus,2011,-0.152907432684752,0.0933953516499842,0.214070239830425,3,12,0.25,Loans charged on business activities or a source of income,5457,26501,0,0,0,0,16,233,129,78,930,223,0,4,4,7,453,11,29.625,7025,579,17,0,363,0,247,38,4,0,107,Housing loans,26167,Other debts,14194,11.4,18.7,Study loans,335,Debts total,46153
Alavus,2012,-0.073325478009281,-0.50541437524959,0.185455083224052,4,9,0.444444444444444,Loans charged on business activities or a source of income,5726,26371,0,0,0,0,9,240,135,85,928,223,0,4,4,4,442,11,29.625,6979,542,14,0,366,0,260,43,4,0,85,Housing loans,26640,Other debts,13115,11.3,17.2,Study loans,338,Debts total,45819
Alavus,2013,0.109455996890125,-0.583543882022052,0.0280200855144135,4,5,0.8,Loans charged on business activities or a source of income,5434,26223,0,0,0,0,17,332,206,124,1263,304,0,4,4,5,570,11,29.625,9058,773,17,0,544,0,334,58,4,0,117,Housing loans,26872,Other debts,12895,11.2,16,Study loans,339,Debts total,45540
Alavus,2014,-0.0818381304667338,-0.525967748180897,0.0683365773681749,4,16,0.25,Loans charged on business activities or a source of income,4930,26050,0,0,0,0,15,351,207,124,1232,302,0,4,4,4,567,11,29.625,8882,699,21,0,515,0,340,49,4,0,130,Housing loans,26807,Other debts,13896,11.1,14.7,Study loans,355,Debts total,45989
Alavus,2015,0.188486100053749,-0.334030107130189,0.101650898426573,4,8,0.5,Loans charged on business activities or a source of income,4978,25797,0,0,0,0,13,333,190,88,1224,292,0,4,4,7,543,11,29.625,8840,693,20,0,553,0,367,61,4,0,110,Housing loans,26797,Other debts,14255,11.1,14.2,Study loans,.,Debts total,46030
Alavus,2016,-0.111483823534224,-0.582306204125508,0.206088831372758,5,9,0.555555555555556,Loans charged on business activities or a source of income,5139,25733,0,0,0,0,14,351,195,102,1187,288,0,4,4,6,540,11,29.625,7988,610,6,0,569,0,300,42,4,0,120,Housing loans,26968,Other debts,13946,11,15.3,Study loans,.,Debts total,46053
Alavus,2017,0.199833071894895,-0.334890398508454,0.454173769937012,3,6,0.5,Loans charged on business activities or a source of income,4737,25782,0,0,0,0,14,345,171,69,1132,269,0,4,4,11,475,11,0,7638,635,12,0,561,0,323,49,4,0,96,Housing loans,26465,Other debts,14086,10.8,16.5,Study loans,.,Debts total,45288
Alavus,2018,-0.0671182122039212,-0.82687138201396,0.373736308608602,4,14,0.285714285714286,Loans charged on business activities or a source of income,4458,26487,129.6923077,2151.384615,4.583333333,479.5384615,9,153.3333333,96.84615385,30.53846154,1066.615385,160.2307692,0,8.5,4,11,266.5384615,15,160.5384615,3795.846154,162.9230769,5.75,275.4615385,322,739,105.2307692,10.71428571,4,327.6153846,16.81818182,Housing loans,25759,Other debts,13305,10.6,16.8,Study loans,.,Debts total,43522
Alavus,2019,0.456602081338417,-1.87198816564527,0.43590903419443,7,25,0.28,Loans charged on business activities or a source of income,5305,26748,144.5384615,2091.769231,5.461538462,490.2307692,7.666666667,128.8333333,102.9230769,42.46153846,1038.384615,141.4615385,0,6.5,4,11,262.0769231,21,150,3811.384615,155.3846154,5.3,283.6923077,300.2307692,723.1538462,104.9230769,13.33333333,4,312.0769231,14.92307692,Housing loans,24888,Other debts,13130,10.5,16.7,Study loans,.,Debts total,43323
Alavus,2020,0.618349690436827,-1.73173852454617,0.380027398316454,4,8,0.5,Loans charged on business activities or a source of income,4966,26280,171,2244.230769,9,501.4615385,12,121.4545455,105.1538462,44.07692308,1026.538462,133.5384615,0,6.5,4,11,260.4615385,11,176.0769231,3675.384615,155.7692308,5.583333333,346.4615385,348.2307692,794.9230769,116,17.5,4,312,18.5,Housing loans,24226,Other debts,13785,10.4,15,Study loans,.,Debts total,42976
Alavus,2021,1.06005592212257,-1.69168530972402,0.649687580292303,2,36,0.0555555555555556,Loans charged on business activities or a source of income,4427,26603,174.1538462,2209,7.076923077,478.5384615,6.5,111.2307692,105.3076923,35.76923077,1012.538462,126.7692308,0,6.333333333,4,11,260.7692308,11,155.7692308,3675.461538,186.2307692,5,347.3846154,301.6153846,788.1538462,109,11.625,4,311.7692308,16.2,Housing loans,23460,Other debts,13068,10.3,16,Study loans,.,Debts total,40956
Alavus,2022,1.18337643118876,-1.75752391042161,0.0964143603299136,7,13,0.538461538461538,Loans charged on business activities or a source of income,3141,26017,163.9230769,2140.538462,4.75,455.5384615,10,124.8461538,124,36.46153846,997.0769231,126.5384615,0,7.666666667,4,11,251,13.5,146.1538462,3758.769231,277.3846154,6.692307692,341.2307692,246.6153846,760.5384615,90.61538462,11.33333333,4,295.3846154,12.92307692,Housing loans,21409,Other debts,11525,10.2,16.5,Study loans,.,Debts total,36075
Asikkala,2008,-0.0663922654245916,0.19240203764639,0.744442571504761,3,4,0.75,Loans charged on business activities or a source of income,2941,28838,147,0,0,0,7,224,108,72,872,169,0,4,4,11,326,6,126.5,6455,460,5,316.5,301,0,183,37,4,0,70,Housing loans,31958,Other debts,11967,15.3,16.3,Study loans,368,Debts total,47235
Asikkala,2009,-0.23187417766993,-0.16125565955099,0.112584780109601,6,13,0.461538461538462,Loans charged on business activities or a source of income,3126,27795,0,0,0,0,12,197,98,74,857,155,0,4,4,6,317,6,126.5,6508,481,8,316.5,332,0,178,22,4,0,63,Housing loans,32508,Other debts,12055,15.2,16,Study loans,378,Debts total,48066
Asikkala,2010,-0.396715733374998,-0.051957205240399,0.0573965106946681,4,18,0.222222222222222,Loans charged on business activities or a source of income,3065,28065,0,0,0,0,5,222,80,48,857,200,0,4,4,6,292,6,126.5,6565,450,12,316.5,335,0,188,42,4,0,62,Housing loans,32298,Other debts,12298,15.2,14.9,Study loans,359,Debts total,48020
Asikkala,2011,-0.0550221364341293,-0.145367375348538,0.279186626695538,5,15,0.333333333333333,Loans charged on business activities or a source of income,3238,28380,0,0,0,0,8,201,93,62,826,195,0,4,4,6,279,6,126.5,6571,482,5,0,316,0,165,26,4,0,56,Housing loans,32921,Other debts,12435,15.1,15.1,Study loans,365,Debts total,48959
Asikkala,2012,-0.106972046842616,0.11135166069214,0.276985267495112,4,4,1,Loans charged on business activities or a source of income,3213,28167,0,0,0,0,10,219,102,59,825,194,0,4,4,6,291,6,126.5,6487,492,6,0,311,0,186,37,4,0,64,Housing loans,32240,Other debts,11357,15,14.4,Study loans,364,Debts total,47174
Asikkala,2013,-0.157001712874967,-0.32867270997611,0.0120334927980507,4,17,0.235294117647059,Loans charged on business activities or a source of income,3122,27330,0,0,0,0,4,212,110,67,801,197,0,4,4,6,267,6,126.5,6452,455,11,0,339,0,180,39,4,0,74,Housing loans,31395,Other debts,11322,14.9,14.4,Study loans,345,Debts total,46184
Asikkala,2014,-0.270700567490352,0.389031571543865,0.242367333044448,0,0,0,Loans charged on business activities or a source of income,3383,26586,0,0,0,0,8,204,97,62,791,215,0,4,4,6,264,6,126.5,6485,450,5,0,391,0,179,36,4,0,53,Housing loans,31381,Other debts,12149,14.9,14.3,Study loans,347,Debts total,47260
Asikkala,2015,-0.0417391838411425,0.238336888665244,-0.0179817458995888,4,7,0.571428571428571,Loans charged on business activities or a source of income,3801,26327,0,0,0,0,10,209,91,57,763,171,0,4,4,7,271,6,126.5,6467,450,7,0,381,0,172,38,4,0,58,Housing loans,31023,Other debts,13095,14.7,13.5,Study loans,.,Debts total,47920
Asikkala,2016,-0.11505353783991,0.293658899608668,0.265897535975044,2,4,0.5,Loans charged on business activities or a source of income,3867,26554,0,0,0,0,10,193,85,42,762,178,0,4,4,6,286,6,126.5,5795,407,4,0,345,0,167,27,4,0,50,Housing loans,30950,Other debts,13348,14.8,13.7,Study loans,.,Debts total,48165
Asikkala,2017,0.138639560461409,0.0759540651240991,0.267869680970294,0,0,0,Loans charged on business activities or a source of income,4100,26261,0,0,0,0,5,192,82,37,761,173,0,4,4,6,261,6,0,5723,416,7,0,357,0,153,32,4,0,51,Housing loans,30885,Other debts,13335,14.6,13.5,Study loans,.,Debts total,48320
Asikkala,2018,0.501556339526333,1.3776643406088,0.22967578246037,0,0,0,Loans charged on business activities or a source of income,4104,26382,85.07692308,1222.923077,0,297,8,109.0833333,48.92307692,12.15384615,699.8461538,112.2307692,0,5.5,4,6,149.8461538,12,100.5384615,2900.153846,109.2307692,4.846153846,145.2307692,215.6923077,375.4615385,56.61538462,11.75,4,232.0769231,12.2,Housing loans,29790,Other debts,12725,14.5,13.3,Study loans,.,Debts total,46618
Asikkala,2019,0.910536072254766,0.97492326963457,0.0684778957302375,3,3,1,Loans charged on business activities or a source of income,3577,27096,76.53846154,1197.384615,3,308.8461538,4,86.84615385,49.53846154,12.30769231,683.1538462,96.46153846,0,5.5,4,6,146.8461538,14,93.53846154,2890.846154,107.1538462,5.857142857,146.4615385,200.7692308,362.3846154,44,19,4,210.0769231,11.2,Housing loans,28835,Other debts,13746,14.3,12.9,Study loans,.,Debts total,46158
Asikkala,2020,1.2755497087682,-1.05894298084178,-0.06809656472052,1,2,0.5,Loans charged on business activities or a source of income,3493,26463,77.61538462,1279.230769,4,299.7692308,4,69.75,52.92307692,15.23076923,682.6153846,78,0,6,4,6,141.6923077,13,125.2307692,2870.846154,108.7692308,5.666666667,175.3846154,247.6923077,413.2307692,48,9.25,4,232.6153846,11.75,Housing loans,28222,Other debts,14101,14.3,12.2,Study loans,.,Debts total,45816
Asikkala,2021,1.61468940475182,-0.607710329569275,-0.0869282573852377,5,15,0.333333333333333,Loans charged on business activities or a source of income,3546,27433,74.69230769,1270.692308,4,303.6153846,4,69.83333333,62.46153846,12.69230769,681.5384615,73.46153846,0,4.5,4,6,142.9230769,9.333333333,107.3846154,2916.923077,124.1538462,4.333333333,182.6923077,229.6923077,404.9230769,53.30769231,9.333333333,4,237.3846154,11,Housing loans,28043,Other debts,14137,14.3,13.2,Study loans,.,Debts total,45726
Asikkala,2022,1.77677636822197,-0.468775270379982,-0.276094436237645,2,2,1,Loans charged on business activities or a source of income,3428,26783,77.53846154,1239.538462,4,295.6153846,4,84.69230769,70.46153846,15.46153846,674.0769231,74.46153846,0,6,4,6,140.6153846,11.33333333,105.3846154,2935.538462,148.1538462,4.888888889,182.5384615,185,392.8461538,53,12.25,4,221.6923077,9.714285714,Housing loans,26138,Other debts,12730,14.2,13.6,Study loans,.,Debts total,42295
Askola,2008,-0.244569973025778,-0.232946267829281,-0.88235745526167,1,2,0.5,Loans charged on business activities or a source of income,6028,43230,78.25,0,0,0,7,102,63,44,610,148,0,5,4,6,118,4,102.75,3373,320,4.5,167.625,115,0,151,27,5,0,48,Housing loans,57882,Other debts,16924,22.4,9.9,Study loans,335,Debts total,81168
Askola,2009,-0.488678542572878,-0.474612706975501,-0.507630211881694,4,12,0.333333333333333,Loans charged on business activities or a source of income,6053,43042,0,0,0,0,7,120,41,28,634,151,0,5,4,6,130,4,102.75,3396,267,4.5,167.625,144,0,173,29,5,0,69,Housing loans,60418,Other debts,18121,22.7,10.1,Study loans,333,Debts total,84926
Askola,2010,-0.124090982489228,-0.462306939617313,-0.935202997527357,1,1,1,Loans charged on business activities or a source of income,5552,43644,0,0,0,0,7,123,59,47,614,159,0,5,4,6,128,4,102.75,3533,315,4.5,167.625,139,0,175,32,5,0,54,Housing loans,61860,Other debts,19472,22.9,9.3,Study loans,311,Debts total,87197
Askola,2011,-0.107787280309496,-0.219644182905193,-0.972490927664656,5,11,0.454545454545455,Loans charged on business activities or a source of income,5105,43023,0,0,0,0,7,124,66,44,606,149,0,5,4,6,137,4,102.75,3580,324,5,0,156,0,176,27,5,0,57,Housing loans,64043,Other debts,19807,23.1,9.7,Study loans,366,Debts total,89322
Askola,2012,-0.2960549328016,-0.945764946539194,-1.13314940016704,3,17,0.176470588235294,Loans charged on business activities or a source of income,5669,43144,0,0,0,0,7,125,62,36,620,152,0,5,4,6,137,4,102.75,3592,315,5,0,159,0,164,44,5,0,68,Housing loans,64855,Other debts,20174,23.5,9.6,Study loans,335,Debts total,91033
Askola,2013,-0.399824566264223,-0.960794070465757,-1.03248122220794,1,1,1,Loans charged on business activities or a source of income,5031,42844,0,0,0,0,5,138,59,31,628,172,0,5,4,6,142,4,102.75,3638,330,5,0,153,0,200,33,5,0,69,Housing loans,64572,Other debts,20607,23.5,8.8,Study loans,387,Debts total,90597
Askola,2014,-0.449769088862856,-0.68237961188927,-1.04608075750015,2,10,0.2,Loans charged on business activities or a source of income,5541,42725,0,0,0,0,5,146,71,38,620,177,0,5,4,6,151,4,102.75,3680,305,5,0,211,0,166,49,5,0,56,Housing loans,63728,Other debts,19056,23.8,8,Study loans,410,Debts total,88734
Askola,2015,-0.0662557074484192,-0.568864077406658,-1.34423660145279,1,1,1,Loans charged on business activities or a source of income,5385,43183,0,0,0,0,7,129,75,36,618,168,0,5,4,5,153,4,102.75,3661,328,5,0,243,0,196,31,5,0,69,Housing loans,64231,Other debts,20526,24,8.9,Study loans,.,Debts total,90142
Askola,2016,-0.787011472830035,-0.597757826891155,-1.2727882651222,1,14,0.0714285714285714,Loans charged on business activities or a source of income,6042,41954,0,0,0,0,6,116,62,26,606,158,0,5,4,5,134,4,102.75,3292,269,5,0,228,0,186,38,5,0,47,Housing loans,61906,Other debts,19693,23.8,8.5,Study loans,.,Debts total,87641
Askola,2017,-0.270120523051673,-0.67993510884869,-1.11515223438399,2,8,0.25,Loans charged on business activities or a source of income,5950,42741,0,0,0,0,6,133,61,20,591,150,0,5,4,7,124,9,0,3263,277,8,0,226,0,132,34,5,0,42,Housing loans,61995,Other debts,20718,23.5,8.3,Study loans,.,Debts total,88663
Askola,2018,0.229070086286835,-0.366991223159201,-0.99343003408381,1,1,1,Loans charged on business activities or a source of income,7173,42883,66,475.0769231,3.428571429,77.69230769,6,68.36363636,32.69230769,7.25,562.6923077,95.30769231,0,4,4,7,72.5,16,40.92307692,1527.769231,69.07692308,8,55.61538462,118.4615385,159.5384615,52.92307692,11,5,77,11.71428571,Housing loans,59439,Other debts,19667,23.3,8.9,Study loans,.,Debts total,86279
Askola,2019,0.467861105181816,-0.404348595327858,-1.42225986397429,3,5,0.6,Loans charged on business activities or a source of income,7165,44015,62.92307692,460.3076923,3.5,76.07692308,7,60.83333333,31.61538462,6,547.3846154,80.15384615,0,7.5,4,7,70.92307692,11,47.15384615,1508.076923,61.53846154,8,56,123.3846154,163.3076923,46.69230769,14.5,5,79.92307692,12.2,Housing loans,57694,Other debts,19120,23.3,9.2,Study loans,.,Debts total,83979
Askola,2020,0.546755393267515,-0.517685022357661,-1.39381560203448,0,0,0,Loans charged on business activities or a source of income,8096,42784,64,482.3076923,4,77.46153846,7,54.6,39.15384615,6.125,534.3846154,69.76923077,0,4,4,7,81.69230769,10.33333333,61.46153846,1445.538462,74.38461538,8,69.15384615,152.9230769,170,41.53846154,8.25,5,84.07692308,13,Housing loans,56261,Other debts,20265,23,8.2,Study loans,.,Debts total,84622
