sourceCode;sourceName;targetCode;targetName;distributionSourceToTarget;distributionTargetToSource;
"'494'";"Muhos";"'19'";"North Ostrobothnia wellbeing services county";;;
"'495'";"Multia";"'15'";"Central Finland wellbeing services county";;;
"'498'";"Muonio";"'21'";"Lapland wellbeing services county";;;
"'499'";"Korsholm";"'17'";"Ostrobothnia wellbeing services county";;;
"'500'";"Muurame";"'15'";"Central Finland wellbeing services county";;;
"'503'";"Mynämäki";"'05'";"Southwest Finland wellbeing services county";;;
"'504'";"Myrskylä";"'01'";"East Uusimaa wellbeing services county";;;
"'505'";"Mäntsälä";"'02'";"Central Uusimaa wellbeing services county";;;
"'508'";"Mänttä-Vilppula";"'08'";"Pirkanmaa wellbeing services county";;;
"'507'";"Mäntyharju";"'12'";"South Savo wellbeing services county";;;
"'529'";"Naantali";"'05'";"Southwest Finland wellbeing services county";;;
"'531'";"Nakkila";"'06'";"Satakunta wellbeing services county";;;
"'535'";"Nivala";"'19'";"North Ostrobothnia wellbeing services county";;;
"'536'";"Nokia";"'08'";"Pirkanmaa wellbeing services county";;;
"'538'";"Nousiainen";"'05'";"Southwest Finland wellbeing services county";;;
"'541'";"Nurmes";"'14'";"North Karelia wellbeing services county";;;
"'543'";"Nurmijärvi";"'02'";"Central Uusimaa wellbeing services county";;;
"'545'";"Närpes";"'17'";"Ostrobothnia wellbeing services county";;;
"'560'";"Orimattila";"'09'";"Päijät-Häme wellbeing services county";;;
"'561'";"Oripää";"'05'";"Southwest Finland wellbeing services county";;;
"'562'";"Orivesi";"'08'";"Pirkanmaa wellbeing services county";;;
"'563'";"Oulainen";"'19'";"North Ostrobothnia wellbeing services county";;;
"'564'";"Oulu";"'19'";"North Ostrobothnia wellbeing services county";;;
"'309'";"Outokumpu";"'14'";"North Karelia wellbeing services county";;;
"'576'";"Padasjoki";"'09'";"Päijät-Häme wellbeing services county";;;
"'577'";"Paimio";"'05'";"Southwest Finland wellbeing services county";;;
"'578'";"Paltamo";"'20'";"Kainuu wellbeing services county";;;
"'445'";"Pargas";"'05'";"Southwest Finland wellbeing services county";;;
"'580'";"Parikkala";"'11'";"South Karelia wellbeing services county";;;
"'581'";"Parkano";"'08'";"Pirkanmaa wellbeing services county";;;
"'599'";"Pedersöre";"'17'";"Ostrobothnia wellbeing services county";;;
"'583'";"Pelkosenniemi";"'21'";"Lapland wellbeing services county";;;
"'854'";"Pello";"'21'";"Lapland wellbeing services county";;;
"'584'";"Perho";"'18'";"Central Ostrobothnia wellbeing services county";;;
"'588'";"Pertunmaa";"'12'";"South Savo wellbeing services county";;;
"'592'";"Petäjävesi";"'15'";"Central Finland wellbeing services county";;;
"'593'";"Pieksämäki";"'12'";"South Savo wellbeing services county";;;
"'595'";"Pielavesi";"'13'";"North Savo wellbeing services county";;;
"'598'";"Jakobstad";"'17'";"Ostrobothnia wellbeing services county";;;
"'601'";"Pihtipudas";"'15'";"Central Finland wellbeing services county";;;
"'604'";"Pirkkala";"'08'";"Pirkanmaa wellbeing services county";;;
"'607'";"Polvijärvi";"'14'";"North Karelia wellbeing services county";;;
"'608'";"Pomarkku";"'06'";"Satakunta wellbeing services county";;;
"'609'";"Pori";"'06'";"Satakunta wellbeing services county";;;
"'611'";"Pornainen";"'02'";"Central Uusimaa wellbeing services county";;;
"'638'";"Porvoo";"'01'";"East Uusimaa wellbeing services county";;;
"'614'";"Posio";"'21'";"Lapland wellbeing services county";;;
"'615'";"Pudasjärvi";"'19'";"North Ostrobothnia wellbeing services county";;;
"'616'";"Pukkila";"'01'";"East Uusimaa wellbeing services county";;;
"'619'";"Punkalaidun";"'08'";"Pirkanmaa wellbeing services county";;;
"'620'";"Puolanka";"'20'";"Kainuu wellbeing services county";;;
"'623'";"Puumala";"'12'";"South Savo wellbeing services county";;;
"'624'";"Pyhtää";"'10'";"Kymenlaakso wellbeing services county";;;
"'625'";"Pyhäjoki";"'19'";"North Ostrobothnia wellbeing services county";;;
"'626'";"Pyhäjärvi";"'19'";"North Ostrobothnia wellbeing services county";;;
"'630'";"Pyhäntä";"'19'";"North Ostrobothnia wellbeing services county";;;
"'631'";"Pyhäranta";"'05'";"Southwest Finland wellbeing services county";;;
"'635'";"Pälkäne";"'08'";"Pirkanmaa wellbeing services county";;;
"'636'";"Pöytyä";"'05'";"Southwest Finland wellbeing services county";;;
"'678'";"Raahe";"'19'";"North Ostrobothnia wellbeing services county";;;
"'710'";"Raasepori";"'03'";"West Uusimaa wellbeing services county";;;
"'680'";"Raisio";"'05'";"Southwest Finland wellbeing services county";;;
"'681'";"Rantasalmi";"'12'";"South Savo wellbeing services county";;;
"'683'";"Ranua";"'21'";"Lapland wellbeing services county";;;
"'684'";"Rauma";"'06'";"Satakunta wellbeing services county";;;
"'686'";"Rautalampi";"'13'";"North Savo wellbeing services county";;;
"'687'";"Rautavaara";"'13'";"North Savo wellbeing services county";;;
"'689'";"Rautjärvi";"'11'";"South Karelia wellbeing services county";;;
"'691'";"Reisjärvi";"'19'";"North Ostrobothnia wellbeing services county";;;
"'694'";"Riihimäki";"'07'";"Kanta-Häme wellbeing services county";;;
"'697'";"Ristijärvi";"'20'";"Kainuu wellbeing services county";;;
"'698'";"Rovaniemi";"'21'";"Lapland wellbeing services county";;;
"'700'";"Ruokolahti";"'11'";"South Karelia wellbeing services county";;;
"'702'";"Ruovesi";"'08'";"Pirkanmaa wellbeing services county";;;
"'704'";"Rusko";"'05'";"Southwest Finland wellbeing services county";;;
"'707'";"Rääkkylä";"'14'";"North Karelia wellbeing services county";;;
"'729'";"Saarijärvi";"'15'";"Central Finland wellbeing services county";;;
"'732'";"Salla";"'21'";"Lapland wellbeing services county";;;
"'734'";"Salo";"'05'";"Southwest Finland wellbeing services county";;;
"'736'";"Saltvik";"'91'";"Åland";;;
"'790'";"Sastamala";"'08'";"Pirkanmaa wellbeing services county";;;
"'738'";"Sauvo";"'05'";"Southwest Finland wellbeing services county";;;
"'739'";"Savitaipale";"'11'";"South Karelia wellbeing services county";;;
"'740'";"Savonlinna";"'12'";"South Savo wellbeing services county";;;
"'742'";"Savukoski";"'21'";"Lapland wellbeing services county";;;
"'743'";"Seinäjoki";"'16'";"South Ostrobothnia wellbeing services county";;;
"'746'";"Sievi";"'19'";"North Ostrobothnia wellbeing services county";;;
"'747'";"Siikainen";"'06'";"Satakunta wellbeing services county";;;
"'748'";"Siikajoki";"'19'";"North Ostrobothnia wellbeing services county";;;
"'791'";"Siikalatva";"'19'";"North Ostrobothnia wellbeing services county";;;
"'749'";"Siilinjärvi";"'13'";"North Savo wellbeing services county";;;
"'751'";"Simo";"'21'";"Lapland wellbeing services county";;;
"'753'";"Sipoo";"'01'";"East Uusimaa wellbeing services county";;;
"'755'";"Siuntio";"'03'";"West Uusimaa wellbeing services county";;;
"'758'";"Sodankylä";"'21'";"Lapland wellbeing services county";;;
"'759'";"Soini";"'16'";"South Ostrobothnia wellbeing services county";;;
"'761'";"Somero";"'05'";"Southwest Finland wellbeing services county";;;
"'762'";"Sonkajärvi";"'13'";"North Savo wellbeing services county";;;
"'765'";"Sotkamo";"'20'";"Kainuu wellbeing services county";;;
"'766'";"Sottunga";"'91'";"Åland";;;
"'768'";"Sulkava";"'12'";"South Savo wellbeing services county";;;
"'771'";"Sund";"'91'";"Åland";;;
"'777'";"Suomussalmi";"'20'";"Kainuu wellbeing services county";;;
"'778'";"Suonenjoki";"'13'";"North Savo wellbeing services county";;;
"'781'";"Sysmä";"'09'";"Päijät-Häme wellbeing services county";;;
"'783'";"Säkylä";"'06'";"Satakunta wellbeing services county";;;
"'831'";"Taipalsaari";"'11'";"South Karelia wellbeing services county";;;
"'832'";"Taivalkoski";"'19'";"North Ostrobothnia wellbeing services county";;;
"'833'";"Taivassalo";"'05'";"Southwest Finland wellbeing services county";;;
"'834'";"Tammela";"'07'";"Kanta-Häme wellbeing services county";;;
"'837'";"Tampere";"'08'";"Pirkanmaa wellbeing services county";;;
"'844'";"Tervo";"'13'";"North Savo wellbeing services county";;;
"'845'";"Tervola";"'21'";"Lapland wellbeing services county";;;
"'846'";"Teuva";"'16'";"South Ostrobothnia wellbeing services county";;;
"'848'";"Tohmajärvi";"'14'";"North Karelia wellbeing services county";;;
"'849'";"Toholampi";"'18'";"Central Ostrobothnia wellbeing services county";;;
"'850'";"Toivakka";"'15'";"Central Finland wellbeing services county";;;
"'851'";"Tornio";"'21'";"Lapland wellbeing services county";;;
"'853'";"Turku";"'05'";"Southwest Finland wellbeing services county";;;
"'857'";"Tuusniemi";"'13'";"North Savo wellbeing services county";;;
"'858'";"Tuusula";"'02'";"Central Uusimaa wellbeing services county";;;
"'859'";"Tyrnävä";"'19'";"North Ostrobothnia wellbeing services county";;;
"'886'";"Ulvila";"'06'";"Satakunta wellbeing services county";;;
"'887'";"Urjala";"'08'";"Pirkanmaa wellbeing services county";;;
"'889'";"Utajärvi";"'19'";"North Ostrobothnia wellbeing services county";;;
"'890'";"Utsjoki";"'21'";"Lapland wellbeing services county";;;
"'892'";"Uurainen";"'15'";"Central Finland wellbeing services county";;;
