"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2007","Iisalmi","Debts total","All household-dwelling units",399978131,37402
"2007","Iisalmi","Housing loans","All household-dwelling units",268347613,25093
"2007","Iisalmi","Other debts","All household-dwelling units",97628051,9129
"2007","Iisalmi","Loans charged on business activities or a source of income","All household-dwelling units",26823208,2508
"2007","Iisalmi","Study loans","All household-dwelling units",7179307,671
"2007","Keitele","Debts total","All household-dwelling units",34233580,28129
"2007","Keitele","Housing loans","All household-dwelling units",19795193,16266
"2007","Keitele","Other debts","All household-dwelling units",9340643,7675
"2007","Keitele","Loans charged on business activities or a source of income","All household-dwelling units",4711818,3872
"2007","Keitele","Study loans","All household-dwelling units",385959,317
"2007","Kiuruvesi","Debts total","All household-dwelling units",186398176,43118
"2007","Kiuruvesi","Housing loans","All household-dwelling units",73031891,16894
"2007","Kiuruvesi","Other debts","All household-dwelling units",77288801,17879
"2007","Kiuruvesi","Loans charged on business activities or a source of income","All household-dwelling units",33931871,7849
"2007","Kiuruvesi","Study loans","All household-dwelling units",2145654,496
"2007","Lapinlahti","Debts total","All household-dwelling units",192015341,40103
"2007","Lapinlahti","Housing loans","All household-dwelling units",110512166,23081
"2007","Lapinlahti","Other debts","All household-dwelling units",55633055,11619
"2007","Lapinlahti","Loans charged on business activities or a source of income","All household-dwelling units",23767838,4964
"2007","Lapinlahti","Study loans","All household-dwelling units",2102288,439
"2007","Pielavesi","Debts total","All household-dwelling units",80990636,33592
"2007","Pielavesi","Housing loans","All household-dwelling units",35776192,14839
"2007","Pielavesi","Other debts","All household-dwelling units",28129014,11667
"2007","Pielavesi","Loans charged on business activities or a source of income","All household-dwelling units",16235579,6734
"2007","Pielavesi","Study loans","All household-dwelling units",849870,352
"2007","Sonkajärvi","Debts total","All household-dwelling units",66876944,31149
"2007","Sonkajärvi","Housing loans","All household-dwelling units",31767154,14796
"2007","Sonkajärvi","Other debts","All household-dwelling units",25218080,11746
"2007","Sonkajärvi","Loans charged on business activities or a source of income","All household-dwelling units",9003034,4193
"2007","Sonkajärvi","Study loans","All household-dwelling units",888669,414
"2007","Vieremä","Debts total","All household-dwelling units",85909480,50744
"2007","Vieremä","Housing loans","All household-dwelling units",29544260,17451
"2007","Vieremä","Other debts","All household-dwelling units",34973512,20658
"2007","Vieremä","Loans charged on business activities or a source of income","All household-dwelling units",20624960,12182
"2007","Vieremä","Study loans","All household-dwelling units",766751,453
"2007","Ilomantsi","Debts total","All household-dwelling units",53234527,17460
"2007","Ilomantsi","Housing loans","All household-dwelling units",30094540,9870
"2007","Ilomantsi","Other debts","All household-dwelling units",18059514,5923
"2007","Ilomantsi","Loans charged on business activities or a source of income","All household-dwelling units",4164436,1366
"2007","Ilomantsi","Study loans","All household-dwelling units",916054,300
"2007","Joensuu","Debts total","All household-dwelling units",1190313693,33556
"2007","Joensuu","Housing loans","All household-dwelling units",854109918,24078
"2007","Joensuu","Other debts","All household-dwelling units",248122389,6995
"2007","Joensuu","Loans charged on business activities or a source of income","All household-dwelling units",46568856,1313
"2007","Joensuu","Study loans","All household-dwelling units",41512698,1170
"2007","Juuka","Debts total","All household-dwelling units",49033300,17651
"2007","Juuka","Housing loans","All household-dwelling units",28769401,10356
"2007","Juuka","Other debts","All household-dwelling units",14006597,5042
"2007","Juuka","Loans charged on business activities or a source of income","All household-dwelling units",5498545,1979
"2007","Juuka","Study loans","All household-dwelling units",758751,273
"2007","Kontiolahti","Debts total","All household-dwelling units",346116177,65677
"2007","Kontiolahti","Housing loans","All household-dwelling units",252656861,47942
"2007","Kontiolahti","Other debts","All household-dwelling units",55492396,10530
"2007","Kontiolahti","Loans charged on business activities or a source of income","All household-dwelling units",33920636,6437
"2007","Kontiolahti","Study loans","All household-dwelling units",4046382,768
"2007","Liperi","Debts total","All household-dwelling units",232919515,46022
"2007","Liperi","Housing loans","All household-dwelling units",157802916,31180
"2007","Liperi","Other debts","All household-dwelling units",51380332,10152
"2007","Liperi","Loans charged on business activities or a source of income","All household-dwelling units",20773429,4105
"2007","Liperi","Study loans","All household-dwelling units",2962863,585
"2007","Outokumpu","Debts total","All household-dwelling units",88797272,23960
"2007","Outokumpu","Housing loans","All household-dwelling units",55009544,14843
"2007","Outokumpu","Other debts","All household-dwelling units",25056959,6761
"2007","Outokumpu","Loans charged on business activities or a source of income","All household-dwelling units",6595608,1780
"2007","Outokumpu","Study loans","All household-dwelling units",2135157,576
"2007","Polvijärvi","Debts total","All household-dwelling units",61056868,26535
"2007","Polvijärvi","Housing loans","All household-dwelling units",30165864,13110
"2007","Polvijärvi","Other debts","All household-dwelling units",20720534,9005
"2007","Polvijärvi","Loans charged on business activities or a source of income","All household-dwelling units",9416944,4093
"2007","Polvijärvi","Study loans","All household-dwelling units",753552,327
"2007","Kitee","Debts total","All household-dwelling units",163712850,28606
"2007","Kitee","Housing loans","All household-dwelling units",94194455,16459
"2007","Kitee","Other debts","All household-dwelling units",49120412,8583
"2007","Kitee","Loans charged on business activities or a source of income","All household-dwelling units",18526264,3237
"2007","Kitee","Study loans","All household-dwelling units",1871735,327
"2007","Rääkkylä","Debts total","All household-dwelling units",39802903,29995
"2007","Rääkkylä","Housing loans","All household-dwelling units",16516496,12446
"2007","Rääkkylä","Other debts","All household-dwelling units",12092939,9113
"2007","Rääkkylä","Loans charged on business activities or a source of income","All household-dwelling units",10761193,8109
"2007","Rääkkylä","Study loans","All household-dwelling units",432275,326
"2007","Tohmajärvi","Debts total","All household-dwelling units",75626834,31186
"2007","Tohmajärvi","Housing loans","All household-dwelling units",34287823,14139
"2007","Tohmajärvi","Other debts","All household-dwelling units",25599866,10557
"2007","Tohmajärvi","Loans charged on business activities or a source of income","All household-dwelling units",14849332,6123
"2007","Tohmajärvi","Study loans","All household-dwelling units",889836,367
"2007","Lieksa","Debts total","All household-dwelling units",120726381,17770
"2007","Lieksa","Housing loans","All household-dwelling units",64951296,9560
"2007","Lieksa","Other debts","All household-dwelling units",42734531,6290
"2007","Lieksa","Loans charged on business activities or a source of income","All household-dwelling units",10771397,1585
"2007","Lieksa","Study loans","All household-dwelling units",2269122,334
"2007","Nurmes","Debts total","All household-dwelling units",108352826,19722
"2007","Nurmes","Housing loans","All household-dwelling units",50322035,9159
"2007","Nurmes","Other debts","All household-dwelling units",41032416,7469
"2007","Nurmes","Loans charged on business activities or a source of income","All household-dwelling units",14741736,2683
"2007","Nurmes","Study loans","All household-dwelling units",2256654,411
"2007","Halsua","Debts total","All household-dwelling units",16713961,31476
"2007","Halsua","Housing loans","All household-dwelling units",4921878,9269
"2007","Halsua","Other debts","All household-dwelling units",6362393,11982
"2007","Halsua","Loans charged on business activities or a source of income","All household-dwelling units",5226132,9842
"2007","Halsua","Study loans","All household-dwelling units",203563,383
"2007","Kaustinen","Debts total","All household-dwelling units",80122150,47834
"2007","Kaustinen","Housing loans","All household-dwelling units",43813912,26158
"2007","Kaustinen","Other debts","All household-dwelling units",26509316,15826
"2007","Kaustinen","Loans charged on business activities or a source of income","All household-dwelling units",8830302,5272
"2007","Kaustinen","Study loans","All household-dwelling units",968629,578
"2007","Lestijärvi","Debts total","All household-dwelling units",15808728,43913
"2007","Lestijärvi","Housing loans","All household-dwelling units",4943505,13732
"2007","Lestijärvi","Other debts","All household-dwelling units",8021047,22281
"2007","Lestijärvi","Loans charged on business activities or a source of income","All household-dwelling units",2756084,7656
"2007","Lestijärvi","Study loans","All household-dwelling units",88111,245
"2007","Perho","Debts total","All household-dwelling units",45443550,42273
"2007","Perho","Housing loans","All household-dwelling units",18721290,17415
"2007","Perho","Other debts","All household-dwelling units",20037479,18640
"2007","Perho","Loans charged on business activities or a source of income","All household-dwelling units",6273974,5836
"2007","Perho","Study loans","All household-dwelling units",410788,382
"2007","Toholampi","Debts total","All household-dwelling units",69222580,50089
"2007","Toholampi","Housing loans","All household-dwelling units",28565704,20670
"2007","Toholampi","Other debts","All household-dwelling units",27227919,19702
"2007","Toholampi","Loans charged on business activities or a source of income","All household-dwelling units",12761462,9234
"2007","Toholampi","Study loans","All household-dwelling units",667524,483
"2007","Veteli","Debts total","All household-dwelling units",50012914,35420
"2007","Veteli","Housing loans","All household-dwelling units",23132247,16383
"2007","Veteli","Other debts","All household-dwelling units",19351092,13705
"2007","Veteli","Loans charged on business activities or a source of income","All household-dwelling units",6927414,4906
"2007","Veteli","Study loans","All household-dwelling units",602152,426
"2007","Kannus","Debts total","All household-dwelling units",114846733,48788
"2007","Kannus","Housing loans","All household-dwelling units",65267950,27726
"2007","Kannus","Other debts","All household-dwelling units",38252308,16250
"2007","Kannus","Loans charged on business activities or a source of income","All household-dwelling units",10119715,4299
"2007","Kannus","Study loans","All household-dwelling units",1206777,513
"2007","Kokkola","Debts total","All household-dwelling units",1036579920,53653
"2007","Kokkola","Housing loans","All household-dwelling units",721571831,37348
"2007","Kokkola","Other debts","All household-dwelling units",250289370,12955
"2007","Kokkola","Loans charged on business activities or a source of income","All household-dwelling units",49262637,2550
"2007","Kokkola","Study loans","All household-dwelling units",15456263,800
"2007","Haapavesi","Debts total","All household-dwelling units",129141810,43076
"2007","Haapavesi","Housing loans","All household-dwelling units",64274730,21439
"2007","Haapavesi","Other debts","All household-dwelling units",46719345,15584
"2007","Haapavesi","Loans charged on business activities or a source of income","All household-dwelling units",16509739,5507
"2007","Haapavesi","Study loans","All household-dwelling units",1638022,546
"2007","Pyhäntä","Debts total","All household-dwelling units",21599612,32579
"2007","Pyhäntä","Housing loans","All household-dwelling units",10435732,15740
"2007","Pyhäntä","Other debts","All household-dwelling units",8453857,12751
"2007","Pyhäntä","Loans charged on business activities or a source of income","All household-dwelling units",2367908,3572
"2007","Pyhäntä","Study loans","All household-dwelling units",342132,516
"2007","Siikalatva","Debts total","All household-dwelling units",105392832,37721
"2007","Siikalatva","Housing loans","All household-dwelling units",44747653,16016
"2007","Siikalatva","Other debts","All household-dwelling units",43767710,15665
"2007","Siikalatva","Loans charged on business activities or a source of income","All household-dwelling units",15642291,5599
"2007","Siikalatva","Study loans","All household-dwelling units",1235177,442
"2007","Kuusamo","Debts total","All household-dwelling units",269563270,37865
"2007","Kuusamo","Housing loans","All household-dwelling units",179556795,25222
"2007","Kuusamo","Other debts","All household-dwelling units",71562272,10052
"2007","Kuusamo","Loans charged on business activities or a source of income","All household-dwelling units",14409609,2024
"2007","Kuusamo","Study loans","All household-dwelling units",4034629,567
"2007","Taivalkoski","Debts total","All household-dwelling units",45309732,24452
"2007","Taivalkoski","Housing loans","All household-dwelling units",24829256,13399
"2007","Taivalkoski","Other debts","All household-dwelling units",15424512,8324
"2007","Taivalkoski","Loans charged on business activities or a source of income","All household-dwelling units",4023262,2171
"2007","Taivalkoski","Study loans","All household-dwelling units",1032758,557
"2007","Haapajärvi","Debts total","All household-dwelling units",129273095,40935
"2007","Haapajärvi","Housing loans","All household-dwelling units",74000376,23433
"2007","Haapajärvi","Other debts","All household-dwelling units",41419796,13116
"2007","Haapajärvi","Loans charged on business activities or a source of income","All household-dwelling units",12292305,3892
"2007","Haapajärvi","Study loans","All household-dwelling units",1560653,494
"2007","Kärsämäki","Debts total","All household-dwelling units",53802669,44355
"2007","Kärsämäki","Housing loans","All household-dwelling units",19618318,16173
"2007","Kärsämäki","Other debts","All household-dwelling units",23277533,19190
"2007","Kärsämäki","Loans charged on business activities or a source of income","All household-dwelling units",10461458,8624
"2007","Kärsämäki","Study loans","All household-dwelling units",445355,367
"2007","Nivala","Debts total","All household-dwelling units",234269823,54659
"2007","Nivala","Housing loans","All household-dwelling units",132880658,31003
"2007","Nivala","Other debts","All household-dwelling units",72573223,16933
"2007","Nivala","Loans charged on business activities or a source of income","All household-dwelling units",26696458,6229
"2007","Nivala","Study loans","All household-dwelling units",2119452,495
"2007","Pyhäjärvi","Debts total","All household-dwelling units",85655660,30889
"2007","Pyhäjärvi","Housing loans","All household-dwelling units",47728636,17212
"2007","Pyhäjärvi","Other debts","All household-dwelling units",29554766,10658
"2007","Pyhäjärvi","Loans charged on business activities or a source of income","All household-dwelling units",7005313,2526
"2007","Pyhäjärvi","Study loans","All household-dwelling units",1366970,493
"2007","Reisjärvi","Debts total","All household-dwelling units",55148493,47583
"2007","Reisjärvi","Housing loans","All household-dwelling units",22406237,19332
"2007","Reisjärvi","Other debts","All household-dwelling units",21613863,18649
"2007","Reisjärvi","Loans charged on business activities or a source of income","All household-dwelling units",10652779,9191
"2007","Reisjärvi","Study loans","All household-dwelling units",475647,410
"2007","Hailuoto","Debts total","All household-dwelling units",16371633,35982
"2007","Hailuoto","Housing loans","All household-dwelling units",9840586,21628
"2007","Hailuoto","Other debts","All household-dwelling units",4876204,10717
"2007","Hailuoto","Loans charged on business activities or a source of income","All household-dwelling units",1363748,2997
"2007","Hailuoto","Study loans","All household-dwelling units",291094,640
"2007","Kempele","Debts total","All household-dwelling units",454487267,79055
"2007","Kempele","Housing loans","All household-dwelling units",334890899,58252
"2007","Kempele","Other debts","All household-dwelling units",100142689,17419
"2007","Kempele","Loans charged on business activities or a source of income","All household-dwelling units",14359223,2498
"2007","Kempele","Study loans","All household-dwelling units",5094498,886
"2007","Liminka","Debts total","All household-dwelling units",250144040,92749
"2007","Liminka","Housing loans","All household-dwelling units",195336722,72427
"2007","Liminka","Other debts","All household-dwelling units",42747409,15850
"2007","Liminka","Loans charged on business activities or a source of income","All household-dwelling units",9499882,3522
"2007","Liminka","Study loans","All household-dwelling units",2560106,949
"2007","Lumijoki","Debts total","All household-dwelling units",44030591,63172
"2007","Lumijoki","Housing loans","All household-dwelling units",26489446,38005
"2007","Lumijoki","Other debts","All household-dwelling units",12007978,17228
"2007","Lumijoki","Loans charged on business activities or a source of income","All household-dwelling units",5177468,7428
"2007","Lumijoki","Study loans","All household-dwelling units",355715,510
"2007","Muhos","Debts total","All household-dwelling units",198570627,58113
"2007","Muhos","Housing loans","All household-dwelling units",144258337,42218
"2007","Muhos","Other debts","All household-dwelling units",43369959,12692
"2007","Muhos","Loans charged on business activities or a source of income","All household-dwelling units",8247992,2414
"2007","Muhos","Study loans","All household-dwelling units",2694326,789
"2007","Oulu","Debts total","All household-dwelling units",4111342478,50335
"2007","Oulu","Housing loans","All household-dwelling units",3089127498,37820
"2007","Oulu","Other debts","All household-dwelling units",750030963,9183
"2007","Oulu","Loans charged on business activities or a source of income","All household-dwelling units",155787176,1907
"2007","Oulu","Study loans","All household-dwelling units",116397153,1425
"2007","Tyrnävä","Debts total","All household-dwelling units",164467534,79800
"2007","Tyrnävä","Housing loans","All household-dwelling units",113834929,55233
"2007","Tyrnävä","Other debts","All household-dwelling units",37868110,18374
"2007","Tyrnävä","Loans charged on business activities or a source of income","All household-dwelling units",10955559,5316
"2007","Tyrnävä","Study loans","All household-dwelling units",1808927,878
"2007","Ii","Debts total","All household-dwelling units",178431090,48186
"2007","Ii","Housing loans","All household-dwelling units",127458197,34420
"2007","Ii","Other debts","All household-dwelling units",40446746,10923
"2007","Ii","Loans charged on business activities or a source of income","All household-dwelling units",8365453,2259
"2007","Ii","Study loans","All household-dwelling units",2160729,584
"2007","Pudasjärvi","Debts total","All household-dwelling units",98889251,25652
"2007","Pudasjärvi","Housing loans","All household-dwelling units",56418690,14635
"2007","Pudasjärvi","Other debts","All household-dwelling units",31470758,8164
"2007","Pudasjärvi","Loans charged on business activities or a source of income","All household-dwelling units",9218428,2391
"2007","Pudasjärvi","Study loans","All household-dwelling units",1781414,462
"2007","Utajärvi","Debts total","All household-dwelling units",54478500,42101
"2007","Utajärvi","Housing loans","All household-dwelling units",26333578,20351
"2007","Utajärvi","Other debts","All household-dwelling units",21944176,16958
"2007","Utajärvi","Loans charged on business activities or a source of income","All household-dwelling units",5697786,4403
"2007","Utajärvi","Study loans","All household-dwelling units",502960,389
"2007","Vaala","Debts total","All household-dwelling units",42864414,25900
"2007","Vaala","Housing loans","All household-dwelling units",21564335,13030
"2007","Vaala","Other debts","All household-dwelling units",16281017,9837
"2007","Vaala","Loans charged on business activities or a source of income","All household-dwelling units",4325772,2614
"2007","Vaala","Study loans","All household-dwelling units",693309,419
"2007","Pyhäjoki","Debts total","All household-dwelling units",54932689,38685
"2007","Pyhäjoki","Housing loans","All household-dwelling units",29235044,20588
"2007","Pyhäjoki","Other debts","All household-dwelling units",20105568,14159
"2007","Pyhäjoki","Loans charged on business activities or a source of income","All household-dwelling units",5048079,3555
"2007","Pyhäjoki","Study loans","All household-dwelling units",544013,383
"2007","Raahe","Debts total","All household-dwelling units",434073719,38509
"2007","Raahe","Housing loans","All household-dwelling units",295585795,26223
"2007","Raahe","Other debts","All household-dwelling units",107648265,9550
"2007","Raahe","Loans charged on business activities or a source of income","All household-dwelling units",22633200,2008
"2007","Raahe","Study loans","All household-dwelling units",8206574,728
"2007","Siikajoki","Debts total","All household-dwelling units",114399180,49077
"2007","Siikajoki","Housing loans","All household-dwelling units",49883436,21400
"2007","Siikajoki","Other debts","All household-dwelling units",45730702,19618
"2007","Siikajoki","Loans charged on business activities or a source of income","All household-dwelling units",17717238,7601
"2007","Siikajoki","Study loans","All household-dwelling units",1067829,458
"2007","Alavieska","Debts total","All household-dwelling units",47540104,42752
"2007","Alavieska","Housing loans","All household-dwelling units",23904827,21497
"2007","Alavieska","Other debts","All household-dwelling units",16451398,14794
"2007","Alavieska","Loans charged on business activities or a source of income","All household-dwelling units",6549960,5890
"2007","Alavieska","Study loans","All household-dwelling units",633920,570
"2007","Kalajoki","Debts total","All household-dwelling units",281331061,56154
"2007","Kalajoki","Housing loans","All household-dwelling units",156918294,31321
"2007","Kalajoki","Other debts","All household-dwelling units",89194737,17803
"2007","Kalajoki","Loans charged on business activities or a source of income","All household-dwelling units",32598626,6507
"2007","Kalajoki","Study loans","All household-dwelling units",2619520,523
"2007","Merijärvi","Debts total","All household-dwelling units",18073480,40706
"2007","Merijärvi","Housing loans","All household-dwelling units",8405980,18932
"2007","Merijärvi","Other debts","All household-dwelling units",6527722,14702
"2007","Merijärvi","Loans charged on business activities or a source of income","All household-dwelling units",2951205,6647
"2007","Merijärvi","Study loans","All household-dwelling units",188590,425
"2007","Oulainen","Debts total","All household-dwelling units",157475069,46086
"2007","Oulainen","Housing loans","All household-dwelling units",99791643,29204
"2007","Oulainen","Other debts","All household-dwelling units",43327428,12680
"2007","Oulainen","Loans charged on business activities or a source of income","All household-dwelling units",12350629,3614
"2007","Oulainen","Study loans","All household-dwelling units",2005388,587
"2007","Sievi","Debts total","All household-dwelling units",102035490,55727
"2007","Sievi","Housing loans","All household-dwelling units",57423218,31362
"2007","Sievi","Other debts","All household-dwelling units",30524257,16671
"2007","Sievi","Loans charged on business activities or a source of income","All household-dwelling units",13120358,7166
"2007","Sievi","Study loans","All household-dwelling units",967679,528
"2007","Ylivieska","Debts total","All household-dwelling units",317893701,54146
"2007","Ylivieska","Housing loans","All household-dwelling units",210954597,35932
"2007","Ylivieska","Other debts","All household-dwelling units",70943915,12084
"2007","Ylivieska","Loans charged on business activities or a source of income","All household-dwelling units",30795350,5245
"2007","Ylivieska","Study loans","All household-dwelling units",5199788,886
"2007","Kajaani","Debts total","All household-dwelling units",683693425,37516
"2007","Kajaani","Housing loans","All household-dwelling units",491319170,26960
"2007","Kajaani","Other debts","All household-dwelling units",152496945,8368
"2007","Kajaani","Loans charged on business activities or a source of income","All household-dwelling units",23230013,1275
"2007","Kajaani","Study loans","All household-dwelling units",16647375,913
"2007","Paltamo","Debts total","All household-dwelling units",49139154,26576
"2007","Paltamo","Housing loans","All household-dwelling units",28034191,15162
"2007","Paltamo","Other debts","All household-dwelling units",16880707,9130
"2007","Paltamo","Loans charged on business activities or a source of income","All household-dwelling units",3211731,1737
"2007","Paltamo","Study loans","All household-dwelling units",1012541,548
"2007","Ristijärvi","Debts total","All household-dwelling units",15264214,21408
"2007","Ristijärvi","Housing loans","All household-dwelling units",8233885,11548
"2007","Ristijärvi","Other debts","All household-dwelling units",5185059,7272
"2007","Ristijärvi","Loans charged on business activities or a source of income","All household-dwelling units",1643716,2305
"2007","Ristijärvi","Study loans","All household-dwelling units",201560,283
"2007","Sotkamo","Debts total","All household-dwelling units",204174454,42948
"2007","Sotkamo","Housing loans","All household-dwelling units",131506608,27662
"2007","Sotkamo","Other debts","All household-dwelling units",52758443,11098
"2007","Sotkamo","Loans charged on business activities or a source of income","All household-dwelling units",17482174,3677
"2007","Sotkamo","Study loans","All household-dwelling units",2427256,511
"2007","Hyrynsalmi","Debts total","All household-dwelling units",23776679,17419
"2007","Hyrynsalmi","Housing loans","All household-dwelling units",12240130,8967
"2007","Hyrynsalmi","Other debts","All household-dwelling units",9170861,6719
"2007","Hyrynsalmi","Loans charged on business activities or a source of income","All household-dwelling units",1751012,1283
"2007","Hyrynsalmi","Study loans","All household-dwelling units",614671,450
"2007","Kuhmo","Debts total","All household-dwelling units",110476557,23481
"2007","Kuhmo","Housing loans","All household-dwelling units",64663701,13744
"2007","Kuhmo","Other debts","All household-dwelling units",37211340,7909
"2007","Kuhmo","Loans charged on business activities or a source of income","All household-dwelling units",6879040,1462
"2007","Kuhmo","Study loans","All household-dwelling units",1722507,366
"2007","Puolanka","Debts total","All household-dwelling units",32753587,21450
"2007","Puolanka","Housing loans","All household-dwelling units",15777622,10332
"2007","Puolanka","Other debts","All household-dwelling units",11263643,7376
"2007","Puolanka","Loans charged on business activities or a source of income","All household-dwelling units",5189425,3398
"2007","Puolanka","Study loans","All household-dwelling units",522879,342
"2007","Suomussalmi","Debts total","All household-dwelling units",94905126,21241
"2007","Suomussalmi","Housing loans","All household-dwelling units",57372843,12841
"2007","Suomussalmi","Other debts","All household-dwelling units",30110153,6739
"2007","Suomussalmi","Loans charged on business activities or a source of income","All household-dwelling units",5472678,1225
"2007","Suomussalmi","Study loans","All household-dwelling units",1949436,436
"2007","Kemijärvi","Debts total","All household-dwelling units",72570957,16702
"2007","Kemijärvi","Housing loans","All household-dwelling units",39852545,9172
"2007","Kemijärvi","Other debts","All household-dwelling units",25263055,5814
"2007","Kemijärvi","Loans charged on business activities or a source of income","All household-dwelling units",5526319,1272
"2007","Kemijärvi","Study loans","All household-dwelling units",1929065,444
"2007","Pelkosenniemi","Debts total","All household-dwelling units",9081493,16818
"2007","Pelkosenniemi","Housing loans","All household-dwelling units",5214961,9657
"2007","Pelkosenniemi","Other debts","All household-dwelling units",3132276,5801
"2007","Pelkosenniemi","Loans charged on business activities or a source of income","All household-dwelling units",496129,919
"2007","Pelkosenniemi","Study loans","All household-dwelling units",238139,441
"2007","Posio","Debts total","All household-dwelling units",37276707,21510
"2007","Posio","Housing loans","All household-dwelling units",17001901,9811
"2007","Posio","Other debts","All household-dwelling units",14353528,8282
"2007","Posio","Loans charged on business activities or a source of income","All household-dwelling units",5267122,3039
"2007","Posio","Study loans","All household-dwelling units",654168,377
"2007","Salla","Debts total","All household-dwelling units",34707541,17267
"2007","Salla","Housing loans","All household-dwelling units",16056470,7988
"2007","Salla","Other debts","All household-dwelling units",14468019,7198
"2007","Salla","Loans charged on business activities or a source of income","All household-dwelling units",3171269,1578
"2007","Salla","Study loans","All household-dwelling units",1011792,503
"2007","Savukoski","Debts total","All household-dwelling units",11686592,20795
"2007","Savukoski","Housing loans","All household-dwelling units",4313602,7675
"2007","Savukoski","Other debts","All household-dwelling units",5427761,9658
"2007","Savukoski","Loans charged on business activities or a source of income","All household-dwelling units",1671315,2974
"2007","Savukoski","Study loans","All household-dwelling units",273920,487
"2007","Kemi","Debts total","All household-dwelling units",358741159,30785
"2007","Kemi","Housing loans","All household-dwelling units",251767133,21605
"2007","Kemi","Other debts","All household-dwelling units",86500204,7423
"2007","Kemi","Loans charged on business activities or a source of income","All household-dwelling units",9657621,829
"2007","Kemi","Study loans","All household-dwelling units",10816236,928
"2007","Keminmaa","Debts total","All household-dwelling units",177259932,48195
"2007","Keminmaa","Housing loans","All household-dwelling units",121966182,33161
"2007","Keminmaa","Other debts","All household-dwelling units",45345264,12329
"2007","Keminmaa","Loans charged on business activities or a source of income","All household-dwelling units",7572651,2059
"2007","Keminmaa","Study loans","All household-dwelling units",2375862,646
"2007","Simo","Debts total","All household-dwelling units",49855316,32671
"2007","Simo","Housing loans","All household-dwelling units",30182893,19779
"2007","Simo","Other debts","All household-dwelling units",15037671,9854
"2007","Simo","Loans charged on business activities or a source of income","All household-dwelling units",3792253,2485
"2007","Simo","Study loans","All household-dwelling units",842479,552
"2007","Tervola","Debts total","All household-dwelling units",50786068,32123
"2007","Tervola","Housing loans","All household-dwelling units",23862726,15093
"2007","Tervola","Other debts","All household-dwelling units",20768094,13136
"2007","Tervola","Loans charged on business activities or a source of income","All household-dwelling units",5398930,3415
"2007","Tervola","Study loans","All household-dwelling units",756341,478
"2007","Tornio","Debts total","All household-dwelling units",487890900,49582
"2007","Tornio","Housing loans","All household-dwelling units",333679168,33910
"2007","Tornio","Other debts","All household-dwelling units",121633808,12361
"2007","Tornio","Loans charged on business activities or a source of income","All household-dwelling units",24632056,2503
"2007","Tornio","Study loans","All household-dwelling units",7945912,808
"2007","Inari","Debts total","All household-dwelling units",94372064,30209
"2007","Inari","Housing loans","All household-dwelling units",55919138,17900
"2007","Inari","Other debts","All household-dwelling units",32884898,10527
"2007","Inari","Loans charged on business activities or a source of income","All household-dwelling units",2931865,938
"2007","Inari","Study loans","All household-dwelling units",2636251,844
"2007","Sodankylä","Debts total","All household-dwelling units",113155502,27843
"2007","Sodankylä","Housing loans","All household-dwelling units",65277242,16062
"2007","Sodankylä","Other debts","All household-dwelling units",39894393,9817
"2007","Sodankylä","Loans charged on business activities or a source of income","All household-dwelling units",5809881,1430
"2007","Sodankylä","Study loans","All household-dwelling units",2174038,535
"2007","Utsjoki","Debts total","All household-dwelling units",18741952,30674
"2007","Utsjoki","Housing loans","All household-dwelling units",9027895,14776
"2007","Utsjoki","Other debts","All household-dwelling units",8080976,13226
"2007","Utsjoki","Loans charged on business activities or a source of income","All household-dwelling units",996693,1631
"2007","Utsjoki","Study loans","All household-dwelling units",636413,1042
"2007","Ranua","Debts total","All household-dwelling units",52545208,29855
"2007","Ranua","Housing loans","All household-dwelling units",25274316,14360
"2007","Ranua","Other debts","All household-dwelling units",20253302,11508
"2007","Ranua","Loans charged on business activities or a source of income","All household-dwelling units",5987899,3402
"2007","Ranua","Study loans","All household-dwelling units",1029702,585
"2007","Rovaniemi","Debts total","All household-dwelling units",1163870659,41732
"2007","Rovaniemi","Housing loans","All household-dwelling units",834510115,29923
"2007","Rovaniemi","Other debts","All household-dwelling units",250663072,8988
"2007","Rovaniemi","Loans charged on business activities or a source of income","All household-dwelling units",40628841,1457
"2007","Rovaniemi","Study loans","All household-dwelling units",38068701,1365
"2007","Pello","Debts total","All household-dwelling units",43654291,22666
"2007","Pello","Housing loans","All household-dwelling units",23617194,12262
"2007","Pello","Other debts","All household-dwelling units",16865089,8757
"2007","Pello","Loans charged on business activities or a source of income","All household-dwelling units",2416564,1255
"2007","Pello","Study loans","All household-dwelling units",755442,392
"2007","Ylitornio","Debts total","All household-dwelling units",67884533,30496
"2007","Ylitornio","Housing loans","All household-dwelling units",35471686,15935
"2007","Ylitornio","Other debts","All household-dwelling units",23961175,10764
"2007","Ylitornio","Loans charged on business activities or a source of income","All household-dwelling units",7397803,3323
"2007","Ylitornio","Study loans","All household-dwelling units",1053892,473
"2007","Enontekiö","Debts total","All household-dwelling units",23931370,27257
"2007","Enontekiö","Housing loans","All household-dwelling units",12684634,14447
"2007","Enontekiö","Other debts","All household-dwelling units",9823625,11189
"2007","Enontekiö","Loans charged on business activities or a source of income","All household-dwelling units",908436,1035
"2007","Enontekiö","Study loans","All household-dwelling units",514678,586
"2007","Kittilä","Debts total","All household-dwelling units",100162999,37056
