"Year","Municipality","Type of debt","Household-dwelling units","Debts (euros)","Debts, mean (euros)"
"2002","Loviisa","Loans charged on business activities or a source of income","All household-dwelling units",30314514,4247
"2002","Loviisa","Study loans","All household-dwelling units",3281571,460
"2002","Askola","Debts total","All household-dwelling units",78397867,45395
"2002","Askola","Housing loans","All household-dwelling units",45428284,26305
"2002","Askola","Other debts","All household-dwelling units",15158382,8777
"2002","Askola","Loans charged on business activities or a source of income","All household-dwelling units",17001204,9844
"2002","Askola","Study loans","All household-dwelling units",809992,469
"2002","Myrskylä","Debts total","All household-dwelling units",23348797,28267
"2002","Myrskylä","Housing loans","All household-dwelling units",9693357,11735
"2002","Myrskylä","Other debts","All household-dwelling units",4426567,5359
"2002","Myrskylä","Loans charged on business activities or a source of income","All household-dwelling units",8866934,10735
"2002","Myrskylä","Study loans","All household-dwelling units",361950,438
"2002","Porvoo","Debts total","All household-dwelling units",696383091,35187
"2002","Porvoo","Housing loans","All household-dwelling units",499067076,25217
"2002","Porvoo","Other debts","All household-dwelling units",126795732,6407
"2002","Porvoo","Loans charged on business activities or a source of income","All household-dwelling units",55755403,2817
"2002","Porvoo","Study loans","All household-dwelling units",14765035,746
"2002","Pukkila","Debts total","All household-dwelling units",32161338,40404
"2002","Pukkila","Housing loans","All household-dwelling units",14612686,18358
"2002","Pukkila","Other debts","All household-dwelling units",7631042,9587
"2002","Pukkila","Loans charged on business activities or a source of income","All household-dwelling units",9621233,12087
"2002","Pukkila","Study loans","All household-dwelling units",296367,372
"2002","Hanko","Debts total","All household-dwelling units",118264064,25024
"2002","Hanko","Housing loans","All household-dwelling units",84381034,17855
"2002","Hanko","Other debts","All household-dwelling units",24245524,5130
"2002","Hanko","Loans charged on business activities or a source of income","All household-dwelling units",7688597,1627
"2002","Hanko","Study loans","All household-dwelling units",1948941,412
"2002","Inkoo","Debts total","All household-dwelling units",85054695,41551
"2002","Inkoo","Housing loans","All household-dwelling units",57031583,27861
"2002","Inkoo","Other debts","All household-dwelling units",17429157,8514
"2002","Inkoo","Loans charged on business activities or a source of income","All household-dwelling units",9507449,4645
"2002","Inkoo","Study loans","All household-dwelling units",1086498,531
"2002","Raasepori","Debts total","All household-dwelling units",351033021,27474
"2002","Raasepori","Housing loans","All household-dwelling units",242083979,18947
"2002","Raasepori","Other debts","All household-dwelling units",76034880,5951
"2002","Raasepori","Loans charged on business activities or a source of income","All household-dwelling units",26461983,2071
"2002","Raasepori","Study loans","All household-dwelling units",6452263,505
"2002","Aura","Debts total","All household-dwelling units",60029768,42334
"2002","Aura","Housing loans","All household-dwelling units",35615786,25117
"2002","Aura","Other debts","All household-dwelling units",12727866,8976
"2002","Aura","Loans charged on business activities or a source of income","All household-dwelling units",10983874,7746
"2002","Aura","Study loans","All household-dwelling units",702295,495
"2002","Koski Tl","Debts total","All household-dwelling units",38711852,34077
"2002","Koski Tl","Housing loans","All household-dwelling units",13569498,11945
"2002","Koski Tl","Other debts","All household-dwelling units",5850519,5150
"2002","Koski Tl","Loans charged on business activities or a source of income","All household-dwelling units",19001361,16727
"2002","Koski Tl","Study loans","All household-dwelling units",290453,256
"2002","Loimaa","Debts total","All household-dwelling units",244464760,30712
"2002","Loimaa","Housing loans","All household-dwelling units",102957026,12934
"2002","Loimaa","Other debts","All household-dwelling units",47503370,5968
"2002","Loimaa","Loans charged on business activities or a source of income","All household-dwelling units",90728991,11398
"2002","Loimaa","Study loans","All household-dwelling units",3275396,411
