kunta_nimi,vuosi,Elatustuki,Eläke-etuudet (pl. takuueläke),Eläketuki,Eläkkeensaajan asumistuki,Erityishoitoraha,Koulumatkatuki,Kuntoutus,Kuntoutusraha,Lapsilisä,Lastenhoidon tuet,Maahanmuuttajan erityistuki,Opintolainahyvitys,Opintolainan korkoavustus,Opintolainavähennys,"Opintotuki (opintoraha, asumislisä, lainatakaus)",Perhevapaakorvaus,Perustoimeentulotuki,Sairaanhoitokorvaukset,Sairauspäivärahat,Sotilasavustus,Takuueläke,Työttömyysturva,Vammaisetuudet,Vanhempainpäiväraha,Vuosilomakustannuskorvaus,Väliaikainen sähkötuki,Yleinen asumistuki,Äitiysavustus
Akaa,2024,216.375,1868.75,4.888888888888889,565.5,4.0,315.42857142857144,274.5,91.75,1671.875,133.875,0.0,5.0,7.666666666666667,4.0,211.625,4.833333333333333,326.375,5191.875,187.25,14.0,301.0,469.5,858.5,133.125,7.75,9.0,630.75,9.875
Alajärvi,2008,216.375,0.0,0.0,0.0,20.0,198.0,143.0,93.0,931.0,211.0,0.0,5.0,7.666666666666667,4.0,480.0,4.833333333333333,326.375,6795.0,529.0,14.0,301.0,335.0,0.0,293.0,19.0,9.0,0.0,116.0
Alajärvi,2009,0.0,0.0,0.0,0.0,13.0,266.0,167.0,83.0,1095.0,283.0,0.0,5.0,7.666666666666667,4.0,550.0,4.833333333333333,326.375,8086.0,567.0,13.0,301.0,447.0,0.0,310.0,39.0,9.0,0.0,119.0
Alajärvi,2010,0.0,0.0,0.0,0.0,16.0,282.0,176.0,95.0,1091.0,269.0,0.0,5.0,7.666666666666667,4.0,479.0,4.833333333333333,326.375,8038.0,596.0,6.0,301.0,394.0,0.0,319.0,35.0,9.0,0.0,129.0
Alajärvi,2011,0.0,0.0,0.0,0.0,12.0,259.0,176.0,121.0,1052.0,270.0,0.0,5.0,7.666666666666667,4.0,443.0,4.833333333333333,326.375,8063.0,593.0,9.0,0.0,408.0,0.0,326.0,28.0,9.0,0.0,116.0
Alajärvi,2012,0.0,0.0,0.0,0.0,16.0,231.0,175.0,110.0,1021.0,265.0,0.0,5.0,7.666666666666667,5.0,425.0,4.833333333333333,326.375,7905.0,572.0,8.0,0.0,436.0,0.0,296.0,28.0,9.0,0.0,109.0
Alajärvi,2013,0.0,0.0,0.0,0.0,20.0,238.0,197.0,121.0,1030.0,270.0,0.0,5.0,7.666666666666667,5.0,394.0,4.833333333333333,326.375,7891.0,556.0,9.0,0.0,420.0,0.0,283.0,30.0,9.0,0.0,97.0
Alajärvi,2014,0.0,0.0,0.0,0.0,12.0,239.0,213.0,116.0,1010.0,262.0,0.0,5.0,7.666666666666667,4.0,367.0,4.833333333333333,326.375,7796.0,572.0,5.0,0.0,449.0,0.0,263.0,18.0,9.0,0.0,97.0
Alajärvi,2015,0.0,0.0,0.0,0.0,23.0,231.0,195.0,103.0,975.0,266.0,0.0,5.0,7.666666666666667,4.0,373.0,4.833333333333333,326.375,7625.0,516.0,11.0,0.0,434.0,0.0,270.0,37.0,9.0,0.0,108.0
Alajärvi,2016,0.0,0.0,0.0,0.0,17.0,237.0,183.0,105.0,967.0,233.0,0.0,5.0,7.666666666666667,4.0,350.0,4.833333333333333,326.375,7017.0,537.0,10.0,0.0,452.0,0.0,270.0,38.0,9.0,0.0,84.0
Alajärvi,2017,0.0,0.0,0.0,0.0,13.0,249.0,169.0,75.0,943.0,226.0,0.0,5.0,7.666666666666667,5.0,317.0,8.0,0.0,6995.0,524.0,10.0,0.0,444.0,0.0,250.0,25.0,9.0,0.0,89.0
