Municipality,Year,"Entitled to special refunds on medicines for psychosis, as % of total population","Hospital care for mental disorders, recipients aged 0-17 per 1000 persons of the same age","Hospital care for mental disorders, recipients aged 18-24 per 1000 persons of the same age",Mental health outpatient visits of adults per 1000 persons aged 18 and over,Mental health visits in primary health care per 1000 inhabitants,Outpatient visits in specialities of psychiatry per 1000 inhabitants,"Psychiatric inpatient care, care days per 1000 inhabitants","Psychiatric inpatient care, patients per 1000 inhabitants","Psychiatric inpatient care, periods of care per 1000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec (24-hour assistance) per 10000 inhabitants","Psychiatric rehabilitation homes, clients on 31 Dec (part-time assistance) per 10000 inhabitants","Rahabilitative psychotherapy, recipients aged 16-24 per 1000 persons of same age","Recipients of a disability pension due to mental and behavioural disorders aged 16-24, % of total population of the same age ","Recipients of a disability pension due to mental and behavioural disorders aged 25-64, as % of total population of the same age ","Rehabilitative psychotherapy, recipients aged 25-64 per 1000 persons of same age","Reimbursement for depression medicines in those aged 65 and over, as % of total population of same age","Reimbursements for depression medicines, recipients aged 0-17, as % of total population of the same age","Reimbursements for depression medicines, recipients aged 18-64 per 1000 persons of same age","Sickness allowance for mental health reasons, recipients aged 25-64 per 1000 persons of same age"
Akaa,2000,1.2,3.7,6.1,31.7,0.0,38.5,380.6,6.3,8.9,4.0,5.0,3.4,1.0,3.6,0.8,8.2,0.1,54.7,23.5
Akaa,2001,1.2,3.4,7.8,29.2,0.0,39.8,378.4,8.2,13.0,4.0,5.0,3.4,0.8,3.7,0.8,7.7,0.2,57.3,23.5
Akaa,2002,1.3,3.1,8.1,48.4,0.0,63.0,396.0,8.7,12.4,4.0,5.0,3.4,0.6,3.7,1.3,8.1,0.1,62.8,23.5
Akaa,2003,1.4,3.7,10.7,40.0,0.0,55.0,414.2,8.4,13.0,4.0,5.0,3.4,0.5,3.8,1.4,8.3,0.3,61.4,23.5
Akaa,2004,1.4,3.1,10.7,35.8,0.0,60.1,377.8,9.1,12.9,4.0,5.0,3.4,0.3,3.8,1.2,8.6,0.1,69.6,23.5
Akaa,2005,1.5,5.2,7.2,32.5,0.0,61.4,311.5,7.8,10.6,4.0,5.0,3.4,0.3,3.7,1.3,8.2,0.2,68.0,23.3
Akaa,2006,1.5,3.2,9.2,51.1,0.0,93.2,291.6,7.3,11.3,4.0,5.0,3.4,0.4,3.8,2.0,8.7,0.3,70.7,19.6
Akaa,2007,1.5,2.9,6.7,61.3,0.0,86.9,249.0,6.3,8.8,4.0,7.0,3.4,0.4,3.7,2.0,8.6,0.2,79.1,21.6
Akaa,2008,1.5,5.3,9.7,44.8,0.0,81.2,273.5,7.7,11.0,4.0,5.0,4.9,0.3,3.6,2.1,9.0,0.2,80.7,23.1
Akaa,2009,1.5,5.3,9.6,12.9,0.0,79.5,323.9,7.4,11.0,3.0,5.0,8.2,0.7,3.7,1.9,9.3,0.4,87.6,22.9
Akaa,2010,1.5,5.5,8.8,26.5,5.0,102.5,368.0,6.8,9.2,5.0,5.0,4.1,0.7,3.8,2.4,10.1,0.4,89.2,22.2
Akaa,2011,1.5,4.2,7.9,259.2,195.0,111.5,262.9,5.9,8.2,7.0,4.0,4.2,0.5,3.7,3.1,10.8,0.3,91.0,20.6
Akaa,2012,1.6,3.9,12.5,300.0,222.0,125.1,302.1,7.7,11.7,6.0,3.0,4.2,0.4,3.7,3.2,11.1,0.4,93.0,22.0
Akaa,2013,1.5,3.7,12.3,341.6,271.0,148.0,265.1,6.0,8.1,6.0,3.0,8.7,0.7,3.6,5.1,10.1,0.5,91.6,21.7
Akaa,2014,1.5,4.2,11.1,333.8,280.0,126.5,271.9,6.9,10.3,8.0,5.0,10.1,1.0,3.5,6.9,10.9,0.2,90.3,20.6
Akaa,2015,1.5,6.1,13.0,339.9,287.0,118.5,152.3,4.7,6.3,8.0,4.0,10.0,0.9,3.3,7.1,10.9,0.5,88.5,22.6
Akaa,2016,1.5,3.0,10.3,280.9,227.0,137.0,153.0,3.7,4.9,7.0,4.0,8.8,1.1,3.2,8.1,12.2,0.5,80.4,21.2
Akaa,2017,1.6,5.8,10.7,298.1,267.0,139.3,110.7,4.6,5.1,7.0,4.0,13.6,1.0,3.2,8.9,12.8,0.8,83.5,23.6
Akaa,2018,1.5,7.3,6.8,352.4,309.0,145.5,146.1,4.7,5.8,10.0,5.0,11.6,1.2,3.2,10.1,13.1,0.9,86.1,28.8
Akaa,2019,1.6,6.1,10.7,360.7,365.0,136.3,106.9,4.6,5.6,10.0,5.0,11.3,1.1,3.2,10.7,13.5,1.0,96.2,31.9
Akaa,2020,1.6,5.3,12.9,365.8,419.0,105.4,88.6,4.1,5.1,10.0,5.0,16.5,1.3,3.2,13.0,13.0,1.3,96.0,30.5
Akaa,2021,1.5,5.1,17.5,352.6,348.0,143.3,116.7,3.7,4.8,9.0,4.0,19.1,1.4,3.1,13.6,13.2,2.1,100.5,31.2
Akaa,2022,1.5,6.4,9.1,273.9,293.0,153.2,118.0,3.8,4.8,8.0,4.0,21.2,1.7,3.0,13.9,13.6,2.1,109.9,34.9
Akaa,2023,1.4,4.4,6.6,200.6,189.0,153.2,118.0,2.9,4.8,6.0,5.0,20.6,1.6,2.9,12.9,15.1,1.9,111.4,33.9
Alajärvi,2000,2.5,2.4,7.8,428.5,20.0,319.0,537.9,7.0,10.4,7.0,7.0,3.8,0.5,5.2,0.9,10.3,0.3,64.7,19.0
Alajärvi,2001,2.5,1.7,11.4,420.9,9.0,331.7,513.9,7.1,10.9,7.0,7.0,3.8,0.5,5.0,0.9,10.2,0.5,66.1,19.0
Alajärvi,2002,2.5,2.2,11.4,477.0,0.0,392.0,429.1,6.1,8.8,7.0,7.0,3.8,0.6,5.0,0.9,10.4,0.6,71.7,19.0
Alajärvi,2003,2.5,2.2,8.3,476.3,0.0,394.9,501.4,6.7,11.4,7.0,7.0,3.9,0.3,5.4,0.9,11.0,0.5,73.4,19.0
Alajärvi,2004,2.5,2.4,15.7,450.2,0.0,378.8,483.7,6.3,10.5,7.0,7.0,4.5,0.4,5.6,0.9,10.9,0.3,78.7,19.0
Alajärvi,2005,2.6,2.4,5.6,478.0,1.0,395.9,507.8,6.0,10.8,7.0,7.0,4.7,0.3,5.7,1.0,10.3,0.4,83.8,21.6
Alajärvi,2006,2.6,2.4,5.6,781.3,14.0,609.7,533.6,7.2,13.3,7.0,7.0,5.7,0.3,5.8,1.0,11.7,0.3,90.5,19.3
Alajärvi,2007,2.5,4.0,6.8,621.2,17.0,485.6,566.8,7.1,14.1,7.0,7.0,5.7,0.3,5.9,1.0,11.4,0.4,96.5,23.6
Alajärvi,2008,2.5,6.9,9.3,656.5,19.0,520.2,562.3,8.8,14.8,9.0,7.0,5.9,0.3,5.8,1.0,11.2,0.6,96.8,19.8
Alajärvi,2009,2.5,4.1,5.9,650.7,51.0,486.4,431.2,6.6,11.8,8.0,5.0,4.5,0.3,6.0,1.9,11.5,0.6,104.3,21.4
Alajärvi,2010,2.5,4.7,12.4,834.7,199.0,472.4,327.5,7.5,11.5,13.0,5.0,4.5,0.4,6.0,2.4,12.3,0.6,103.9,21.8
Alajärvi,2011,2.5,4.7,16.9,774.2,145.0,497.8,429.0,8.8,14.2,13.0,5.0,7.7,0.5,6.1,1.8,13.3,0.7,106.1,21.5
Alajärvi,2012,2.4,3.0,15.8,903.4,231.0,517.1,520.0,9.8,17.6,10.0,5.0,7.7,0.6,5.9,2.0,13.2,0.5,109.2,23.4
Alajärvi,2013,2.4,3.5,13.5,920.8,255.0,505.6,158.9,5.0,9.6,19.0,15.0,7.7,1.2,6.1,2.5,12.7,0.5,98.3,23.9
Alajärvi,2014,2.4,3.1,7.4,970.2,319.0,489.8,124.2,4.6,5.4,19.0,15.0,7.7,0.9,6.0,3.1,13.3,0.6,103.4,24.4
Alajärvi,2015,2.4,3.2,7.4,1326.3,561.0,525.4,177.6,3.5,5.3,18.0,15.0,7.7,1.0,5.9,3.9,13.1,0.7,97.8,24.5
Alajärvi,2016,2.3,2.8,9.3,1180.0,464.0,505.8,106.5,4.5,5.8,16.0,15.0,7.7,1.4,5.7,3.1,12.2,0.8,89.2,24.4
Alajärvi,2017,2.3,2.8,7.8,769.5,181.0,481.7,137.4,3.9,6.0,21.0,15.0,7.7,1.3,5.6,3.4,12.3,0.8,92.8,28.3
Alajärvi,2018,2.3,2.4,9.8,871.7,251.0,488.6,211.0,4.7,6.1,20.0,15.0,6.1,1.5,5.6,4.1,13.2,1.2,92.4,27.6
Alajärvi,2019,2.5,3.5,8.7,849.8,206.0,529.3,145.5,3.7,4.7,21.0,15.0,6.1,1.4,5.5,3.7,13.8,1.0,98.4,32.8
Alajärvi,2020,2.2,4.0,8.7,647.6,195.0,530.5,185.3,3.8,6.5,22.0,15.0,6.1,1.7,5.6,5.2,13.4,1.5,102.3,28.9
Alajärvi,2021,2.2,5.7,12.5,660.9,167.0,580.5,179.6,4.4,5.6,27.0,15.0,6.4,1.9,5.7,5.1,13.3,1.8,104.3,33.3
Alajärvi,2022,2.1,3.7,14.1,669.9,171.0,506.4,138.7,4.6,5.6,25.0,15.0,10.3,1.6,5.7,5.3,14.5,2.3,106.2,34.0
Alajärvi,2023,2.1,2.7,21.0,1095.8,496.0,506.4,138.7,3.6,5.6,13.0,15.0,10.3,1.6,5.8,6.3,14.7,2.5,111.9,38.3
Alavieska,2000,1.8,7.4,0.0,929.6,571.0,109.2,343.5,3.4,5.1,18.0,19.0,0.0,0.0,5.0,3.9,8.7,0.5,51.1,15.8
Alavieska,2001,1.9,7.4,0.0,868.6,547.0,88.2,487.6,4.5,6.2,18.0,19.0,0.0,0.0,5.2,3.9,8.8,0.5,49.3,15.8
Alavieska,2002,1.9,6.3,0.0,852.5,545.0,75.2,697.4,8.6,12.4,18.0,19.0,0.0,0.0,5.5,3.9,7.7,0.5,60.6,15.8
Alavieska,2003,1.9,7.5,0.0,876.8,606.0,32.2,664.1,8.0,15.2,18.0,19.0,0.0,0.0,5.8,3.9,10.2,0.7,65.2,15.8
Alavieska,2004,2.0,0.0,0.0,935.9,639.0,41.8,571.9,5.9,10.4,18.0,19.0,0.0,0.0,5.8,3.9,10.7,0.7,67.8,15.8
Alavieska,2005,2.3,0.0,0.0,908.2,622.0,48.0,535.0,8.4,13.0,18.0,19.0,0.0,0.0,5.8,3.9,9.8,0.7,70.3,22.8
Alavieska,2006,2.5,6.9,0.0,964.1,666.0,52.0,423.1,6.0,10.3,18.0,19.0,0.0,0.0,6.2,3.9,10.8,0.7,75.1,24.4
Alavieska,2007,2.5,6.9,0.0,773.9,554.0,19.9,322.7,6.7,10.6,18.0,19.0,0.0,0.0,6.3,3.9,11.4,0.7,83.8,23.7
Alavieska,2008,2.5,6.9,0.0,648.3,463.0,21.4,393.6,5.1,8.0,18.0,19.0,0.0,1.2,6.5,3.9,10.4,0.7,83.4,24.1
Alavieska,2009,2.5,6.9,0.0,687.3,476.0,40.3,480.9,7.2,11.9,18.0,19.0,0.0,1.2,6.4,3.9,12.1,0.7,79.6,23.1
Alavieska,2010,2.4,6.9,0.0,653.8,453.0,38.3,398.2,5.8,6.5,18.0,19.0,0.0,1.2,6.1,3.9,13.3,1.0,80.8,16.3
Alavieska,2011,2.4,6.9,0.0,639.4,484.0,48.4,528.7,4.7,5.5,18.0,19.0,0.0,2.2,6.1,3.9,11.9,0.9,80.9,20.2
Alavieska,2012,2.2,6.9,0.0,618.4,476.0,57.6,483.2,6.9,6.9,18.0,19.0,0.0,2.2,5.8,6.2,11.7,0.9,82.8,23.3
Alavieska,2013,2.2,6.9,0.0,368.7,291.0,62.8,419.0,7.7,12.0,18.0,19.0,0.0,2.2,5.8,5.5,10.6,0.9,81.0,23.7
Alavieska,2014,2.2,6.9,0.0,530.3,413.0,55.5,306.7,6.3,10.4,18.0,19.0,0.0,2.2,5.6,6.4,11.5,0.9,81.5,14.5
Alavieska,2015,2.1,6.9,0.0,575.4,431.0,37.2,291.4,6.0,10.0,18.0,19.0,0.0,2.2,5.7,4.1,11.9,0.9,76.9,15.5
Alavieska,2016,2.4,6.9,0.0,644.8,494.0,49.3,428.2,6.1,13.3,18.0,19.0,0.0,2.2,5.9,5.8,11.7,0.9,72.0,17.4
Alavieska,2017,2.2,6.9,0.0,548.1,446.0,47.1,289.3,3.8,6.5,18.0,19.0,0.0,1.5,5.7,7.5,12.3,0.9,61.8,10.9
Alavieska,2018,2.3,6.9,0.0,496.7,401.0,125.5,258.5,5.1,8.6,18.0,19.0,0.0,0.0,5.7,7.7,10.7,0.9,57.0,17.2
Alavieska,2019,2.3,6.9,0.0,950.3,730.0,110.4,402.1,6.4,7.1,18.0,19.0,0.0,0.0,5.3,4.4,12.1,0.9,65.0,30.6
Alavieska,2020,2.1,6.9,0.0,1082.8,907.0,52.4,196.7,3.6,3.6,18.0,19.0,0.0,0.0,5.4,10.6,12.0,0.8,71.8,28.4
Alavieska,2021,2.1,6.9,0.0,877.9,839.0,74.3,205.9,3.2,3.2,18.0,19.0,0.0,0.0,5.4,12.7,13.9,2.1,75.8,27.2
Alavieska,2022,2.1,6.9,0.0,724.1,702.0,83.8,191.7,2.5,3.2,18.0,19.0,0.0,0.0,5.3,13.9,14.3,2.3,86.6,30.5
Alavieska,2023,1.9,6.9,0.0,536.7,530.0,83.8,191.7,4.9,3.2,18.0,19.0,0.0,0.0,5.1,15.6,13.3,1.1,92.2,45.0
Alavus,2000,2.0,1.6,7.7,231.5,0.0,187.0,430.1,6.5,10.4,5.0,13.0,0.0,0.4,4.0,1.8,7.9,0.1,46.7,19.0
Alavus,2001,2.0,2.3,11.7,20.3,0.0,37.3,442.3,6.8,12.9,5.0,13.0,5.2,0.3,4.1,1.8,8.1,0.3,53.0,19.0
Alavus,2002,2.0,3.3,7.6,271.0,183.0,51.2,425.4,7.0,13.9,5.0,13.0,5.2,0.4,4.2,1.8,8.1,0.4,54.5,19.0
Alavus,2003,2.0,3.4,6.4,483.1,351.0,55.9,377.0,6.4,11.5,5.0,13.0,5.2,0.4,4.2,1.8,7.7,0.2,53.7,19.0
Alavus,2004,2.1,5.2,4.4,539.6,384.0,70.9,461.9,7.4,16.5,5.0,13.0,5.2,0.4,4.4,1.8,7.2,0.4,60.5,19.0
Alavus,2005,2.1,2.8,4.5,466.9,326.0,83.2,341.8,7.1,13.0,5.0,13.0,5.2,0.3,4.5,1.8,7.5,0.5,67.7,19.9
Alavus,2006,2.0,2.8,4.5,431.9,298.0,77.3,360.6,8.3,14.7,5.0,13.0,5.2,0.3,4.6,1.6,7.6,0.6,70.9,22.4
Alavus,2007,2.1,4.6,12.1,467.8,327.0,75.9,296.0,6.6,13.6,5.0,9.0,5.2,0.6,4.6,2.1,8.6,0.4,72.7,20.7
Alavus,2008,2.0,4.6,12.1,482.4,339.0,68.1,310.9,7.3,13.9,5.0,10.0,5.2,0.4,4.9,1.8,9.1,0.4,76.9,16.8
Alavus,2009,2.1,4.7,12.1,468.0,331.0,67.5,328.2,8.1,16.2,5.0,12.0,5.2,0.5,4.7,1.1,9.3,0.4,78.8,18.0
Alavus,2010,2.2,2.9,7.7,541.6,387.0,68.8,364.5,7.6,15.3,6.0,13.0,6.3,1.0,4.7,2.0,11.0,0.3,83.1,19.0
Alavus,2011,2.1,4.8,15.3,542.8,400.0,63.1,357.1,8.3,16.1,7.0,10.0,4.0,1.0,4.7,2.3,11.8,0.6,85.4,18.3
Alavus,2012,2.2,1.9,12.2,459.3,329.0,82.0,232.2,7.2,14.6,6.0,11.0,4.1,1.1,4.9,2.8,11.5,0.5,84.2,19.7
Alavus,2013,2.1,2.7,8.8,536.6,374.0,107.7,240.1,6.7,14.6,9.0,9.0,4.7,0.8,5.2,2.6,10.5,0.5,81.3,24.7
Alavus,2014,2.1,1.9,8.8,393.0,260.0,107.6,293.2,7.7,17.0,8.0,11.0,4.7,0.9,5.3,4.2,10.4,0.4,78.6,19.8
Alavus,2015,2.1,2.7,9.1,520.2,354.0,109.0,265.9,7.6,16.3,11.0,7.0,4.7,1.3,5.3,5.3,10.4,0.5,81.9,21.6
Alavus,2016,2.0,2.9,7.1,516.8,375.0,85.9,258.6,6.8,15.7,9.0,10.0,4.7,1.3,5.0,5.3,10.8,0.5,72.0,19.0
Alavus,2017,2.1,2.9,12.2,602.6,514.0,88.0,233.5,6.7,10.6,8.0,20.0,4.7,1.7,4.9,5.6,10.4,0.8,73.3,23.1
Alavus,2018,2.0,3.8,12.2,666.8,602.0,87.4,96.9,3.5,4.4,5.0,21.0,4.7,1.4,5.0,4.7,9.6,1.1,69.8,20.2
Alavus,2019,2.2,2.6,12.2,725.5,670.0,98.6,74.1,3.0,4.2,8.0,15.0,7.0,1.4,5.2,5.2,10.2,0.8,80.7,24.1
Alavus,2020,2.0,3.0,12.2,820.5,637.0,101.7,114.3,3.7,5.5,9.0,13.0,9.8,1.1,5.2,5.7,10.3,1.0,77.5,25.3
Alavus,2021,2.0,3.5,12.2,909.5,713.0,100.4,103.3,3.8,7.1,9.0,18.0,11.5,1.6,5.2,6.1,10.7,1.3,83.0,28.5
Alavus,2022,1.9,4.5,12.2,843.3,659.0,91.2,129.4,3.2,7.1,9.0,14.0,5.3,1.1,5.2,9.2,10.8,1.6,84.3,27.5
Alavus,2023,1.9,4.5,12.2,1052.3,826.0,91.2,129.4,3.0,7.1,8.0,14.0,5.3,1.8,5.2,7.2,11.0,1.3,82.8,24.1
Asikkala,2000,1.4,6.1,15.1,387.6,217.0,107.2,248.1,5.9,7.6,8.0,19.0,0.0,1.0,3.2,1.3,11.1,0.3,60.6,17.2
Asikkala,2001,1.4,5.5,12.8,370.2,204.0,105.8,221.8,4.7,6.1,8.0,19.0,0.0,1.1,3.1,1.3,10.5,0.2,54.9,17.2
Asikkala,2002,1.4,6.2,11.0,379.0,221.0,100.9,230.1,5.2,6.1,8.0,19.0,0.0,1.3,3.2,1.3,10.1,0.4,52.2,17.2
Asikkala,2003,1.4,8.8,11.0,283.5,187.0,62.1,270.5,4.8,5.5,8.0,19.0,0.0,1.1,3.2,1.3,10.7,0.8,60.2,17.2
Asikkala,2004,1.5,8.9,11.0,296.5,204.0,70.0,216.6,5.3,6.3,8.0,19.0,0.0,1.4,3.2,1.3,10.8,0.9,61.7,17.2
Asikkala,2005,1.7,4.8,11.0,308.8,210.0,90.3,187.1,3.6,5.0,8.0,19.0,0.0,1.0,3.2,2.0,10.9,0.7,60.1,14.1
Asikkala,2006,1.7,6.5,11.0,311.8,234.0,33.3,160.6,2.8,4.1,8.0,19.0,12.2,1.2,3.3,2.0,10.3,0.7,66.4,17.8
Asikkala,2007,1.6,3.0,11.0,52.6,0.0,80.2,165.8,3.8,4.5,8.0,20.0,12.2,1.0,3.5,2.4,10.7,0.8,75.7,16.9
Asikkala,2008,1.6,5.4,11.0,342.4,216.0,89.5,219.8,5.1,6.0,8.0,20.0,12.2,0.9,3.6,3.3,10.5,0.6,80.0,17.8
Asikkala,2009,1.5,6.1,11.0,322.4,178.0,124.1,230.9,4.1,5.4,8.0,16.0,12.2,1.0,3.5,2.0,11.1,0.7,82.6,15.3
Asikkala,2010,1.6,6.8,11.0,245.9,130.0,123.9,200.3,3.5,5.1,8.0,14.0,12.2,0.7,3.7,2.3,11.7,0.7,78.1,13.2
Asikkala,2011,1.6,5.2,11.4,335.2,211.0,137.1,222.1,4.1,5.6,8.0,18.0,12.2,0.9,3.6,2.3,11.5,0.5,88.7,16.4
Asikkala,2012,1.7,7.8,11.4,366.8,222.0,156.1,252.3,4.7,7.0,8.0,18.0,12.2,1.4,3.6,2.6,10.9,0.6,87.7,15.5
Asikkala,2013,1.7,5.3,11.4,324.3,184.0,161.5,262.0,3.9,4.5,8.0,15.0,11.1,1.6,3.5,3.4,9.7,0.9,87.6,14.4
Asikkala,2014,1.7,7.4,11.4,375.2,204.0,183.9,176.5,5.3,9.4,8.0,16.0,8.2,1.0,3.6,1.7,10.0,0.9,85.9,15.8
Asikkala,2015,1.8,6.2,15.3,426.9,265.0,177.1,133.7,4.0,7.0,8.0,12.0,10.0,0.7,4.0,2.3,9.8,1.0,85.8,17.8
Asikkala,2016,1.8,5.5,15.3,469.9,308.0,202.7,116.4,3.8,5.8,6.0,16.0,8.9,1.0,3.9,4.0,9.4,1.1,71.2,19.2
Asikkala,2017,1.8,3.5,15.3,447.0,269.0,222.1,87.7,3.0,3.6,6.0,12.0,8.9,0.9,4.2,4.9,9.5,0.9,79.0,20.3
Asikkala,2018,1.8,5.7,15.3,467.7,241.0,244.2,52.0,3.3,4.5,6.0,11.0,13.3,0.9,4.4,7.7,10.4,0.9,82.1,19.2
Asikkala,2019,1.8,3.8,15.3,485.7,243.0,269.9,49.4,3.0,3.8,6.0,12.0,13.3,0.9,4.3,8.1,10.9,0.9,88.2,23.1
Asikkala,2020,1.7,3.8,15.3,418.8,180.0,314.4,61.2,2.5,4.2,6.0,11.0,13.3,1.0,4.3,9.1,11.4,1.0,88.8,27.0
Asikkala,2021,1.6,5.9,15.3,404.3,185.0,403.1,105.6,3.9,7.0,6.0,11.0,13.3,1.1,4.3,12.2,12.6,1.5,90.3,26.1
Asikkala,2022,1.5,9.9,15.3,367.3,145.0,350.1,72.2,3.9,7.0,6.0,11.0,12.8,1.3,4.2,13.5,13.3,1.8,89.7,26.4
Asikkala,2023,1.5,8.3,15.3,318.7,184.0,350.1,72.2,3.3,7.0,6.0,11.0,12.8,1.3,4.2,10.8,12.9,1.4,88.0,23.9
Askola,2000,1.1,6.3,0.0,292.9,0.0,275.2,324.4,5.9,7.7,10.0,0.0,0.0,1.4,2.2,1.9,9.5,0.5,53.3,19.1
Askola,2001,1.1,8.1,0.0,226.8,0.0,241.1,193.6,3.6,5.9,10.0,0.0,0.0,1.4,2.6,1.9,7.7,0.5,53.0,19.1
Askola,2002,1.2,8.1,0.0,286.0,0.0,286.1,157.7,4.3,8.1,10.0,0.0,0.0,1.0,2.7,1.9,7.9,0.5,51.7,19.1
Askola,2003,1.1,4.5,0.0,316.2,0.0,308.9,225.1,4.7,7.6,10.0,0.0,0.0,0.0,2.7,1.9,7.0,0.5,53.5,19.1
Askola,2004,1.2,3.9,0.0,300.3,0.0,311.3,224.9,4.9,8.6,10.0,0.0,0.0,0.0,2.9,1.9,6.9,0.6,61.7,19.1
Askola,2005,1.2,3.9,0.0,256.6,0.0,266.7,124.7,3.5,6.8,10.0,0.0,0.0,0.0,2.8,1.9,8.4,0.5,54.8,15.0
Askola,2006,1.2,3.9,0.0,214.9,0.0,257.0,123.2,4.3,6.7,10.0,0.0,0.0,0.0,2.7,1.9,8.9,0.5,62.5,16.3
Askola,2007,1.1,3.9,0.0,185.1,0.0,233.9,60.1,2.5,4.7,10.0,0.0,0.0,0.0,2.6,1.9,10.7,0.5,71.8,16.8
Askola,2008,1.1,3.9,0.0,256.8,0.0,295.1,125.2,3.2,6.9,10.0,0.0,0.0,0.0,2.6,1.9,11.6,0.5,84.0,20.3
Askola,2009,1.1,3.9,0.0,244.9,11.0,310.1,67.7,2.5,6.0,10.0,0.0,0.0,0.0,2.4,1.9,10.6,0.7,85.6,16.0
Askola,2010,1.1,3.9,0.0,203.3,0.0,274.9,175.2,3.1,9.7,10.0,0.0,0.0,0.0,2.3,1.9,12.6,0.7,88.1,19.7
Askola,2011,1.1,3.9,0.0,254.6,1.0,294.8,240.3,4.3,11.4,10.0,0.0,0.0,0.0,2.3,1.9,11.9,0.7,90.8,20.1
Askola,2012,1.1,3.9,0.0,267.8,4.0,292.1,227.3,2.6,9.2,10.0,0.0,0.0,0.0,2.3,2.2,11.7,1.0,91.3,16.0
Askola,2013,1.1,3.9,0.0,218.6,3.0,274.7,183.1,2.6,9.0,10.0,0.0,0.0,0.0,2.1,3.4,9.3,1.3,94.5,12.4
Askola,2014,1.2,3.9,0.0,205.5,0.0,264.8,71.9,3.9,8.5,10.0,0.0,0.0,0.0,2.4,3.4,9.3,0.6,91.2,13.4
Askola,2015,1.1,3.9,0.0,259.7,1.0,271.2,80.9,4.1,8.6,12.0,0.0,0.0,0.0,2.3,4.2,10.4,0.5,90.9,18.5
Askola,2016,1.0,3.9,0.0,248.6,1.0,291.3,27.3,2.2,3.6,12.0,0.0,0.0,0.0,2.3,3.1,9.4,0.3,77.4,12.3
Askola,2017,1.0,3.9,0.0,213.3,2.0,299.0,38.5,1.6,2.2,12.0,0.0,0.0,0.0,2.1,3.9,10.2,0.6,80.7,18.2
Askola,2018,1.0,3.9,0.0,257.5,4.0,345.1,57.7,2.4,3.6,12.0,0.0,0.0,0.0,2.2,4.7,9.8,1.2,82.9,24.1
Askola,2019,1.1,3.9,0.0,238.7,5.0,350.0,50.4,2.4,3.8,15.0,0.0,0.0,0.0,2.3,7.1,11.3,1.0,85.2,23.3
Askola,2020,1.0,3.9,0.0,158.7,2.0,337.4,61.3,1.6,2.5,15.0,0.0,0.0,0.0,2.1,11.1,9.5,1.1,79.1,21.9
Askola,2021,0.9,3.9,0.0,154.6,1.0,358.4,15.3,1.2,2.1,15.0,0.0,0.0,0.0,2.1,9.6,10.0,1.9,81.6,24.0
Askola,2022,0.9,3.9,0.0,122.1,7.0,315.3,9.9,1.2,2.1,15.0,0.0,0.0,0.0,2.0,10.1,9.4,1.4,89.1,26.3
Askola,2023,0.8,3.9,0.0,116.7,3.0,315.3,9.9,1.2,2.1,15.0,0.0,0.0,0.0,1.9,8.3,10.5,1.7,98.7,26.9
Aura,2000,1.5,0.0,20.2,176.4,0.0,148.6,221.7,3.6,4.8,13.0,0.0,0.0,0.0,2.6,5.0,9.3,0.5,66.3,17.0
Aura,2001,1.5,0.0,17.7,180.0,0.0,146.5,246.9,4.1,4.7,13.0,0.0,0.0,0.0,2.7,2.8,8.4,0.5,69.5,17.0
Aura,2002,1.4,0.0,0.0,158.6,0.0,130.5,59.9,3.2,3.8,13.0,0.0,0.0,0.0,2.5,2.9,10.1,0.5,61.9,17.0
Aura,2003,1.5,6.4,0.0,157.4,0.0,132.0,94.2,3.1,3.7,13.0,0.0,0.0,0.0,2.6,2.9,8.4,0.5,65.4,17.0
Aura,2004,1.6,6.4,0.0,155.1,0.0,126.0,190.9,4.4,6.9,13.0,0.0,0.0,0.0,2.8,2.9,9.1,0.5,65.8,17.0
Aura,2005,1.5,6.2,0.0,126.2,0.0,136.5,192.2,5.7,10.3,13.0,0.0,0.0,0.0,2.9,2.9,8.9,0.5,73.5,19.4
Aura,2006,1.4,6.2,0.0,151.3,0.0,140.3,140.0,4.5,8.8,13.0,0.0,0.0,1.1,2.9,2.9,7.9,0.5,84.5,22.1
Aura,2007,1.5,6.2,0.0,163.9,0.0,145.2,136.0,4.2,6.8,13.0,0.0,0.0,1.1,2.8,2.9,7.8,0.5,88.2,23.9
Aura,2008,1.4,7.3,0.0,188.9,0.0,177.6,180.9,4.4,8.0,13.0,0.0,20.2,1.0,3.0,2.8,8.5,0.5,90.8,25.2
Aura,2009,1.5,7.3,0.0,167.3,0.0,211.5,153.6,4.2,7.3,13.0,0.0,20.2,1.0,3.2,2.4,10.0,0.5,90.9,20.8
Aura,2010,1.4,9.2,0.0,140.7,0.0,207.4,94.1,3.3,4.9,13.0,0.0,20.2,1.0,2.9,2.4,9.9,0.6,89.3,17.9
Aura,2011,1.3,9.2,0.0,344.2,187.0,218.9,113.2,4.5,5.0,13.0,0.0,20.2,1.1,2.6,4.2,9.9,0.9,90.7,17.7
Aura,2012,1.3,5.0,0.0,450.4,269.0,241.8,38.3,2.5,2.5,13.0,0.0,20.2,1.4,2.8,4.2,11.7,1.1,88.3,18.3
Aura,2013,1.3,5.0,0.0,452.8,234.0,215.0,86.8,3.0,4.3,13.0,0.0,20.2,1.2,3.0,5.2,11.4,0.8,91.2,14.1
