year,municipality,type_of_debt,mean_debt_euro
2002,Isokyrö,Housing loans,14877
2002,Laihia,Housing loans,20636
2002,Kaskinen,Housing loans,14597
2002,Kristiinankaupunki,Housing loans,13506
2002,Närpiö,Housing loans,12293
2002,Korsnäs,Housing loans,13064
2002,Maalahti,Housing loans,18335
2002,Mustasaari,Housing loans,28276
2002,Vaasa,Housing loans,19395
2002,Vöyri,Housing loans,15287
2002,Hirvensalmi,Housing loans,10419
2002,Kangasniemi,Housing loans,10834
2002,Mikkeli,Housing loans,17134
2002,Mäntyharju,Housing loans,10426
2002,Pertunmaa,Housing loans,8577
2002,Puumala,Housing loans,9662
2002,Joroinen,Housing loans,14210
2002,Juva,Housing loans,11781
2002,Pieksämäki,Housing loans,11422
2002,Enonkoski,Housing loans,9917
2002,Heinävesi,Housing loans,8453
2002,Rantasalmi,Housing loans,11282
2002,Savonlinna,Housing loans,14302
2002,Sulkava,Housing loans,8933
2002,Kaavi,Housing loans,8658
2002,Rautavaara,Housing loans,5905
2002,Tuusniemi,Housing loans,9143
2002,Kuopio,Housing loans,15681
2002,Siilinjärvi,Housing loans,25406
2002,Rautalampi,Housing loans,9130
2002,Suonenjoki,Housing loans,10813
2002,Tervo,Housing loans,8681
2002,Vesanto,Housing loans,6674
2002,Leppävirta,Housing loans,14479
2002,Varkaus,Housing loans,14183
2002,Iisalmi,Housing loans,15517
2002,Keitele,Housing loans,11306
2002,Kiuruvesi,Housing loans,10329
2002,Lapinlahti,Housing loans,13452
2002,Pielavesi,Housing loans,9200
2002,Sonkajärvi,Housing loans,11137
2002,Vieremä,Housing loans,11125
2002,Ilomantsi,Housing loans,6670
2002,Joensuu,Housing loans,13657
2002,Juuka,Housing loans,8397
2002,Kontiolahti,Housing loans,26254
2002,Liperi,Housing loans,15076
2002,Outokumpu,Housing loans,9331
2002,Polvijärvi,Housing loans,7678
2002,Kitee,Housing loans,10911
2002,Rääkkylä,Housing loans,7985
2002,Tohmajärvi,Housing loans,8353
2002,Lieksa,Housing loans,7952
2002,Nurmes,Housing loans,6586
2002,Halsua,Housing loans,9245
2002,Kaustinen,Housing loans,14956
2002,Lestijärvi,Housing loans,9571
2002,Perho,Housing loans,10417
2002,Toholampi,Housing loans,13144
2002,Veteli,Housing loans,11915
2002,Kannus,Housing loans,21742
2002,Kokkola,Housing loans,21310
2002,Haapavesi,Housing loans,14029
2002,Pyhäntä,Housing loans,11090
2002,Siikalatva,Housing loans,9650
2002,Kuusamo,Housing loans,16300
2002,Taivalkoski,Housing loans,10344
2002,Haapajärvi,Housing loans,15074
2002,Kärsämäki,Housing loans,9912
2002,Nivala,Housing loans,16408
2002,Pyhäjärvi,Housing loans,10268
2002,Reisjärvi,Housing loans,11819
2002,Hailuoto,Housing loans,10354
2002,Kempele,Housing loans,35988
2002,Liminka,Housing loans,31967
2002,Lumijoki,Housing loans,15607
2002,Muhos,Housing loans,21212
2002,Oulu,Housing loans,20982
2002,Tyrnävä,Housing loans,25150
2002,Ii,Housing loans,17029
2002,Pudasjärvi,Housing loans,9981
2002,Utajärvi,Housing loans,13798
2002,Vaala,Housing loans,9223
2002,Pyhäjoki,Housing loans,13889
2002,Raahe,Housing loans,17665
2002,Siikajoki,Housing loans,13185
2002,Alavieska,Housing loans,12645
2002,Kalajoki,Housing loans,18310
2002,Merijärvi,Housing loans,10513
2002,Oulainen,Housing loans,19420
2002,Sievi,Housing loans,19674
2002,Ylivieska,Housing loans,19529
2002,Kajaani,Housing loans,17527
2002,Paltamo,Housing loans,9854
2002,Ristijärvi,Housing loans,6179
2002,Sotkamo,Housing loans,15516
2002,Hyrynsalmi,Housing loans,7443
2002,Kuhmo,Housing loans,10046
2002,Puolanka,Housing loans,7366
2002,Suomussalmi,Housing loans,9784
2002,Kemijärvi,Housing loans,8920
2002,Pelkosenniemi,Housing loans,7091
2002,Posio,Housing loans,7737
2002,Salla,Housing loans,7307
2002,Savukoski,Housing loans,7407
2002,Kemi,Housing loans,12763
2002,Keminmaa,Housing loans,19329
2002,Simo,Housing loans,11013
2002,Tervola,Housing loans,9636
2002,Tornio,Housing loans,19410
2002,Inari,Housing loans,12330
2002,Sodankylä,Housing loans,13064
2002,Utsjoki,Housing loans,13466
2002,Ranua,Housing loans,10009
2002,Rovaniemi,Housing loans,17440
2002,Pello,Housing loans,10316
2002,Ylitornio,Housing loans,12873
2002,Enontekiö,Housing loans,11821
2002,Kittilä,Housing loans,11348
2002,Kolari,Housing loans,9904
2002,Muonio,Housing loans,13483
2002,Maarianhamina - Mariehamn,Housing loans,23203
2002,Eckerö,Housing loans,22213
2002,Finström,Housing loans,27291
2002,Geta,Housing loans,22976
2002,Hammarland,Housing loans,29192
2002,Jomala,Housing loans,36583
2002,Lemland,Housing loans,42034
2002,Lumparland,Housing loans,31749
2002,Saltvik,Housing loans,27403
2002,Sund,Housing loans,25514
2002,Brändö,Housing loans,11450
2002,Föglö,Housing loans,16000
2002,Kumlinge,Housing loans,11155
2002,Kökar,Housing loans,12411
2002,Sottunga,Housing loans,8114
2002,Vårdö,Housing loans,19417
2003,Espoo,Housing loans,34869
2003,Helsinki,Housing loans,20081
2003,Hyvinkää,Housing loans,25081
2003,Järvenpää,Housing loans,33607
2003,Karkkila,Housing loans,22189
2003,Kauniainen,Housing loans,44130
2003,Kerava,Housing loans,26528
2003,Kirkkonummi,Housing loans,42540
2003,Lohja,Housing loans,25932
2003,Mäntsälä,Housing loans,32836
2003,Nurmijärvi,Housing loans,42827
2003,Pornainen,Housing loans,43053
2003,Sipoo,Housing loans,36013
2003,Siuntio,Housing loans,45427
2003,Tuusula,Housing loans,40874
2003,Vantaa,Housing loans,26666
2003,Vihti,Housing loans,38287
2003,Lapinjärvi,Housing loans,12713
2003,Loviisa,Housing loans,16752
2003,Askola,Housing loans,30453
2003,Myrskylä,Housing loans,13306
2003,Porvoo,Housing loans,28760
2003,Pukkila,Housing loans,22583
2003,Hanko,Housing loans,20609
2003,Inkoo,Housing loans,32037
2003,Raasepori,Housing loans,21543
2003,Aura,Housing loans,27668
2003,Koski Tl,Housing loans,13636
2003,Loimaa,Housing loans,14226
2003,Marttila,Housing loans,16462
2003,Oripää,Housing loans,16372
2003,Pöytyä,Housing loans,17107
2003,Salo,Housing loans,22471
2003,Somero,Housing loans,15553
2003,Kaarina,Housing loans,33974
2003,Lieto,Housing loans,33861
2003,Masku,Housing loans,39479
2003,Mynämäki,Housing loans,23389
2003,Naantali,Housing loans,28950
2003,Nousiainen,Housing loans,32453
2003,Paimio,Housing loans,25115
2003,Raisio,Housing loans,26870
2003,Rusko,Housing loans,41324
2003,Sauvo,Housing loans,20979
2003,Turku,Housing loans,15403
2003,Kustavi,Housing loans,12385
2003,Laitila,Housing loans,19362
2003,Pyhäranta,Housing loans,18665
2003,Taivassalo,Housing loans,14684
2003,Uusikaupunki,Housing loans,16353
2003,Vehmaa,Housing loans,17204
2003,Kemiönsaari,Housing loans,14571
2003,Parainen,Housing loans,24820
2003,Forssa,Housing loans,15905
2003,Humppila,Housing loans,14984
2003,Jokioinen,Housing loans,21434
2003,Tammela,Housing loans,18773
2003,Ypäjä,Housing loans,13418
2003,Hattula,Housing loans,28435
2003,Hämeenlinna,Housing loans,21413
2003,Janakkala,Housing loans,23669
2003,Hausjärvi,Housing loans,27308
2003,Loppi,Housing loans,23714
2003,Riihimäki,Housing loans,21292
2003,Asikkala,Housing loans,19272
2003,Hartola,Housing loans,10087
2003,Heinola,Housing loans,15107
2003,Hollola,Housing loans,26415
2003,Kärkölä,Housing loans,18170
2003,Lahti,Housing loans,18620
2003,Orimattila,Housing loans,18875
2003,Padasjoki,Housing loans,12281
2003,Sysmä,Housing loans,10112
2003,Hamina,Housing loans,18119
2003,Kotka,Housing loans,16281
2003,Miehikkälä,Housing loans,9322
2003,Pyhtää,Housing loans,19269
2003,Virolahti,Housing loans,11294
2003,Iitti,Housing loans,12975
2003,Kouvola,Housing loans,15605
2003,Imatra,Housing loans,16878
2003,Parikkala,Housing loans,9540
2003,Rautjärvi,Housing loans,11801
2003,Ruokolahti,Housing loans,17238
2003,Lappeenranta,Housing loans,18397
2003,Lemi,Housing loans,24333
2003,Luumäki,Housing loans,12968
2003,Savitaipale,Housing loans,10745
2003,Taipalsaari,Housing loans,29791
2003,Jämijärvi,Housing loans,12877
2003,Kankaanpää,Housing loans,14934
2003,Karvia,Housing loans,9340
2003,Siikainen,Housing loans,9816
2003,Harjavalta,Housing loans,14498
2003,Huittinen,Housing loans,15973
2003,Kokemäki,Housing loans,13227
2003,Merikarvia,Housing loans,11261
2003,Nakkila,Housing loans,18116
2003,Pomarkku,Housing loans,11060
2003,Pori,Housing loans,17797
2003,Ulvila,Housing loans,21607
2003,Eura,Housing loans,14655
