Municipality,Year,divorces/1000
Ähtäri,1998,12.9
Äänekoski,1998,15.6
Akaa,1999,16.0
Alajärvi,1999,5.0
Alavieska,1999,11.0
Alavus,1999,12.9
Asikkala,1999,11.6
Askola,1999,5.2
Aura,1999,13.6
Brändö,1999,13.9
Eckerö,1999,0.0
Enonkoski,1999,6.9
Enontekiö,1999,5.8
Espoo,1999,18.0
Eura,1999,10.8
Eurajoki,1999,7.4
Evijärvi,1999,7.5
Finström,1999,10.8
Forssa,1999,17.1
Föglö,1999,0.0
Geta,1999,0.0
Haapajärvi,1999,12.6
Haapavesi,1999,14.5
Hailuoto,1999,19.9
Halsua,1999,3.6
Hamina,1999,13.6
Hammarland,1999,4.4
Hankasalmi,1999,13.4
Hanko,1999,12.8
Harjavalta,1999,18.7
Hartola,1999,12.3
Hattula,1999,13.7
Hausjärvi,1999,9.9
Heinola,1999,15.7
Heinävesi,1999,13.0
Helsinki,1999,25.2
Hirvensalmi,1999,2.6
Hollola,1999,12.7
Huittinen,1999,13.8
Humppila,1999,14.5
Hyrynsalmi,1999,10.3
Hyvinkää,1999,21.0
Hämeenkyrö,1999,10.5
Hämeenlinna,1999,17.2
Ii,1999,9.3
Iisalmi,1999,14.5
Iitti,1999,22.0
Ikaalinen,1999,6.9
Ilmajoki,1999,10.9
Ilomantsi,1999,8.9
Imatra,1999,19.7
Inari,1999,13.4
Ingå,1999,12.9
Isojoki,1999,5.0
Isokyrö,1999,4.5
Janakkala,1999,17.1
Joensuu,1999,19.8
Jokioinen,1999,18.4
Jomala,1999,10.9
Joroinen,1999,10.2
Joutsa,1999,7.2
Juuka,1999,13.2
Juupajoki,1999,10.2
Juva,1999,12.7
Jyväskylä,1999,21.7
Jämijärvi,1999,5.1
Jämsä,1999,16.3
Järvenpää,1999,19.1
Kaarina,1999,12.3
Kaavi,1999,16.0
Kajaani,1999,15.3
Kalajoki,1999,5.2
Kangasala,1999,14.1
Kangasniemi,1999,14.1
Kankaanpää,1999,16.3
Kannonkoski,1999,8.3
Kannus,1999,11.6
Karijoki,1999,3.6
Karkkila,1999,15.0
Karstula,1999,10.4
Karvia,1999,10.4
Kaskinen,1999,0.0
Kauhajoki,1999,8.3
Kauhava,1999,7.5
Kauniainen,1999,12.8
Kaustinen,1999,10.3
Keitele,1999,8.8
Kemi,1999,19.9
Kemijärvi,1999,13.9
Keminmaa,1999,14.6
Kimitoön,1999,6.6
Kempele,1999,14.9
Kerava,1999,21.7
Keuruu,1999,14.7
Kihniö,1999,4.6
Kinnula,1999,13.5
Kirkkonummi,1999,15.1
Kitee,1999,11.1
Kittilä,1999,11.5
Kiuruvesi,1999,12.1
Kivijärvi,1999,4.0
Kokemäki,1999,12.5
Kokkola,1999,12.0
Kolari,1999,17.6
Konnevesi,1999,18.0
Kontiolahti,1999,10.3
Korsnäs,1999,7.7
Koski Tl,1999,12.8
Kotka,1999,23.9
Kouvola,1999,16.9
Kristinestad,1999,6.5
Kronoby,1999,5.4
Kuhmo,1999,9.9
Kuhmoinen,1999,9.0
Kumlinge,1999,0.0
Kuopio,1999,21.4
Kuortane,1999,6.4
Kurikka,1999,7.8
Kustavi,1999,6.3
Kuusamo,1999,12.4
Kyyjärvi,1999,7.1
Kärkölä,1999,22.7
Kärsämäki,1999,15.7
Kökar,1999,0.0
Lahti,1999,19.9
Laihia,1999,12.0
Laitila,1999,15.1
Lapinjärvi,1999,4.1
Lapinlahti,1999,8.1
Lappajärvi,1999,7.1
Lappeenranta,1999,18.1
Lapua,1999,9.9
Laukaa,1999,9.1
Lemi,1999,1.8
Lemland,1999,17.9
Lempäälä,1999,9.7
Leppävirta,1999,12.4
Lestijärvi,1999,0.0
Lieksa,1999,13.3
Lieto,1999,10.6
Liminka,1999,14.2
Liperi,1999,16.4
Lohja,1999,15.1
Loimaa,1999,11.3
Loppi,1999,10.2
Loviisa,1999,16.7
Luhanka,1999,15.5
Lumijoki,1999,3.9
Lumparland,1999,0.0
Larsmo,1999,1.4
Luumäki,1999,16.4
Malax,1999,4.5
Mariehamn,1999,11.3
Marttila,1999,27.6
Masku,1999,18.3
Merijärvi,1999,0.0
Merikarvia,1999,14.1
Miehikkälä,1999,9.7
Mikkeli,1999,13.7
Muhos,1999,22.2
Multia,1999,6.6
Muonio,1999,11.1
Korsholm,1999,12.2
Muurame,1999,12.5
Mynämäki,1999,11.1
Myrskylä,1999,9.7
Mäntsälä,1999,16.5
Mänttä-Vilppula,1999,13.9
Mäntyharju,1999,10.7
Naantali,1999,13.0
Nakkila,1999,13.8
Nivala,1999,17.7
Nokia,1999,14.1
Nousiainen,1999,13.3
Nurmes,1999,13.4
Nurmijärvi,1999,12.3
Närpes,1999,5.6
Orimattila,1999,12.8
Oripää,1999,10.0
Orivesi,1999,10.2
Oulainen,1999,11.7
Oulu,1999,18.0
Outokumpu,1999,13.0
Padasjoki,1999,9.5
Paimio,1999,18.6
Paltamo,1999,8.9
Pargas,1999,9.7
Parikkala,1999,13.4
Parkano,1999,8.9
Pedersöre,1999,1.6
Pelkosenniemi,1999,0.0
Pello,1999,12.6
Perho,1999,0.0
Pertunmaa,1999,12.6
Petäjävesi,1999,12.4
Pieksämäki,1999,15.3
Pielavesi,1999,12.3
Jakobstad,1999,7.7
Pihtipudas,1999,14.2
Pirkkala,1999,20.9
Polvijärvi,1999,8.3
Pomarkku,1999,6.6
Pori,1999,16.7
Pornainen,1999,17.9
Porvoo,1999,17.0
Posio,1999,8.8
Pudasjärvi,1999,10.0
Pukkila,1999,12.8
Punkalaidun,1999,5.3
Puolanka,1999,11.4
Puumala,1999,4.4
Pyhtää,1999,8.3
Pyhäjoki,1999,6.6
Pyhäjärvi,1999,15.5
Pyhäntä,1999,3.6
Pyhäranta,1999,13.6
Pälkäne,1999,11.6
Pöytyä,1999,11.7
Raahe,1999,12.2
Raasepori,1999,16.2
Raisio,1999,19.5
Rantasalmi,1999,8.5
Ranua,1999,8.2
Rauma,1999,13.9
Rautalampi,1999,10.1
Rautavaara,1999,5.3
Rautjärvi,1999,7.6
Reisjärvi,1999,20.3
Riihimäki,1999,21.4
Ristijärvi,1999,3.7
Rovaniemi,1999,17.4
Ruokolahti,1999,9.3
Ruovesi,1999,11.4
Rusko,1999,6.6
Rääkkylä,1999,14.6
Saarijärvi,1999,12.9
Salla,1999,9.2
Salo,1999,14.4
Saltvik,1999,8.1
Sastamala,1999,11.4
Sauvo,1999,24.0
Savitaipale,1999,6.0
Savonlinna,1999,14.7
Savukoski,1999,14.4
Seinäjoki,1999,18.0
Sievi,1999,6.6
Siikainen,1999,3.0
Siikajoki,1999,7.6
Siikalatva,1999,6.3
Siilinjärvi,1999,17.5
Simo,1999,6.9
Sipoo,1999,13.6
Siuntio,1999,11.3
Sodankylä,1999,21.8
Soini,1999,2.1
Somero,1999,12.5
Sonkajärvi,1999,8.4
Sotkamo,1999,3.8
Sottunga,1999,0.0
Sulkava,1999,8.8
Sund,1999,12.6
Suomussalmi,1999,8.0
Suonenjoki,1999,13.0
Sysmä,1999,17.2
Säkylä,1999,11.7
Taipalsaari,1999,16.5
Taivalkoski,1999,11.1
Taivassalo,1999,9.3
Tammela,1999,11.1
Tampere,1999,20.5
Tervo,1999,10.2
Tervola,1999,7.2
Teuva,1999,7.0
Tohmajärvi,1999,16.9
Toholampi,1999,9.3
Toivakka,1999,8.0
Tornio,1999,10.7
Turku,1999,22.9
Tuusniemi,1999,11.6
Tuusula,1999,15.1
Tyrnävä,1999,11.6
Ulvila,1999,10.6
Urjala,1999,13.4
Utajärvi,1999,10.0
Utsjoki,1999,23.4
Uurainen,1999,15.4
Nykarleby,1999,2.2
Uusikaupunki,1999,10.4
Vaala,1999,9.9
Vaasa,1999,16.2
Valkeakoski,1999,9.6
Vantaa,1999,20.5
Varkaus,1999,17.7
Vehmaa,1999,16.6
Vesanto,1999,4.8
Vesilahti,1999,10.3
Veteli,1999,3.0
Vieremä,1999,5.6
Vihti,1999,16.8
Viitasaari,1999,22.1
Vimpeli,1999,7.9
Virolahti,1999,9.6
Virrat,1999,7.3
Vårdö,1999,14.9
Vöyri,1999,9.5
Ylitornio,1999,11.5
Ylivieska,1999,14.2
Ylöjärvi,1999,10.2
Ypäjä,1999,7.5
Ähtäri,1999,8.9
Äänekoski,1999,15.9
Akaa,2000,12.9
Alajärvi,2000,7.7
Alavieska,2000,11.3
Alavus,2000,10.8
Asikkala,2000,11.0
Askola,2000,13.1
Aura,2000,13.7
Brändö,2000,61.5
Eckerö,2000,16.0
Enonkoski,2000,3.5
Enontekiö,2000,0.0
Espoo,2000,18.3
Eura,2000,11.5
Eurajoki,2000,7.4
Evijärvi,2000,1.9
Finström,2000,13.4
Forssa,2000,14.2
Föglö,2000,0.0
Geta,2000,13.7
Haapajärvi,2000,11.2
Haapavesi,2000,9.1
Hailuoto,2000,0.0
Halsua,2000,7.4
Hamina,2000,15.1
Hammarland,2000,9.2
Hankasalmi,2000,16.3
Hanko,2000,9.8
Harjavalta,2000,17.5
Hartola,2000,19.6
Hattula,2000,13.2
Hausjärvi,2000,19.7
Heinola,2000,12.9
Heinävesi,2000,11.9
Helsinki,2000,24.9
Hirvensalmi,2000,5.3
Hollola,2000,14.3
Huittinen,2000,12.3
Humppila,2000,12.0
Hyrynsalmi,2000,14.5
Hyvinkää,2000,19.4
Hämeenkyrö,2000,13.6
Hämeenlinna,2000,14.5
Ii,2000,16.3
Iisalmi,2000,17.6
Iitti,2000,7.6
Ikaalinen,2000,10.9
Ilmajoki,2000,12.3
Ilomantsi,2000,16.3
Imatra,2000,19.1
Inari,2000,20.5
Ingå,2000,9.4
Isojoki,2000,5.1
Isokyrö,2000,9.2
Janakkala,2000,14.4
Joensuu,2000,20.0
Jokioinen,2000,11.1
Jomala,2000,10.8
Joroinen,2000,12.6
Joutsa,2000,11.0
Juuka,2000,17.6
Juupajoki,2000,10.6
Juva,2000,14.0
Jyväskylä,2000,20.0
Jämijärvi,2000,7.6
Jämsä,2000,15.2
Järvenpää,2000,21.7
Kaarina,2000,15.9
Kaavi,2000,20.2
Kajaani,2000,18.6
Kalajoki,2000,8.2
Kangasala,2000,13.0
Kangasniemi,2000,8.1
Kankaanpää,2000,13.1
Kannonkoski,2000,12.9
Kannus,2000,12.8
Karijoki,2000,14.7
Karkkila,2000,16.4
Karstula,2000,13.1
Karvia,2000,10.7
Kaskinen,2000,0.0
Kauhajoki,2000,16.1
Kauhava,2000,6.1
Kauniainen,2000,15.7
Kaustinen,2000,13.0
Keitele,2000,6.6
Kemi,2000,21.7
Kemijärvi,2000,10.5
Keminmaa,2000,10.9
Kimitoön,2000,12.5
Kempele,2000,11.4
Kerava,2000,21.5
Keuruu,2000,13.9
Kihniö,2000,9.5
Kinnula,2000,7.0
Kirkkonummi,2000,15.4
Kitee,2000,14.6
Kittilä,2000,18.0
Kiuruvesi,2000,11.1
Kivijärvi,2000,0.0
Kokemäki,2000,7.0
Kokkola,2000,12.2
Kolari,2000,16.5
Konnevesi,2000,6.1
Kontiolahti,2000,11.1
Korsnäs,2000,0.0
Koski Tl,2000,18.3
Kotka,2000,19.7
Kouvola,2000,16.0
Kristinestad,2000,9.7
Kronoby,2000,5.6
Kuhmo,2000,12.4
Kuhmoinen,2000,11.4
Kumlinge,2000,17.5
Kuopio,2000,17.4
Kuortane,2000,15.9
Kurikka,2000,6.7
Kustavi,2000,12.7
Kuusamo,2000,16.0
Kyyjärvi,2000,10.8
Kärkölä,2000,10.1
Kärsämäki,2000,13.9
Kökar,2000,26.3
Lahti,2000,21.1
Laihia,2000,12.9
Laitila,2000,16.0
Lapinjärvi,2000,10.5
Lapinlahti,2000,9.4
Lappajärvi,2000,11.7
Lappeenranta,2000,18.5
Lapua,2000,9.6
Laukaa,2000,10.5
Lemi,2000,7.4
Lemland,2000,7.0
Lempäälä,2000,8.1
Leppävirta,2000,12.0
Lestijärvi,2000,12.9
Lieksa,2000,12.4
Lieto,2000,13.0
Liminka,2000,17.1
Liperi,2000,17.1
Lohja,2000,17.4
Loimaa,2000,11.0
Loppi,2000,9.4
Loviisa,2000,14.9
Luhanka,2000,7.9
Lumijoki,2000,0.0
Lumparland,2000,0.0
Larsmo,2000,1.4
Luumäki,2000,19.1
Malax,2000,5.6
Mariehamn,2000,14.9
Marttila,2000,15.4
Masku,2000,9.1
Merijärvi,2000,11.0
Merikarvia,2000,20.1
Miehikkälä,2000,5.0
Mikkeli,2000,15.1
Muhos,2000,9.7
Multia,2000,0.0
Muonio,2000,13.7
Korsholm,2000,5.6
Muurame,2000,14.9
Mynämäki,2000,13.4
Myrskylä,2000,3.3
Mäntsälä,2000,8.6
Mänttä-Vilppula,2000,14.6
Mäntyharju,2000,16.0
Naantali,2000,20.1
Nakkila,2000,18.4
Nivala,2000,17.9
Nokia,2000,12.9
Nousiainen,2000,6.6
Nurmes,2000,10.6
Nurmijärvi,2000,14.0
Närpes,2000,5.1
Orimattila,2000,16.5
Oripää,2000,0.0
Orivesi,2000,19.0
Oulainen,2000,11.7
Oulu,2000,19.3
Outokumpu,2000,13.4
Padasjoki,2000,11.6
Paimio,2000,16.3
Paltamo,2000,12.1
Pargas,2000,14.6
Parikkala,2000,4.9
Parkano,2000,13.8
Pedersöre,2000,1.6
Pelkosenniemi,2000,31.6
Pello,2000,11.8
Perho,2000,4.0
Pertunmaa,2000,6.3
Petäjävesi,2000,5.2
Pieksämäki,2000,12.7
Pielavesi,2000,10.3
Jakobstad,2000,9.6
Pihtipudas,2000,10.6
Pirkkala,2000,13.7
Polvijärvi,2000,13.3
Pomarkku,2000,8.9
Pori,2000,17.0
Pornainen,2000,1.3
Porvoo,2000,17.5
Posio,2000,7.9
Pudasjärvi,2000,11.6
Pukkila,2000,9.7
Punkalaidun,2000,9.0
Puolanka,2000,16.9
Puumala,2000,4.4
Pyhtää,2000,9.4
Pyhäjoki,2000,11.8
Pyhäjärvi,2000,11.9
Pyhäntä,2000,11.1
Pyhäranta,2000,9.2
Pälkäne,2000,6.7
Pöytyä,2000,14.9
Raahe,2000,10.5
Raasepori,2000,12.4
Raisio,2000,16.2
Rantasalmi,2000,18.7
Ranua,2000,4.2
Rauma,2000,14.9
Rautalampi,2000,13.9
Rautavaara,2000,0.0
Rautjärvi,2000,12.0
Reisjärvi,2000,4.1
Riihimäki,2000,15.3
Ristijärvi,2000,0.0
Rovaniemi,2000,16.9
Ruokolahti,2000,13.5
Ruovesi,2000,17.8
Rusko,2000,7.4
Rääkkylä,2000,2.1
Saarijärvi,2000,14.3
Salla,2000,4.1
Salo,2000,14.6
Saltvik,2000,7.7
Sastamala,2000,12.8
Sauvo,2000,8.1
Savitaipale,2000,3.0
Savonlinna,2000,16.6
Savukoski,2000,25.1
Seinäjoki,2000,16.5
Sievi,2000,5.2
Siikainen,2000,18.8
Siikajoki,2000,8.8
Siikalatva,2000,12.0
Siilinjärvi,2000,16.7
Simo,2000,4.2
Sipoo,2000,9.5
Siuntio,2000,11.9
Sodankylä,2000,14.8
Soini,2000,2.1
Somero,2000,9.3
Sonkajärvi,2000,14.6
Sotkamo,2000,12.7
Sottunga,2000,0.0
Sulkava,2000,10.8
Sund,2000,13.2
Suomussalmi,2000,10.7
Suonenjoki,2000,15.8
Sysmä,2000,19.1
Säkylä,2000,11.9
Taipalsaari,2000,9.9
Taivalkoski,2000,11.3
Taivassalo,2000,15.8
Tammela,2000,6.5
Tampere,2000,21.4
Tervo,2000,3.5
Tervola,2000,15.0
Teuva,2000,8.9
Tohmajärvi,2000,16.1
Toholampi,2000,3.1
Toivakka,2000,8.1
Tornio,2000,12.0
Turku,2000,21.5
Tuusniemi,2000,14.0
Tuusula,2000,15.9
Tyrnävä,2000,12.7
Ulvila,2000,12.2
Urjala,2000,10.1
Utajärvi,2000,12.6
Utsjoki,2000,18.4
Uurainen,2000,11.7
Nykarleby,2000,9.7
Uusikaupunki,2000,14.1
Vaala,2000,3.4
Vaasa,2000,16.5
Valkeakoski,2000,15.7
Vantaa,2000,21.6
Varkaus,2000,14.1
Vehmaa,2000,2.4
Vesanto,2000,7.4
Vesilahti,2000,17.2
Veteli,2000,9.0
Vieremä,2000,4.3
Vihti,2000,19.8
Viitasaari,2000,11.6
Vimpeli,2000,4.8
Virolahti,2000,9.7
Virrat,2000,8.3
Vårdö,2000,0.0
Vöyri,2000,2.6
Ylitornio,2000,9.4
Ylivieska,2000,13.5
Ylöjärvi,2000,12.4
Ypäjä,2000,7.5
Ähtäri,2000,14.3
Äänekoski,2000,16.5
Akaa,2001,14.4
Alajärvi,2001,10.3
Alavieska,2001,4.7
Alavus,2001,9.6
Asikkala,2001,11.0
Askola,2001,14.4
Aura,2001,13.8
Brändö,2001,32.8
Eckerö,2001,31.5
Enonkoski,2001,26.3
Enontekiö,2001,6.0
Espoo,2001,18.1
Eura,2001,12.2
Eurajoki,2001,13.4
Evijärvi,2001,11.6
Finström,2001,13.7
Forssa,2001,22.5
Föglö,2001,12.3
Geta,2001,13.7
Haapajärvi,2001,6.5
Haapavesi,2001,5.9
Hailuoto,2001,0.0
Halsua,2001,19.1
Hamina,2001,12.1
Hammarland,2001,18.3
Hankasalmi,2001,12.4
Hanko,2001,12.4
Harjavalta,2001,18.0
Hartola,2001,14.6
Hattula,2001,12.5
Hausjärvi,2001,13.9
Heinola,2001,16.3
Heinävesi,2001,6.1
Helsinki,2001,24.9
Hirvensalmi,2001,13.0
Hollola,2001,13.4
Huittinen,2001,9.5
Humppila,2001,23.8
Hyrynsalmi,2001,1.9
Hyvinkää,2001,21.5
Hämeenkyrö,2001,10.5
Hämeenlinna,2001,17.6
Ii,2001,11.7
Iisalmi,2001,15.0
Iitti,2001,11.3
Ikaalinen,2001,19.2
Ilmajoki,2001,16.5
Ilomantsi,2001,9.4
Imatra,2001,15.5
Inari,2001,18.0
Ingå,2001,9.4
Isojoki,2001,7.8
Isokyrö,2001,4.6
Janakkala,2001,16.2
Joensuu,2001,18.4
Jokioinen,2001,15.4
Jomala,2001,7.2
Joroinen,2001,7.4
Joutsa,2001,10.1
Juuka,2001,9.5
Juupajoki,2001,2.7
Juva,2001,8.4
Jyväskylä,2001,19.6
Jämijärvi,2001,7.8
Jämsä,2001,13.9
Järvenpää,2001,18.3
Kaarina,2001,14.1
Kaavi,2001,12.1
Kajaani,2001,14.5
Kalajoki,2001,4.8
Kangasala,2001,13.8
Kangasniemi,2001,9.3
Kankaanpää,2001,14.9
Kannonkoski,2001,22.9
Kannus,2001,5.9
Karijoki,2001,11.3
Karkkila,2001,8.6
Karstula,2001,6.2
Karvia,2001,11.0
Kaskinen,2001,10.9
Kauhajoki,2001,11.6
Kauhava,2001,12.5
Kauniainen,2001,15.2
Kaustinen,2001,12.0
Keitele,2001,15.9
Kemi,2001,15.6
Kemijärvi,2001,12.9
Keminmaa,2001,17.6
Kimitoön,2001,10.2
Kempele,2001,10.8
Kerava,2001,17.7
Keuruu,2001,10.4
Kihniö,2001,2.4
Kinnula,2001,7.1
Kirkkonummi,2001,15.2
Kitee,2001,14.4
Kittilä,2001,13.5
Kiuruvesi,2001,10.1
Kivijärvi,2001,4.1
Kokemäki,2001,12.2
Kokkola,2001,11.5
Kolari,2001,11.8
Konnevesi,2001,12.3
Kontiolahti,2001,8.1
Korsnäs,2001,5.3
Koski Tl,2001,10.5
Kotka,2001,21.4
Kouvola,2001,15.4
Kristinestad,2001,9.9
Kronoby,2001,4.0
Kuhmo,2001,11.1
Kuhmoinen,2001,18.7
Kumlinge,2001,0.0
Kuopio,2001,16.0
Kuortane,2001,8.2
Kurikka,2001,8.8
Kustavi,2001,6.8
Kuusamo,2001,10.6
Kyyjärvi,2001,10.8
Kärkölä,2001,16.8
Kärsämäki,2001,2.0
Kökar,2001,0.0
Lahti,2001,21.8
Laihia,2001,10.6
Laitila,2001,14.1
Lapinjärvi,2001,12.9
Lapinlahti,2001,10.1
Lappajärvi,2001,6.0
Lappeenranta,2001,18.3
Lapua,2001,8.4
Laukaa,2001,10.5
Lemi,2001,24.4
Lemland,2001,17.7
Lempäälä,2001,12.5
Leppävirta,2001,13.8
Lestijärvi,2001,6.5
Lieksa,2001,17.2
Lieto,2001,11.1
Liminka,2001,10.3
Liperi,2001,11.8
Lohja,2001,15.2
Loimaa,2001,11.4
Loppi,2001,9.3
Loviisa,2001,13.0
Luhanka,2001,8.1
Lumijoki,2001,7.6
Lumparland,2001,13.5
Larsmo,2001,2.9
Luumäki,2001,7.6
Malax,2001,4.6
Mariehamn,2001,18.0
Marttila,2001,6.2
Masku,2001,7.0
Merijärvi,2001,11.2
Merikarvia,2001,15.0
Miehikkälä,2001,10.3
Mikkeli,2001,14.5
Muhos,2001,14.0
Multia,2001,3.4
Muonio,2001,7.0
Korsholm,2001,8.9
Muurame,2001,10.5
Mynämäki,2001,8.1
Myrskylä,2001,16.6
Mäntsälä,2001,13.6
Mänttä-Vilppula,2001,9.4
Mäntyharju,2001,17.3
Naantali,2001,13.8
Nakkila,2001,9.4
Nivala,2001,9.1
Nokia,2001,14.2
Nousiainen,2001,11.8
Nurmes,2001,11.6
Nurmijärvi,2001,16.3
Närpes,2001,0.6
Orimattila,2001,16.9
Oripää,2001,5.1
Orivesi,2001,15.5
Oulainen,2001,11.7
Oulu,2001,17.8
Outokumpu,2001,8.8
Padasjoki,2001,8.4
Paimio,2001,8.7
Paltamo,2001,13.9
Pargas,2001,11.6
Parikkala,2001,15.2
Parkano,2001,13.4
Pedersöre,2001,2.6
Pelkosenniemi,2001,19.5
Pello,2001,6.2
Perho,2001,6.1
Pertunmaa,2001,6.4
Petäjävesi,2001,12.3
Pieksämäki,2001,19.0
Pielavesi,2001,11.7
Jakobstad,2001,12.1
Pihtipudas,2001,2.7
Pirkkala,2001,11.3
Polvijärvi,2001,7.4
Pomarkku,2001,2.2
Pori,2001,16.8
Pornainen,2001,11.9
Porvoo,2001,17.5
Posio,2001,5.4
Pudasjärvi,2001,9.9
Pukkila,2001,6.3
Punkalaidun,2001,9.3
Puolanka,2001,14.2
Puumala,2001,2.2
Pyhtää,2001,17.0
Pyhäjoki,2001,10.3
Pyhäjärvi,2001,16.3
Pyhäntä,2001,11.1
Pyhäranta,2001,4.7
Pälkäne,2001,16.7
Pöytyä,2001,11.0
Raahe,2001,10.4
Raasepori,2001,15.8
Raisio,2001,19.3
Rantasalmi,2001,20.8
Ranua,2001,8.5
Rauma,2001,13.8
Rautalampi,2001,16.3
Rautavaara,2001,2.8
Rautjärvi,2001,10.9
Reisjärvi,2001,8.3
Riihimäki,2001,21.4
Ristijärvi,2001,4.0
Rovaniemi,2001,18.3
Ruokolahti,2001,15.5
Ruovesi,2001,12.1
Rusko,2001,14.6
Rääkkylä,2001,6.4
Saarijärvi,2001,19.9
Salla,2001,15.8
Salo,2001,15.3
Saltvik,2001,11.4
Sastamala,2001,12.0
Sauvo,2001,8.1
Savitaipale,2001,7.7
Savonlinna,2001,14.9
Savukoski,2001,16.0
Seinäjoki,2001,15.5
Sievi,2001,5.2
Siikainen,2001,6.5
Siikajoki,2001,14.8
Siikalatva,2001,5.6
Siilinjärvi,2001,18.0
Simo,2001,7.1
Sipoo,2001,11.8
Siuntio,2001,22.5
Sodankylä,2001,12.5
Soini,2001,11.0
Somero,2001,14.6
Sonkajärvi,2001,9.9
Sotkamo,2001,15.2
Sottunga,2001,0.0
Sulkava,2001,9.2
Sund,2001,0.0
Suomussalmi,2001,10.5
Suonenjoki,2001,16.1
Sysmä,2001,9.9
Säkylä,2001,12.3
Taipalsaari,2001,14.5
Taivalkoski,2001,9.0
Taivassalo,2001,13.0
Tammela,2001,9.4
Tampere,2001,19.8
Tervo,2001,18.6
Tervola,2001,9.4
Teuva,2001,8.2
Tohmajärvi,2001,6.6
Toholampi,2001,11.1
Toivakka,2001,8.1
Tornio,2001,15.3
Turku,2001,21.9
Tuusniemi,2001,10.1
Tuusula,2001,18.5
Tyrnävä,2001,15.1
Ulvila,2001,15.0
Urjala,2001,8.0
Utajärvi,2001,19.1
Utsjoki,2001,35.0
Uurainen,2001,8.0
Nykarleby,2001,3.8
Uusikaupunki,2001,13.7
Vaala,2001,3.4
Vaasa,2001,14.2
Valkeakoski,2001,15.0
Vantaa,2001,18.2
Varkaus,2001,18.1
Vehmaa,2001,12.3
Vesanto,2001,33.9
Vesilahti,2001,11.6
Veteli,2001,9.2
Vieremä,2001,13.1
Vihti,2001,17.9
Viitasaari,2001,11.3
Vimpeli,2001,3.3
Virolahti,2001,13.2
Virrat,2001,9.3
Vårdö,2001,0.0
Vöyri,2001,7.1
Ylitornio,2001,4.8
Ylivieska,2001,14.5
Ylöjärvi,2001,11.6
Ypäjä,2001,17.9
Ähtäri,2001,10.2
Äänekoski,2001,14.3
Akaa,2002,13.1
Alajärvi,2002,8.3
Alavieska,2002,7.0
Alavus,2002,11.3
Asikkala,2002,15.3
Askola,2002,10.5
Aura,2002,15.4
Brändö,2002,35.1
Eckerö,2002,24.2
Enonkoski,2002,15.4
Enontekiö,2002,21.8
Espoo,2002,17.5
Eura,2002,9.0
Eurajoki,2002,8.2
Evijärvi,2002,9.8
Finström,2002,19.3
Forssa,2002,17.6
Föglö,2002,0.0
Geta,2002,0.0
Haapajärvi,2002,13.1
Haapavesi,2002,10.3
Hailuoto,2002,6.2
Halsua,2002,11.9
Hamina,2002,11.1
Hammarland,2002,23.1
Hankasalmi,2002,12.4
Hanko,2002,17.5
Harjavalta,2002,9.5
Hartola,2002,3.7
Hattula,2002,8.7
Hausjärvi,2002,9.4
Heinola,2002,13.3
Heinävesi,2002,15.4
Helsinki,2002,23.1
Hirvensalmi,2002,10.5
Hollola,2002,14.6
Huittinen,2002,11.8
Humppila,2002,17.1
Hyrynsalmi,2002,7.6
Hyvinkää,2002,21.1
Hämeenkyrö,2002,21.7
Hämeenlinna,2002,16.3
Ii,2002,14.0
Iisalmi,2002,13.7
Iitti,2002,17.7
Ikaalinen,2002,11.5
Ilmajoki,2002,10.7
Ilomantsi,2002,8.6
Imatra,2002,17.0
Inari,2002,16.2
Ingå,2002,7.0
Isojoki,2002,7.8
Isokyrö,2002,8.2
Janakkala,2002,14.2
Joensuu,2002,18.9
Jokioinen,2002,15.7
Jomala,2002,5.4
Joroinen,2002,10.6
Joutsa,2002,10.4
Juuka,2002,10.8
Juupajoki,2002,16.9
Juva,2002,14.6
Jyväskylä,2002,17.1
Jämijärvi,2002,0.0
Jämsä,2002,13.6
Järvenpää,2002,20.5
Kaarina,2002,11.0
Kaavi,2002,12.3
Kajaani,2002,16.3
Kalajoki,2002,11.2
Kangasala,2002,11.4
Kangasniemi,2002,10.7
Kankaanpää,2002,10.6
Kannonkoski,2002,18.5
Kannus,2002,12.0
Karijoki,2002,7.6
Karkkila,2002,16.6
Karstula,2002,10.0
Karvia,2002,6.7
Kaskinen,2002,3.6
Kauhajoki,2002,12.6
Kauhava,2002,11.8
Kauniainen,2002,13.4
Kaustinen,2002,13.4
Keitele,2002,11.4
Kemi,2002,20.0
Kemijärvi,2002,16.9
Keminmaa,2002,8.4
Kimitoön,2002,6.9
Kempele,2002,9.2
Kerava,2002,20.7
Keuruu,2002,15.8
Kihniö,2002,4.9
Kinnula,2002,3.6
Kirkkonummi,2002,13.8
Kitee,2002,12.7
Kittilä,2002,12.6
Kiuruvesi,2002,8.8
Kivijärvi,2002,4.2
Kokemäki,2002,14.6
Kokkola,2002,12.9
Kolari,2002,10.3
Konnevesi,2002,6.3
Kontiolahti,2002,11.7
Korsnäs,2002,0.0
Koski Tl,2002,10.6
Kotka,2002,18.6
Kouvola,2002,18.9
Kristinestad,2002,7.8
Kronoby,2002,6.5
Kuhmo,2002,9.1
Kuhmoinen,2002,7.1
Kumlinge,2002,38.5
Kuopio,2002,19.7
Kuortane,2002,4.1
Kurikka,2002,7.2
